radius,CR03,CR06,CR10,CR20,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR93
R31,-0.230580,-0.155037,-0.117325,-0.094184,-0.079910,-0.078884,-0.078120,-0.059534,-0.053110,-0.006891,0.090443,-0.127475,-0.155338,-0.117973,-0.039743,0.007518,0.038240,0.077884,0.105071,0.019577
R32,-0.239375,-0.163480,-0.120575,-0.097795,-0.084094,-0.082212,-0.079670,-0.065363,-0.054780,-0.009408,0.083413,-0.124561,-0.153774,-0.117644,-0.040809,0.005999,0.034555,0.074745,0.099290,0.023181
R33,-0.253050,-0.171606,-0.125628,-0.099872,-0.087237,-0.086655,-0.079833,-0.069738,-0.055596,-0.015127,0.079083,-0.124427,-0.150516,-0.124208,-0.042510,0.004904,0.032502,0.071162,0.094681,0.026487
R34,-0.267052,-0.179833,-0.131742,-0.103213,-0.091177,-0.090071,-0.080862,-0.072917,-0.059995,-0.018165,0.077692,-0.125644,-0.149531,-0.119717,-0.045022,0.004025,0.030381,0.069254,0.093257,0.030741
R35,,-0.188547,-0.135124,-0.107121,-0.094868,-0.093073,-0.085323,-0.074786,-0.063451,-0.020937,0.077583,-0.123633,-0.149691,-0.118857,-0.047687,0.005937,0.028953,0.066155,0.092401,0.035157
R36,,-0.193911,-0.138122,-0.108020,-0.098212,-0.096092,-0.091975,-0.078487,-0.062934,-0.024384,0.075580,-0.120687,-0.150871,-0.121900,-0.049817,0.008321,0.027167,0.063641,0.091740,0.040460
R37,,,-0.141776,-0.109575,-0.102066,-0.100434,-0.094865,-0.084692,-0.063467,-0.028565,0.073042,-0.117632,-0.149830,-0.126372,-0.050328,0.007853,0.024992,0.060857,0.090919,0.044916
R38,,,-0.146242,-0.114172,-0.106954,-0.104628,-0.098074,-0.086040,-0.065269,-0.029849,0.073347,-0.115669,-0.148688,-0.129396,-0.053539,0.006773,0.022294,0.057013,0.089206,0.051211
R39,,,,-0.119051,-0.112119,-0.105547,-0.103746,-0.086361,-0.068049,-0.033667,0.071642,-0.115891,-0.147580,-0.131995,-0.053964,0.005351,0.018732,0.053969,0.087573,0.056156
R40,,,,-0.122662,-0.114689,-0.108524,-0.108982,-0.089210,-0.066726,-0.038702,0.071248,-0.117057,-0.145140,-0.133677,-0.054765,0.005456,0.015693,0.051794,0.086339,0.060957
R41,,,,-0.127266,-0.113895,-0.112236,-0.111078,-0.092229,-0.065790,-0.039888,0.069775,-0.118220,-0.144280,-0.135320,-0.059217,0.006819,0.012693,0.048627,0.086945,0.064137
R42,,,,-0.134310,-0.113948,-0.114935,-0.112668,-0.096476,-0.066466,-0.042300,0.068058,-0.118176,-0.144583,-0.136608,,0.005656,0.009299,0.045423,0.087560,0.069352
R43,,,,-0.142703,-0.119381,-0.115152,-0.114767,-0.099729,-0.070715,-0.044862,0.065306,-0.117248,-0.142804,-0.136883,,,0.006716,0.043203,0.085831,0.073967
R44,,,,-0.149544,-0.125528,-0.118156,-0.119118,-0.101826,-0.075835,-0.047142,0.061940,-0.116198,-0.145025,-0.135239,,,0.004132,0.040862,0.083170,0.077892
R45,,,,,-0.130681,-0.122698,-0.123495,-0.105553,-0.078752,-0.054970,0.057471,-0.115564,-0.147065,-0.136178,,,0.000125,0.040107,0.081088,0.081905
R46,,,,,-0.134578,-0.127351,-0.122311,-0.107423,-0.079794,-0.058505,0.053775,-0.115542,-0.146767,-0.135246,,,-0.005433,0.037912,0.081414,
R47,,,,,-0.138403,-0.130701,-0.124244,-0.106973,-0.083254,-0.058815,0.048502,-0.115705,-0.147797,-0.135876,,,-0.008122,0.034369,0.082938,
R48,,,,,-0.141958,-0.132638,-0.127692,-0.104398,-0.087598,-0.063468,0.042500,-0.115723,-0.150009,,,,-0.007406,0.029434,0.083453,
R49,,,,,,-0.134686,-0.128341,-0.104163,-0.089463,-0.066467,0.040412,-0.113732,-0.156611,,,,-0.006998,0.024727,0.082635,
R50,,,,,,-0.138315,-0.128942,-0.104448,-0.089906,-0.069593,0.038105,-0.110325,-0.160031,,,,-0.006904,0.023165,0.081057,
R51,,,,,,,-0.131028,-0.104297,-0.089390,-0.071543,0.036692,-0.107537,-0.162181,,,,-0.005948,0.021816,0.079738,
R52,,,,,,,-0.132455,-0.104844,-0.090902,-0.072350,0.036835,-0.104418,-0.161446,,,,-0.005563,0.020580,0.078896,
R53,,,,,,,-0.135788,-0.105242,-0.092892,-0.072410,0.035944,-0.102706,-0.155779,,,,-0.007562,0.019573,0.077065,
R54,,,,,,,,-0.107959,-0.093355,-0.072852,0.034206,-0.104815,-0.151558,,,,-0.008602,0.018788,0.077617,
R55,,,,,,,,-0.109477,-0.092621,-0.073983,0.030885,-0.102908,-0.146711,,,,-0.006990,0.020040,0.080243,
R56,,,,,,,,-0.109925,-0.094712,-0.074984,0.029705,-0.102621,,,,,,0.020254,0.081545,
R57,,,,,,,,-0.112274,-0.096829,-0.075322,0.027640,-0.105771,,,,,,0.018615,,
R58,,,,,,,,-0.114326,-0.098038,-0.075787,0.025657,-0.106637,,,,,,0.018046,,
R59,,,,,,,,,-0.097841,-0.079097,0.024519,-0.107667,,,,,,0.016069,,
R60,,,,,,,,,-0.099336,-0.083847,0.022711,-0.108309,,,,,,,,
R61,,,,,,,,,-0.103336,-0.086372,0.018826,-0.108626,,,,,,,,
R62,,,,,,,,,-0.108900,-0.088452,0.015651,,,,,,,,,
R63,,,,,,,,,,-0.090586,0.013036,,,,,,,,,
R64,,,,,,,,,,-0.093677,0.009252,,,,,,,,,
R65,,,,,,,,,,,0.010061,,,,,,,,,
