           X               Y                Z                A                C
         -0.001           1.673            0.000           -0.007            0.000
          0.049           1.664            0.000           -0.007            0.051
          0.099           1.656            0.000           -0.007            0.102
          0.149           1.648            0.000           -0.007            0.152
          0.199           1.640            0.000           -0.006            0.203
          0.249           1.633            0.000           -0.006            0.254
          0.299           1.625            0.000           -0.006            0.304
          0.349           1.619            0.000           -0.005            0.355
          0.400           1.612            0.000           -0.004            0.405
          0.450           1.607            0.000           -0.003            0.456
          0.500           1.601            0.000           -0.002            0.506
          0.550           1.596            0.000           -0.001            0.557
          0.600           1.591            0.000            0.000            0.607
          0.650           1.586            0.000            0.002            0.658
          0.700           1.581            0.000            0.003            0.708
          0.751           1.577            0.000            0.004            0.758
          0.801           1.572            0.000            0.005            0.808
          0.851           1.568            0.000            0.006            0.859
          0.901           1.564            0.000            0.007            0.909
          0.951           1.561            0.000            0.009            0.959
          1.001           1.558            0.000            0.010            1.009
          1.051           1.555            0.000            0.012            1.059
          1.101           1.552            0.000            0.013            1.109
          1.151           1.550            0.000            0.015            1.160
          1.201           1.548            0.000            0.016            1.210
          1.251           1.546            0.000            0.018            1.260
          1.301           1.544            0.000            0.019            1.310
          1.351           1.542            0.000            0.020            1.360
          1.401           1.541            0.000            0.022            1.410
          1.451           1.539            0.000            0.023            1.460
          1.501           1.538            0.000            0.024            1.510
          1.551           1.537            0.000            0.026            1.560
          1.601           1.536            0.000            0.027            1.610
          1.651           1.535            0.000            0.029            1.660
          1.701           1.534            0.000            0.030            1.710
          1.751           1.534            0.000            0.031            1.760
          1.801           1.533            0.000            0.033            1.810
          1.851           1.532            0.000            0.034            1.860
          1.901           1.531            0.000            0.035            1.910
          1.951           1.530            0.000            0.037            1.960
          2.001           1.529            0.000            0.038            2.010
          2.051           1.528            0.000            0.039            2.060
          2.101           1.528            0.000            0.041            2.110
          2.151           1.527            0.000            0.042            2.160
          2.201           1.526            0.000            0.043            2.210
          2.252           1.525            0.000            0.045            2.260
          2.302           1.524            0.000            0.046            2.311
          2.352           1.523            0.000            0.047            2.361
          2.402           1.521            0.000            0.048            2.411
          2.452           1.520            0.000            0.049            2.461
          2.502           1.519            0.000            0.050            2.511
          2.552           1.517            0.000            0.051            2.561
          2.602           1.516            0.000            0.051            2.611
          2.652           1.514            0.000            0.052            2.661
          2.702           1.513            0.000            0.053            2.711
          2.752           1.511            0.000            0.053            2.761
          2.802           1.510            0.000            0.054            2.811
          2.852           1.508            0.000            0.055            2.861
          2.902           1.507            0.000            0.056            2.911
          2.952           1.506            0.000            0.056            2.961
          3.002           1.505            0.000            0.057            3.011
          3.052           1.503            0.000            0.058            3.061
          3.103           1.502            0.000            0.059            3.112
          3.153           1.501            0.000            0.060            3.162
          3.203           1.499            0.000            0.060            3.212
          3.253           1.497            0.000            0.061            3.262
          3.303           1.495            0.000            0.061            3.312
          3.353           1.493            0.000            0.061            3.362
          3.403           1.492            0.000            0.062            3.412
          3.453           1.490            0.000            0.063            3.462
          3.503           1.489            0.000            0.063            3.512
          3.553           1.488            0.000            0.064            3.562
          3.603           1.486            0.000            0.065            3.612
          3.653           1.485            0.000            0.065            3.663
          3.703           1.483            0.000            0.066            3.713
          3.754           1.481            0.000            0.066            3.763
          3.804           1.479            0.000            0.066            3.813
          3.854           1.477            0.000            0.066            3.863
          3.904           1.475            0.000            0.066            3.913
          3.954           1.473            0.000            0.066            3.964
          4.004           1.471            0.000            0.066            4.014
          4.054           1.469            0.000            0.066            4.064
          4.104           1.467            0.000            0.067            4.114
          4.154           1.465            0.000            0.067            4.164
          4.204           1.463            0.000            0.067            4.214
          4.254           1.461            0.000            0.067            4.264
          4.304           1.459            0.000            0.067            4.314
          4.354           1.457            0.000            0.067            4.364
          4.404           1.456            0.000            0.068            4.414
          4.454           1.454            0.000            0.068            4.464
          4.504           1.452            0.000            0.068            4.514
          4.554           1.450            0.000            0.068            4.564
          4.604           1.447            0.000            0.068            4.614
          4.654           1.445            0.000            0.068            4.664
          4.704           1.443            0.000            0.068            4.714
          4.754           1.441            0.000            0.068            4.765
          4.804           1.439            0.000            0.067            4.815
          4.854           1.437            0.000            0.067            4.865
          4.904           1.435            0.000            0.067            4.915
          4.954           1.433            0.000            0.067            4.965
          5.004           1.431            0.000            0.067            5.015
          5.054           1.429            0.000            0.067            5.065
          5.104           1.426            0.000            0.067            5.115
          5.154           1.424            0.000            0.067            5.165
          5.204           1.422            0.000            0.067            5.215
          5.254           1.420            0.000            0.067            5.265
          5.304           1.418            0.000            0.067            5.315
          5.354           1.416            0.000            0.067            5.365
          5.404           1.414            0.000            0.067            5.415
          5.454           1.412            0.000            0.067            5.465
          5.504           1.410            0.000            0.067            5.515
          5.555           1.408            0.000            0.066            5.566
          5.605           1.405            0.000            0.066            5.616
          5.654           1.403            0.000            0.066            5.665
          5.704           1.401            0.000            0.066            5.715
          5.754           1.399            0.000            0.066            5.765
          5.804           1.398            0.000            0.066            5.815
          5.854           1.396            0.000            0.067            5.865
          5.904           1.394            0.000            0.067            5.915
          5.954           1.392            0.000            0.067            5.966
          6.005           1.390            0.000            0.067            6.016
          6.055           1.388            0.000            0.066            6.066
          6.105           1.386            0.000            0.066            6.116
          6.154           1.384            0.000            0.066            6.166
          6.204           1.382            0.000            0.066            6.216
          6.254           1.380            0.000            0.067            6.265
          6.304           1.379            0.000            0.067            6.316
          6.354           1.377            0.000            0.067            6.366
          6.405           1.375            0.000            0.067            6.416
          6.455           1.373            0.000            0.067            6.466
          6.504           1.371            0.000            0.067            6.516
          6.554           1.369            0.000            0.067            6.566
          6.604           1.367            0.000            0.067            6.616
          6.654           1.366            0.000            0.068            6.665
          6.704           1.364            0.000            0.068            6.715
          6.754           1.363            0.000            0.069            6.766
          6.804           1.362            0.000            0.069            6.816
          6.854           1.360            0.000            0.070            6.866
          6.905           1.358            0.000            0.070            6.917
          6.955           1.356            0.000            0.070            6.967
          7.005           1.354            0.000            0.069            7.017
          7.055           1.352            0.000            0.069            7.067
          7.105           1.350            0.000            0.069            7.117
          7.154           1.348            0.000            0.069            7.167
          7.204           1.347            0.000            0.070            7.216
          7.254           1.345            0.000            0.070            7.266
          7.304           1.344            0.000            0.070            7.316
          7.354           1.342            0.000            0.071            7.367
          7.404           1.340            0.000            0.071            7.417
          7.455           1.339            0.000            0.071            7.467
          7.505           1.337            0.000            0.071            7.517
          7.555           1.335            0.000            0.071            7.567
          7.605           1.333            0.000            0.071            7.617
          7.655           1.332            0.000            0.071            7.667
          7.705           1.330            0.000            0.071            7.717
          7.755           1.328            0.000            0.071            7.767
          7.805           1.326            0.000            0.071            7.818
          7.855           1.324            0.000            0.071            7.868
          7.905           1.322            0.000            0.071            7.918
          7.955           1.320            0.000            0.070            7.968
          8.005           1.317            0.000            0.070            8.018
          8.055           1.315            0.000            0.070            8.068
          8.105           1.313            0.000            0.069            8.118
          8.154           1.312            0.000            0.070            8.167
          8.204           1.310            0.000            0.070            8.217
          8.254           1.309            0.000            0.071            8.267
          8.304           1.308            0.000            0.071            8.317
          8.355           1.306            0.000            0.072            8.368
          8.405           1.304            0.000            0.072            8.418
          8.456           1.302            0.000            0.071            8.469
          8.506           1.300            0.000            0.071            8.519
          8.556           1.297            0.000            0.070            8.569
          8.605           1.295            0.000            0.070            8.618
          8.655           1.293            0.000            0.070            8.668
          8.705           1.292            0.000            0.070            8.718
          8.755           1.290            0.000            0.070            8.768
          8.805           1.288            0.000            0.070            8.818
          8.855           1.286            0.000            0.070            8.868
          8.905           1.285            0.000            0.070            8.918
          8.955           1.283            0.000            0.070            8.968
          9.005           1.281            0.000            0.070            9.018
          9.055           1.279            0.000            0.070            9.068
          9.105           1.277            0.000            0.070            9.118
          9.155           1.276            0.000            0.070            9.168
          9.205           1.274            0.000            0.070            9.218
          9.255           1.273            0.000            0.070            9.268
          9.305           1.271            0.000            0.070            9.318
          9.355           1.269            0.000            0.070            9.369
          9.405           1.268            0.000            0.071            9.419
          9.455           1.266            0.000            0.071            9.469
          9.505           1.264            0.000            0.071            9.519
          9.555           1.263            0.000            0.071            9.569
          9.605           1.261            0.000            0.071            9.619
          9.655           1.259            0.000            0.071            9.669
          9.705           1.258            0.000            0.071            9.719
          9.755           1.256            0.000            0.071            9.769
          9.805           1.255            0.000            0.072            9.819
          9.855           1.254            0.000            0.072            9.869
          9.905           1.252            0.000            0.072            9.918
          9.955           1.251            0.000            0.073            9.969
         10.005           1.250            0.000            0.073           10.019
         10.055           1.248            0.000            0.074           10.069
         10.105           1.247            0.000            0.074           10.119
         10.155           1.245            0.000            0.074           10.169
         10.205           1.244            0.000            0.074           10.219
         10.256           1.242            0.000            0.074           10.270
         10.305           1.240            0.000            0.074           10.320
         10.355           1.238            0.000            0.074           10.369
         10.405           1.237            0.000            0.074           10.419
         10.455           1.235            0.000            0.074           10.469
         10.505           1.234            0.000            0.074           10.519
         10.555           1.233            0.000            0.075           10.569
         10.605           1.232            0.000            0.075           10.619
         10.655           1.230            0.000            0.076           10.669
         10.705           1.229            0.000            0.076           10.719
         10.755           1.228            0.000            0.076           10.770
         10.805           1.226            0.000            0.076           10.820
         10.856           1.224            0.000            0.076           10.870
         10.905           1.223            0.000            0.076           10.920
         10.955           1.221            0.000            0.077           10.970
         11.005           1.220            0.000            0.077           11.019
         11.055           1.219            0.000            0.077           11.069
         11.105           1.217            0.000            0.078           11.120
         11.155           1.216            0.000            0.078           11.170
         11.206           1.214            0.000            0.078           11.220
         11.256           1.212            0.000            0.078           11.270
         11.306           1.211            0.000            0.078           11.320
         11.356           1.209            0.000            0.078           11.370
         11.406           1.207            0.000            0.078           11.420
         11.455           1.206            0.000            0.078           11.470
         11.505           1.205            0.000            0.078           11.520
         11.555           1.203            0.000            0.078           11.570
         11.605           1.202            0.000            0.079           11.620
         11.655           1.201            0.000            0.079           11.670
         11.706           1.199            0.000            0.079           11.720
         11.756           1.198            0.000            0.079           11.771
         11.806           1.196            0.000            0.079           11.821
         11.857           1.194            0.000            0.078           11.871
         11.907           1.192            0.000            0.078           11.921
         11.956           1.190            0.000            0.077           11.971
         12.006           1.188            0.000            0.077           12.021
         12.056           1.186            0.000            0.077           12.071
         12.105           1.185            0.000            0.077           12.120
         12.155           1.184            0.000            0.078           12.170
         12.205           1.182            0.000            0.078           12.220
         12.255           1.181            0.000            0.079           12.270
         12.306           1.180            0.000            0.079           12.321
         12.356           1.178            0.000            0.079           12.371
         12.406           1.177            0.000            0.079           12.421
         12.456           1.175            0.000            0.079           12.471
         12.506           1.173            0.000            0.078           12.521
         12.556           1.171            0.000            0.078           12.571
         12.606           1.170            0.000            0.078           12.621
         12.656           1.168            0.000            0.078           12.671
         12.706           1.167            0.000            0.078           12.721
         12.756           1.165            0.000            0.078           12.771
         12.806           1.164            0.000            0.078           12.821
         12.856           1.162            0.000            0.078           12.871
         12.906           1.161            0.000            0.078           12.922
         12.956           1.159            0.000            0.078           12.972
         13.006           1.157            0.000            0.078           13.022
         13.056           1.155            0.000            0.078           13.072
         13.106           1.154            0.000            0.077           13.122
         13.156           1.152            0.000            0.077           13.171
         13.206           1.151            0.000            0.077           13.221
         13.256           1.149            0.000            0.078           13.271
         13.306           1.148            0.000            0.078           13.321
         13.356           1.147            0.000            0.078           13.371
         13.406           1.145            0.000            0.078           13.422
         13.456           1.144            0.000            0.078           13.472
         13.506           1.142            0.000            0.078           13.522
         13.557           1.140            0.000            0.078           13.572
         13.607           1.138            0.000            0.077           13.622
         13.656           1.137            0.000            0.077           13.672
         13.706           1.135            0.000            0.077           13.722
         13.756           1.134            0.000            0.077           13.772
         13.806           1.132            0.000            0.077           13.821
         13.855           1.131            0.000            0.078           13.871
         13.905           1.130            0.000            0.078           13.921
         13.956           1.129            0.000            0.079           13.971
         14.006           1.128            0.000            0.079           14.022
         14.056           1.127            0.000            0.079           14.072
         14.107           1.125            0.000            0.079           14.122
         14.157           1.123            0.000            0.078           14.173
         14.207           1.121            0.000            0.078           14.223
         14.257           1.119            0.000            0.077           14.273
         14.307           1.118            0.000            0.077           14.323
         14.356           1.116            0.000            0.077           14.372
         14.406           1.114            0.000            0.077           14.422
         14.456           1.113            0.000            0.077           14.472
         14.506           1.112            0.000            0.077           14.522
         14.556           1.111            0.000            0.078           14.572
         14.606           1.110            0.000            0.078           14.622
         14.656           1.109            0.000            0.078           14.672
         14.706           1.107            0.000            0.079           14.722
         14.756           1.106            0.000            0.079           14.772
         14.806           1.105            0.000            0.079           14.822
         14.856           1.103            0.000            0.079           14.873
         14.907           1.102            0.000            0.079           14.923
         14.957           1.100            0.000            0.079           14.973
         15.007           1.099            0.000            0.078           15.023
         15.057           1.097            0.000            0.078           15.073
         15.107           1.096            0.000            0.078           15.123
         15.157           1.094            0.000            0.078           15.173
         15.207           1.092            0.000            0.078           15.223
         15.257           1.091            0.000            0.077           15.273
         15.307           1.089            0.000            0.077           15.323
         15.357           1.087            0.000            0.077           15.373
         15.407           1.086            0.000            0.077           15.423
         15.457           1.084            0.000            0.077           15.473
         15.507           1.083            0.000            0.077           15.523
         15.557           1.081            0.000            0.077           15.573
         15.607           1.080            0.000            0.076           15.623
         15.657           1.078            0.000            0.076           15.673
         15.707           1.077            0.000            0.076           15.723
         15.757           1.075            0.000            0.076           15.774
         15.807           1.073            0.000            0.076           15.824
         15.857           1.072            0.000            0.075           15.874
         15.907           1.070            0.000            0.075           15.924
         15.957           1.068            0.000            0.075           15.974
         16.007           1.067            0.000            0.074           16.024
         16.057           1.065            0.000            0.074           16.074
         16.107           1.063            0.000            0.074           16.124
         16.157           1.062            0.000            0.073           16.174
         16.207           1.060            0.000            0.073           16.224
         16.257           1.058            0.000            0.072           16.274
         16.308           1.056            0.000            0.072           16.324
         16.358           1.054            0.000            0.071           16.375
         16.407           1.052            0.000            0.070           16.424
         16.457           1.050            0.000            0.070           16.474
         16.507           1.048            0.000            0.069           16.524
         16.557           1.047            0.000            0.069           16.574
         16.606           1.045            0.000            0.069           16.624
         16.656           1.044            0.000            0.069           16.673
         16.706           1.043            0.000            0.069           16.723
         16.756           1.042            0.000            0.069           16.774
         16.807           1.040            0.000            0.069           16.824
         16.857           1.039            0.000            0.069           16.874
         16.907           1.037            0.000            0.069           16.925
         16.958           1.035            0.000            0.068           16.975
         17.008           1.032            0.000            0.067           17.025
         17.058           1.030            0.000            0.065           17.076
         17.108           1.027            0.000            0.064           17.126
         17.158           1.024            0.000            0.063           17.176
         17.208           1.022            0.000            0.062           17.225
         17.257           1.020            0.000            0.061           17.275
         17.307           1.018            0.000            0.060           17.325
         17.357           1.016            0.000            0.059           17.374
         17.406           1.015            0.000            0.059           17.424
         17.456           1.013            0.000            0.059           17.474
         17.506           1.012            0.000            0.059           17.524
