           X               Y                Z                A                C
          0.014           1.329            0.000           -0.183            0.051
          0.064           1.319            0.000           -0.184            0.102
          0.114           1.309            0.000           -0.185            0.153
          0.164           1.299            0.000           -0.186            0.204
          0.214           1.289            0.000           -0.188            0.255
          0.264           1.279            0.000           -0.189            0.306
          0.314           1.270            0.000           -0.190            0.357
          0.365           1.260            0.000           -0.192            0.409
          0.415           1.251            0.000           -0.193            0.460
          0.466           1.241            0.000           -0.195            0.511
          0.516           1.232            0.000           -0.196            0.563
          0.567           1.223            0.000           -0.197            0.614
          0.618           1.214            0.000           -0.198            0.666
          0.669           1.206            0.000           -0.199            0.718
          0.720           1.198            0.000           -0.200            0.770
          0.771           1.190            0.000           -0.200            0.821
          0.822           1.183            0.000           -0.201            0.872
          0.873           1.175            0.000           -0.201            0.924
          0.924           1.168            0.000           -0.201            0.975
          0.975           1.161            0.000           -0.202            1.026
          1.026           1.155            0.000           -0.202            1.078
          1.077           1.149            0.000           -0.202            1.130
          1.129           1.143            0.000           -0.201            1.182
          1.180           1.137            0.000           -0.201            1.234
          1.232           1.132            0.000           -0.200            1.285
          1.283           1.127            0.000           -0.199            1.337
          1.335           1.122            0.000           -0.198            1.389
          1.386           1.118            0.000           -0.197            1.440
          1.437           1.114            0.000           -0.195            1.492
          1.489           1.111            0.000           -0.194            1.543
          1.540           1.107            0.000           -0.192            1.595
          1.591           1.105            0.000           -0.191            1.646
          1.642           1.102            0.000           -0.189            1.697
          1.693           1.100            0.000           -0.188            1.748
          1.744           1.097            0.000           -0.186            1.799
          1.795           1.095            0.000           -0.185            1.850
          1.846           1.094            0.000           -0.183            1.901
          1.898           1.092            0.000           -0.181            1.953
          1.949           1.091            0.000           -0.179            2.004
          2.000           1.091            0.000           -0.177            2.055
          2.051           1.090            0.000           -0.175            2.106
          2.101           1.090            0.000           -0.172            2.156
          2.152           1.090            0.000           -0.169            2.207
          2.202           1.089            0.000           -0.166            2.257
          2.253           1.089            0.000           -0.163            2.308
          2.303           1.090            0.000           -0.160            2.358
          2.354           1.090            0.000           -0.156            2.409
          2.404           1.091            0.000           -0.152            2.459
          2.455           1.091            0.000           -0.149            2.510
          2.505           1.092            0.000           -0.145            2.560
          2.554           1.093            0.000           -0.141            2.609
          2.604           1.093            0.000           -0.137            2.659
          2.654           1.094            0.000           -0.134            2.709
          2.704           1.094            0.000           -0.130            2.759
          2.755           1.095            0.000           -0.126            2.810
          2.805           1.096            0.000           -0.122            2.860
          2.855           1.097            0.000           -0.118            2.910
          2.905           1.097            0.000           -0.114            2.960
          2.955           1.098            0.000           -0.110            3.010
          3.004           1.099            0.000           -0.107            3.059
          3.054           1.099            0.000           -0.103            3.109
          3.104           1.100            0.000           -0.100            3.159
          3.154           1.100            0.000           -0.096            3.209
          3.204           1.100            0.000           -0.093            3.259
          3.254           1.100            0.000           -0.090            3.309
          3.304           1.100            0.000           -0.086            3.359
          3.354           1.100            0.000           -0.083            3.409
