           X               Y                Z                A                C
          0.059           1.511            0.000            0.188            0.000
          0.105           1.497            0.000            0.180            0.048
          0.151           1.482            0.000            0.172            0.097
          0.197           1.468            0.000            0.165            0.145
          0.244           1.455            0.000            0.157            0.194
          0.291           1.441            0.000            0.150            0.243
          0.338           1.428            0.000            0.143            0.292
          0.386           1.415            0.000            0.135            0.341
          0.433           1.403            0.000            0.127            0.390
          0.481           1.390            0.000            0.119            0.439
          0.528           1.378            0.000            0.112            0.488
          0.576           1.366            0.000            0.104            0.537
          0.623           1.354            0.000            0.096            0.586
          0.670           1.343            0.000            0.088            0.635
          0.718           1.332            0.000            0.080            0.683
          0.766           1.322            0.000            0.073            0.732
          0.814           1.312            0.000            0.066            0.781
          0.862           1.303            0.000            0.059            0.830
          0.910           1.293            0.000            0.052            0.880
          0.959           1.284            0.000            0.045            0.929
          1.007           1.276            0.000            0.038            0.978
          1.056           1.267            0.000            0.032            1.028
          1.105           1.259            0.000            0.026            1.077
          1.154           1.250            0.000            0.020            1.127
          1.203           1.243            0.000            0.015            1.177
          1.252           1.235            0.000            0.010            1.226
          1.301           1.228            0.000            0.005            1.276
          1.351           1.221            0.000            0.001            1.326
          1.400           1.215            0.000           -0.003            1.376
          1.450           1.209            0.000           -0.007            1.426
          1.500           1.204            0.000           -0.010            1.476
          1.550           1.198            0.000           -0.013            1.526
          1.599           1.194            0.000           -0.016            1.576
          1.649           1.189            0.000           -0.018            1.626
          1.699           1.185            0.000           -0.020            1.677
          1.749           1.181            0.000           -0.022            1.727
          1.799           1.177            0.000           -0.023            1.777
          1.849           1.173            0.000           -0.024            1.827
          1.900           1.170            0.000           -0.025            1.877
          1.950           1.167            0.000           -0.026            1.928
          2.000           1.165            0.000           -0.026            1.978
          2.050           1.162            0.000           -0.026            2.028
          2.100           1.160            0.000           -0.026            2.078
          2.150           1.158            0.000           -0.026            2.128
          2.200           1.156            0.000           -0.025            2.178
          2.250           1.154            0.000           -0.025            2.229
          2.300           1.153            0.000           -0.024            2.279
          2.351           1.151            0.000           -0.024            2.329
          2.401           1.150            0.000           -0.023            2.379
          2.451           1.148            0.000           -0.022            2.429
