           X               Y                Z                A                C
          0.050           1.633            0.000            0.003            0.000
          0.101           1.626            0.000            0.003            0.051
          0.151           1.618            0.000            0.004            0.101
          0.201           1.611            0.000            0.005            0.152
          0.251           1.605            0.000            0.007            0.202
          0.301           1.600            0.000            0.009            0.253
          0.351           1.594            0.000            0.010            0.303
          0.401           1.589            0.000            0.012            0.354
          0.452           1.583            0.000            0.013            0.404
          0.502           1.578            0.000            0.014            0.455
          0.552           1.573            0.000            0.014            0.505
          0.602           1.567            0.000            0.014            0.555
          0.652           1.562            0.000            0.014            0.605
          0.701           1.558            0.000            0.014            0.655
          0.751           1.554            0.000            0.014            0.705
          0.801           1.551            0.000            0.014            0.755
          0.851           1.548            0.000            0.014            0.805
          0.901           1.545            0.000            0.014            0.856
          0.951           1.543            0.000            0.015            0.906
          1.001           1.541            0.000            0.015            0.956
          1.051           1.538            0.000            0.015            1.006
          1.101           1.536            0.000            0.015            1.056
          1.151           1.534            0.000            0.016            1.106
          1.201           1.532            0.000            0.016            1.156
          1.251           1.530            0.000            0.016            1.206
          1.301           1.529            0.000            0.017            1.256
          1.351           1.528            0.000            0.018            1.306
          1.401           1.527            0.000            0.020            1.356
          1.451           1.526            0.000            0.021            1.406
          1.501           1.526            0.000            0.023            1.456
          1.551           1.526            0.000            0.026            1.506
          1.601           1.526            0.000            0.028            1.556
          1.651           1.525            0.000            0.029            1.606
          1.701           1.524            0.000            0.031            1.656
          1.751           1.523            0.000            0.032            1.706
          1.802           1.522            0.000            0.034            1.756
          1.852           1.521            0.000            0.035            1.806
          1.901           1.520            0.000            0.036            1.856
          1.951           1.520            0.000            0.038            1.906
          2.001           1.519            0.000            0.040            1.956
          2.051           1.519            0.000            0.042            2.006
          2.101           1.520            0.000            0.045            2.055
          2.150           1.520            0.000            0.048            2.105
          2.201           1.521            0.000            0.051            2.155
          2.251           1.521            0.000            0.053            2.206
          2.301           1.521            0.000            0.056            2.256
          2.352           1.521            0.000            0.058            2.307
          2.402           1.520            0.000            0.059            2.357
          2.453           1.518            0.000            0.060            2.408
          2.503           1.517            0.000            0.061            2.458
          2.553           1.515            0.000            0.062            2.508
          2.603           1.514            0.000            0.063            2.558
          2.653           1.513            0.000            0.064            2.607
          2.702           1.512            0.000            0.065            2.657
          2.752           1.511            0.000            0.067            2.707
          2.802           1.511            0.000            0.069            2.757
          2.853           1.510            0.000            0.070            2.808
          2.903           1.509            0.000            0.071            2.858
          2.954           1.507            0.000            0.072            2.909
          3.004           1.506            0.000            0.073            2.959
          3.054           1.504            0.000            0.074            3.009
          3.104           1.502            0.000            0.074            3.059
          3.154           1.500            0.000            0.074            3.109
          3.204           1.498            0.000            0.075            3.159
          3.254           1.496            0.000            0.075            3.209
          3.304           1.495            0.000            0.076            3.259
          3.353           1.493            0.000            0.077            3.309
          3.403           1.492            0.000            0.078            3.359
          3.453           1.491            0.000            0.080            3.409
          3.503           1.490            0.000            0.081            3.459
          3.553           1.489            0.000            0.082            3.509
          3.604           1.488            0.000            0.083            3.559
          3.654           1.486            0.000            0.084            3.609
          3.704           1.485            0.000            0.085            3.660
          3.755           1.483            0.000            0.086            3.710
          3.806           1.481            0.000            0.086            3.761
          3.856           1.479            0.000            0.086            3.812
          3.906           1.476            0.000            0.086            3.862
          3.956           1.473            0.000            0.085            3.912
          4.006           1.471            0.000            0.085            3.962
          4.055           1.469            0.000            0.085            4.011
          4.105           1.467            0.000            0.086            4.061
          4.154           1.465            0.000            0.087            4.110
          4.204           1.464            0.000            0.088            4.160
          4.255           1.462            0.000            0.088            4.211
          4.306           1.460            0.000            0.089            4.262
          4.356           1.458            0.000            0.089            4.312
          4.407           1.455            0.000            0.089            4.363
          4.457           1.452            0.000            0.088            4.413
          4.507           1.450            0.000            0.088            4.463
          4.556           1.447            0.000            0.088            4.512
          4.606           1.445            0.000            0.088            4.562
          4.656           1.443            0.000            0.088            4.612
          4.705           1.441            0.000            0.089            4.662
          4.755           1.439            0.000            0.089            4.712
          4.805           1.438            0.000            0.090            4.762
          4.855           1.436            0.000            0.091            4.812
          4.905           1.434            0.000            0.091            4.862
          4.955           1.433            0.000            0.092            4.912
          5.006           1.431            0.000            0.093            4.962
          5.056           1.429            0.000            0.093            5.013
          5.107           1.427            0.000            0.093            5.063
          5.157           1.424            0.000            0.093            5.114
          5.207           1.422            0.000            0.093            5.164
          5.257           1.419            0.000            0.092            5.214
          5.307           1.416            0.000            0.092            5.264
          5.357           1.414            0.000            0.092            5.314
          5.406           1.412            0.000            0.092            5.363
          5.456           1.410            0.000            0.092            5.413
          5.506           1.408            0.000            0.093            5.463
          5.556           1.406            0.000            0.094            5.513
          5.606           1.404            0.000            0.094            5.563
          5.657           1.402            0.000            0.094            5.614
          5.707           1.400            0.000            0.094            5.664
          5.758           1.397            0.000            0.094            5.715
          5.808           1.394            0.000            0.094            5.766
          5.858           1.391            0.000            0.093            5.816
          5.908           1.388            0.000            0.092            5.866
          5.958           1.385            0.000            0.091            5.916
          6.007           1.382            0.000            0.091            5.965
          6.057           1.380            0.000            0.091            6.014
          6.106           1.378            0.000            0.091            6.064
          6.156           1.377            0.000            0.092            6.113
          6.206           1.375            0.000            0.093            6.164
          6.257           1.373            0.000            0.093            6.215
          6.308           1.371            0.000            0.093            6.266
          6.358           1.368            0.000            0.093            6.316
          6.408           1.365            0.000            0.092            6.366
          6.458           1.362            0.000            0.092            6.416
          6.507           1.360            0.000            0.092            6.466
          6.557           1.358            0.000            0.092            6.515
          6.607           1.356            0.000            0.092            6.565
          6.657           1.354            0.000            0.092            6.616
          6.708           1.351            0.000            0.092            6.666
          6.758           1.348            0.000            0.092            6.717
          6.808           1.345            0.000            0.091            6.767
          6.858           1.343            0.000            0.091            6.817
          6.907           1.340            0.000            0.090            6.866
          6.956           1.338            0.000            0.091            6.915
          7.006           1.337            0.000            0.091            6.965
          7.056           1.335            0.000            0.092            7.015
          7.106           1.333            0.000            0.093            7.065
          7.157           1.332            0.000            0.093            7.116
          7.207           1.329            0.000            0.094            7.166
          7.257           1.327            0.000            0.094            7.216
          7.307           1.325            0.000            0.094            7.266
          7.357           1.323            0.000            0.094            7.316
          7.407           1.322            0.000            0.095            7.366
          7.457           1.320            0.000            0.095            7.416
          7.507           1.318            0.000            0.096            7.467
          7.558           1.316            0.000            0.096            7.517
          7.609           1.313            0.000            0.096            7.568
          7.659           1.310            0.000            0.095            7.618
          7.709           1.307            0.000            0.094            7.668
          7.759           1.305            0.000            0.094            7.718
          7.808           1.302            0.000            0.094            7.768
          7.857           1.300            0.000            0.094            7.817
          7.907           1.298            0.000            0.094            7.866
          7.956           1.297            0.000            0.095            7.916
          8.006           1.295            0.000            0.096            7.966
          8.057           1.294            0.000            0.097            8.016
          8.107           1.292            0.000            0.097            8.067
          8.158           1.290            0.000            0.098            8.118
          8.209           1.288            0.000            0.097            8.168
          8.259           1.285            0.000            0.097            8.219
          8.309           1.283            0.000            0.097            8.269
          8.358           1.280            0.000            0.097            8.318
          8.408           1.278            0.000            0.097            8.368
          8.459           1.275            0.000            0.097            8.419
          8.509           1.273            0.000            0.096            8.470
          8.560           1.270            0.000            0.095            8.520
          8.609           1.267            0.000            0.095            8.570
          8.659           1.264            0.000            0.094            8.619
          8.708           1.262            0.000            0.094            8.668
          8.757           1.260            0.000            0.095            8.717
          8.806           1.259            0.000            0.096            8.767
          8.856           1.258            0.000            0.097            8.817
          8.907           1.257            0.000            0.098            8.868
          8.959           1.255            0.000            0.098            8.919
          9.010           1.252            0.000            0.098            8.971
          9.061           1.248            0.000            0.096            9.022
          9.111           1.245            0.000            0.095            9.072
          9.160           1.242            0.000            0.094            9.121
          9.209           1.239            0.000            0.093            9.171
          9.259           1.236            0.000            0.093            9.220
          9.308           1.234            0.000            0.093            9.270
          9.358           1.232            0.000            0.093            9.319
          9.408           1.230            0.000            0.093            9.370
          9.459           1.227            0.000            0.093            9.420
          9.509           1.225            0.000            0.093            9.470
          9.559           1.222            0.000            0.092            9.521
          9.609           1.220            0.000            0.092            9.571
          9.659           1.218            0.000            0.092            9.620
          9.708           1.215            0.000            0.092            9.670
          9.758           1.213            0.000            0.092            9.720
          9.808           1.211            0.000            0.092            9.770
          9.859           1.209            0.000            0.092            9.821
          9.909           1.207            0.000            0.092            9.871
          9.960           1.204            0.000            0.091            9.922
         10.010           1.201            0.000            0.091            9.972
         10.059           1.198            0.000            0.090           10.021
         10.108           1.196            0.000            0.090           10.070
         10.157           1.195            0.000            0.091           10.119
