           X               Y                Z                A                C
          0.013           1.286            0.000            0.047            0.000
          0.061           1.273            0.000            0.040            0.050
          0.109           1.259            0.000            0.032            0.100
          0.156           1.247            0.000            0.025            0.149
          0.204           1.234            0.000            0.017            0.199
          0.253           1.222            0.000            0.010            0.248
          0.301           1.210            0.000            0.003            0.298
          0.349           1.199            0.000           -0.004            0.348
          0.398           1.188            0.000           -0.011            0.398
          0.446           1.177            0.000           -0.018            0.447
          0.495           1.167            0.000           -0.025            0.497
          0.544           1.157            0.000           -0.031            0.547
          0.593           1.147            0.000           -0.038            0.597
          0.642           1.137            0.000           -0.044            0.647
          0.691           1.128            0.000           -0.050            0.697
          0.741           1.120            0.000           -0.056            0.747
          0.790           1.111            0.000           -0.062            0.797
          0.840           1.103            0.000           -0.068            0.848
          0.890           1.096            0.000           -0.073            0.898
          0.939           1.088            0.000           -0.078            0.948
          0.989           1.081            0.000           -0.083            0.999
          1.039           1.075            0.000           -0.088            1.049
          1.090           1.069            0.000           -0.092            1.100
          1.140           1.063            0.000           -0.095            1.150
          1.190           1.057            0.000           -0.099            1.201
          1.240           1.052            0.000           -0.102            1.251
          1.290           1.047            0.000           -0.105            1.302
          1.341           1.042            0.000           -0.108            1.352
          1.391           1.037            0.000           -0.110            1.403
          1.441           1.033            0.000           -0.112            1.454
          1.492           1.029            0.000           -0.114            1.504
          1.543           1.025            0.000           -0.115            1.555
          1.593           1.021            0.000           -0.117            1.606
          1.644           1.018            0.000           -0.118            1.656
          1.695           1.015            0.000           -0.118            1.707
          1.745           1.012            0.000           -0.119            1.758
          1.796           1.010            0.000           -0.119            1.809
          1.846           1.008            0.000           -0.119            1.859
          1.897           1.006            0.000           -0.118            1.910
          1.948           1.004            0.000           -0.118            1.960
          1.998           1.003            0.000           -0.117            2.011
          2.048           1.001            0.000           -0.116            2.061
          2.099           1.000            0.000           -0.115            2.111
          2.149           0.999            0.000           -0.114            2.162
          2.199           0.998            0.000           -0.113            2.212
          2.249           0.997            0.000           -0.112            2.262
          2.300           0.996            0.000           -0.110            2.313
          2.350           0.995            0.000           -0.109            2.363
          2.400           0.995            0.000           -0.107            2.413
          2.450           0.994            0.000           -0.106            2.463
          2.500           0.994            0.000           -0.104            2.513
          2.550           0.993            0.000           -0.103            2.563
          2.600           0.992            0.000           -0.101            2.613
          2.650           0.991            0.000           -0.100            2.663
          2.700           0.991            0.000           -0.099            2.713
          2.750           0.990            0.000           -0.097            2.763
          2.799           0.988            0.000           -0.096            2.813
          2.849           0.987            0.000           -0.095            2.862
          2.899           0.986            0.000           -0.094            2.912
