           X               Y                Z                A                C
          0.045           1.692            0.000           -0.022            0.051
          0.095           1.682            0.000           -0.024            0.102
          0.145           1.672            0.000           -0.025            0.153
          0.195           1.662            0.000           -0.026            0.203
          0.245           1.653            0.000           -0.028            0.254
          0.295           1.644            0.000           -0.029            0.305
          0.345           1.635            0.000           -0.030            0.356
          0.395           1.627            0.000           -0.031            0.406
          0.445           1.619            0.000           -0.032            0.457
          0.495           1.611            0.000           -0.033            0.508
          0.545           1.603            0.000           -0.034            0.559
          0.595           1.596            0.000           -0.035            0.609
          0.646           1.589            0.000           -0.035            0.660
          0.696           1.582            0.000           -0.035            0.711
          0.746           1.576            0.000           -0.036            0.761
          0.796           1.570            0.000           -0.036            0.812
          0.847           1.565            0.000           -0.035            0.862
          0.897           1.559            0.000           -0.035            0.913
          0.947           1.555            0.000           -0.035            0.963
          0.997           1.550            0.000           -0.034            1.014
          1.048           1.546            0.000           -0.033            1.064
          1.098           1.542            0.000           -0.032            1.115
          1.148           1.538            0.000           -0.031            1.165
          1.199           1.534            0.000           -0.030            1.216
          1.249           1.531            0.000           -0.029            1.266
          1.299           1.528            0.000           -0.028            1.316
          1.349           1.525            0.000           -0.027            1.366
          1.399           1.522            0.000           -0.026            1.417
          1.449           1.520            0.000           -0.024            1.467
          1.500           1.517            0.000           -0.023            1.517
          1.550           1.515            0.000           -0.022            1.567
          1.600           1.513            0.000           -0.021            1.618
          1.650           1.511            0.000           -0.020            1.668
          1.700           1.509            0.000           -0.019            1.718
          1.750           1.507            0.000           -0.018            1.768
          1.800           1.505            0.000           -0.018            1.818
          1.850           1.503            0.000           -0.018            1.868
          1.900           1.501            0.000           -0.017            1.918
          1.950           1.499            0.000           -0.017            1.968
          2.000           1.498            0.000           -0.017            2.018
          2.050           1.496            0.000           -0.017            2.068
          2.100           1.494            0.000           -0.017            2.118
          2.150           1.492            0.000           -0.018            2.168
          2.200           1.490            0.000           -0.018            2.218
          2.250           1.488            0.000           -0.018            2.268
          2.300           1.486            0.000           -0.019            2.319
          2.350           1.484            0.000           -0.019            2.369
          2.400           1.481            0.000           -0.020            2.419
          2.450           1.479            0.000           -0.020            2.469
          2.500           1.477            0.000           -0.020            2.519
          2.550           1.475            0.000           -0.021            2.569
          2.600           1.473            0.000           -0.021            2.619
          2.650           1.471            0.000           -0.021            2.669
          2.700           1.469            0.000           -0.022            2.719
          2.750           1.467            0.000           -0.022            2.769
          2.800           1.465            0.000           -0.023            2.819
          2.850           1.462            0.000           -0.023            2.869
          2.900           1.460            0.000           -0.024            2.919
          2.950           1.458            0.000           -0.024            2.969
          3.000           1.455            0.000           -0.025            3.019
          3.050           1.453            0.000           -0.025            3.069
          3.101           1.451            0.000           -0.026            3.119
          3.151           1.449            0.000           -0.026            3.170
          3.201           1.448            0.000           -0.026            3.220
          3.251           1.446            0.000           -0.026            3.270
          3.301           1.444            0.000           -0.026            3.320
          3.351           1.442            0.000           -0.026            3.370
          3.401           1.440            0.000           -0.027            3.420
          3.451           1.438            0.000           -0.027            3.470
          3.501           1.436            0.000           -0.027            3.520
          3.551           1.435            0.000           -0.027            3.570
          3.601           1.433            0.000           -0.027            3.620
          3.651           1.431            0.000           -0.027            3.670
          3.701           1.430            0.000           -0.027            3.720
          3.751           1.428            0.000           -0.027            3.770
          3.801           1.427            0.000           -0.026            3.820
          3.851           1.426            0.000           -0.026            3.871
          3.901           1.424            0.000           -0.026            3.921
          3.951           1.423            0.000           -0.025            3.971
          4.001           1.422            0.000           -0.025            4.021
          4.051           1.421            0.000           -0.024            4.071
          4.101           1.420            0.000           -0.024            4.121
          4.151           1.418            0.000           -0.023            4.171
          4.201           1.417            0.000           -0.023            4.221
          4.251           1.415            0.000           -0.023            4.271
          4.301           1.414            0.000           -0.023            4.321
          4.352           1.412            0.000           -0.023            4.371
          4.402           1.411            0.000           -0.022            4.421
          4.452           1.410            0.000           -0.022            4.471
          4.502           1.408            0.000           -0.022            4.521
          4.552           1.407            0.000           -0.021            4.571
          4.602           1.406            0.000           -0.021            4.621
          4.652           1.404            0.000           -0.021            4.671
          4.702           1.403            0.000           -0.021            4.721
          4.752           1.401            0.000           -0.020            4.771
          4.802           1.400            0.000           -0.020            4.822
          4.852           1.399            0.000           -0.020            4.872
          4.902           1.398            0.000           -0.019            4.922
          4.952           1.396            0.000           -0.019            4.972
          5.002           1.395            0.000           -0.019            5.022
          5.052           1.394            0.000           -0.019            5.072
          5.102           1.392            0.000           -0.019            5.122
          5.152           1.390            0.000           -0.019            5.172
          5.202           1.389            0.000           -0.019            5.222
          5.252           1.387            0.000           -0.019            5.272
          5.302           1.385            0.000           -0.019            5.322
          5.352           1.384            0.000           -0.019            5.372
          5.402           1.382            0.000           -0.019            5.422
          5.452           1.381            0.000           -0.019            5.472
          5.502           1.379            0.000           -0.018            5.522
          5.552           1.378            0.000           -0.018            5.572
          5.602           1.377            0.000           -0.018            5.622
          5.652           1.375            0.000           -0.018            5.672
          5.702           1.374            0.000           -0.017            5.722
          5.752           1.372            0.000           -0.017            5.772
          5.802           1.371            0.000           -0.017            5.822
          5.852           1.369            0.000           -0.017            5.872
          5.902           1.367            0.000           -0.017            5.922
          5.952           1.366            0.000           -0.018            5.972
          6.002           1.364            0.000           -0.018            6.023
          6.052           1.362            0.000           -0.018            6.073
          6.102           1.360            0.000           -0.019            6.123
          6.152           1.358            0.000           -0.019            6.173
          6.202           1.356            0.000           -0.019            6.223
          6.252           1.355            0.000           -0.019            6.273
          6.303           1.353            0.000           -0.019            6.323
          6.353           1.352            0.000           -0.018            6.373
          6.403           1.351            0.000           -0.018            6.423
          6.453           1.350            0.000           -0.018            6.473
          6.503           1.348            0.000           -0.018            6.523
