           X               Y                Z                A                C
          0.062           1.596            0.000            0.274            0.000
          0.110           1.585            0.000            0.268            0.049
          0.159           1.574            0.000            0.262            0.099
          0.207           1.563            0.000            0.257            0.148
          0.255           1.552            0.000            0.251            0.197
          0.303           1.542            0.000            0.244            0.247
          0.351           1.531            0.000            0.238            0.296
          0.399           1.521            0.000            0.231            0.345
          0.448           1.510            0.000            0.224            0.395
          0.496           1.500            0.000            0.217            0.444
          0.543           1.490            0.000            0.210            0.493
          0.591           1.481            0.000            0.203            0.541
          0.638           1.471            0.000            0.196            0.590
          0.686           1.462            0.000            0.189            0.638
          0.733           1.453            0.000            0.182            0.686
          0.781           1.445            0.000            0.176            0.734
          0.829           1.437            0.000            0.169            0.783
          0.877           1.429            0.000            0.163            0.831
          0.925           1.421            0.000            0.157            0.880
          0.973           1.414            0.000            0.152            0.929
          1.022           1.407            0.000            0.146            0.978
          1.070           1.400            0.000            0.141            1.027
          1.119           1.393            0.000            0.136            1.077
          1.168           1.387            0.000            0.131            1.126
          1.217           1.381            0.000            0.126            1.175
          1.266           1.375            0.000            0.122            1.224
          1.314           1.369            0.000            0.117            1.274
          1.363           1.363            0.000            0.113            1.323
          1.412           1.358            0.000            0.110            1.372
          1.461           1.353            0.000            0.106            1.421
          1.511           1.349            0.000            0.103            1.471
          1.560           1.344            0.000            0.101            1.520
          1.609           1.340            0.000            0.098            1.569
          1.658           1.337            0.000            0.096            1.619
          1.707           1.333            0.000            0.095            1.668
          1.757           1.330            0.000            0.093            1.718
          1.806           1.327            0.000            0.092            1.767
          1.856           1.325            0.000            0.091            1.817
          1.906           1.322            0.000            0.090            1.867
          1.955           1.320            0.000            0.089            1.917
          2.005           1.318            0.000            0.089            1.966
          2.055           1.316            0.000            0.088            2.016
          2.105           1.314            0.000            0.088            2.066
          2.154           1.312            0.000            0.088            2.115
          2.204           1.311            0.000            0.088            2.165
          2.253           1.310            0.000            0.089            2.215
          2.303           1.309            0.000            0.089            2.264
          2.353           1.308            0.000            0.090            2.314
          2.402           1.308            0.000            0.091            2.364
          2.452           1.307            0.000            0.093            2.413
          2.502           1.307            0.000            0.094            2.463
          2.551           1.308            0.000            0.096            2.513
          2.601           1.308            0.000            0.098            2.563
          2.651           1.308            0.000            0.100            2.613
          2.701           1.308            0.000            0.102            2.663
          2.752           1.309            0.000            0.103            2.713
          2.802           1.309            0.000            0.105            2.763
          2.852           1.309            0.000            0.107            2.813
          2.902           1.309            0.000            0.109            2.863
          2.952           1.309            0.000            0.110            2.914
          3.003           1.309            0.000            0.111            2.964
          3.053           1.309            0.000            0.113            3.014
          3.103           1.308            0.000            0.114            3.064
          3.153           1.308            0.000            0.115            3.114
          3.203           1.308            0.000            0.117            3.164
          3.253           1.308            0.000            0.118            3.214
          3.303           1.308            0.000            0.120            3.264
          3.353           1.308            0.000            0.121            3.314
          3.403           1.308            0.000            0.123            3.364
          3.453           1.307            0.000            0.124            3.414
          3.503           1.307            0.000            0.126            3.464
          3.553           1.307            0.000            0.127            3.514
          3.604           1.307            0.000            0.128            3.565
          3.654           1.307            0.000            0.129            3.615
          3.704           1.306            0.000            0.130            3.666
          3.755           1.305            0.000            0.131            3.716
          3.805           1.304            0.000            0.132            3.766
          3.855           1.304            0.000            0.133            3.816
          3.905           1.303            0.000            0.133            3.867
          3.955           1.302            0.000            0.134            3.917
          4.005           1.301            0.000            0.134            3.967
          4.056           1.300            0.000            0.135            4.017
          4.106           1.299            0.000            0.136            4.067
          4.156           1.298            0.000            0.136            4.117
          4.206           1.297            0.000            0.136            4.168
          4.257           1.295            0.000            0.137            4.218
          4.307           1.294            0.000            0.137            4.268
          4.357           1.293            0.000            0.137            4.319
