           X               Y                Z                A                C
          0.019           0.919            0.000           -0.199            0.050
          0.070           0.911            0.000           -0.202            0.101
          0.120           0.904            0.000           -0.206            0.152
          0.170           0.896            0.000           -0.209            0.203
          0.220           0.889            0.000           -0.213            0.253
          0.270           0.882            0.000           -0.216            0.304
          0.321           0.875            0.000           -0.220            0.355
          0.372           0.869            0.000           -0.223            0.406
          0.423           0.862            0.000           -0.226            0.458
          0.474           0.856            0.000           -0.229            0.509
          0.525           0.851            0.000           -0.232            0.561
          0.576           0.845            0.000           -0.234            0.611
          0.626           0.840            0.000           -0.237            0.662
          0.676           0.835            0.000           -0.240            0.712
          0.726           0.830            0.000           -0.242            0.763
          0.777           0.825            0.000           -0.245            0.814
          0.828           0.820            0.000           -0.247            0.865
          0.880           0.816            0.000           -0.250            0.917
          0.931           0.812            0.000           -0.252            0.968
          0.982           0.808            0.000           -0.253            1.019
          1.033           0.804            0.000           -0.255            1.071
          1.084           0.801            0.000           -0.256            1.122
          1.136           0.798            0.000           -0.257            1.174
          1.187           0.795            0.000           -0.257            1.225
          1.239           0.792            0.000           -0.258            1.277
          1.290           0.790            0.000           -0.258            1.328
          1.342           0.788            0.000           -0.257            1.380
          1.393           0.787            0.000           -0.257            1.431
          1.444           0.785            0.000           -0.256            1.482
          1.496           0.784            0.000           -0.254            1.534
          1.547           0.783            0.000           -0.253            1.585
          1.599           0.783            0.000           -0.251            1.637
          1.651           0.783            0.000           -0.249            1.689
          1.703           0.783            0.000           -0.246            1.741
          1.754           0.784            0.000           -0.243            1.792
          1.805           0.785            0.000           -0.240            1.843
          1.856           0.786            0.000           -0.236            1.894
          1.907           0.787            0.000           -0.233            1.945
          1.957           0.789            0.000           -0.229            1.996
          2.008           0.790            0.000           -0.225            2.046
          2.058           0.792            0.000           -0.221            2.096
          2.108           0.793            0.000           -0.217            2.146
          2.158           0.795            0.000           -0.213            2.196
          2.208           0.797            0.000           -0.208            2.246
          2.259           0.799            0.000           -0.204            2.297
          2.309           0.801            0.000           -0.199            2.348
          2.359           0.803            0.000           -0.195            2.398
          2.409           0.805            0.000           -0.190            2.447
          2.457           0.807            0.000           -0.186            2.496
          2.505           0.808            0.000           -0.182            2.544
          2.555           0.809            0.000           -0.178            2.593
          2.605           0.810            0.000           -0.175            2.643
          2.655           0.812            0.000           -0.171            2.694
          2.706           0.813            0.000           -0.167            2.745
          2.756           0.815            0.000           -0.163            2.795
          2.805           0.816            0.000           -0.159            2.844
          2.854           0.817            0.000           -0.155            2.892
          2.902           0.818            0.000           -0.152            2.940
          2.951           0.818            0.000           -0.150            2.989
          3.001           0.818            0.000           -0.147            3.040
          3.053           0.818            0.000           -0.144            3.091
          3.104           0.819            0.000           -0.141            3.142
          3.154           0.820            0.000           -0.137            3.193
          3.203           0.821            0.000           -0.133            3.242
          3.252           0.821            0.000           -0.130            3.291
          3.300           0.821            0.000           -0.128            3.339
          3.349           0.821            0.000           -0.126            3.388
          3.400           0.820            0.000           -0.123            3.439
          3.451           0.820            0.000           -0.121            3.490
          3.502           0.820            0.000           -0.118            3.541
