           X               Y                Z                A                C
          0.001           1.653            0.000            0.006            0.000
          0.051           1.641            0.000            0.005            0.051
          0.101           1.630            0.000            0.003            0.102
          0.151           1.619            0.000            0.002            0.153
          0.200           1.608            0.000            0.000            0.204
          0.250           1.597            0.000           -0.001            0.255
          0.300           1.586            0.000           -0.003            0.305
          0.349           1.576            0.000           -0.004            0.356
          0.399           1.566            0.000           -0.006            0.407
          0.449           1.556            0.000           -0.007            0.458
          0.499           1.546            0.000           -0.009            0.509
          0.549           1.537            0.000           -0.010            0.559
          0.599           1.528            0.000           -0.011            0.610
          0.649           1.519            0.000           -0.012            0.661
          0.699           1.511            0.000           -0.013            0.711
          0.749           1.503            0.000           -0.013            0.762
          0.799           1.495            0.000           -0.014            0.813
          0.849           1.488            0.000           -0.015            0.863
          0.899           1.480            0.000           -0.015            0.914
          0.949           1.473            0.000           -0.016            0.964
          0.999           1.466            0.000           -0.016            1.015
          1.049           1.460            0.000           -0.017            1.065
          1.099           1.453            0.000           -0.017            1.116
          1.149           1.447            0.000           -0.017            1.166
          1.199           1.442            0.000           -0.017            1.217
          1.249           1.437            0.000           -0.018            1.267
          1.300           1.432            0.000           -0.018            1.318
          1.350           1.427            0.000           -0.018            1.368
          1.400           1.423            0.000           -0.018            1.418
          1.450           1.418            0.000           -0.018            1.469
          1.500           1.414            0.000           -0.019            1.519
          1.550           1.410            0.000           -0.019            1.569
          1.600           1.407            0.000           -0.019            1.619
          1.650           1.403            0.000           -0.019            1.670
          1.700           1.400            0.000           -0.019            1.720
          1.751           1.397            0.000           -0.018            1.770
          1.801           1.395            0.000           -0.017            1.820
          1.851           1.393            0.000           -0.016            1.871
          1.901           1.391            0.000           -0.015            1.921
          1.951           1.389            0.000           -0.014            1.971
          2.001           1.386            0.000           -0.012            2.021
          2.051           1.384            0.000           -0.011            2.071
          2.101           1.382            0.000           -0.010            2.121
          2.152           1.380            0.000           -0.009            2.172
          2.202           1.378            0.000           -0.007            2.222
          2.252           1.376            0.000           -0.006            2.272
          2.302           1.375            0.000           -0.004            2.322
          2.352           1.373            0.000           -0.002            2.372
          2.402           1.372            0.000            0.000            2.422
          2.452           1.371            0.000            0.002            2.472
          2.502           1.369            0.000            0.004            2.522
          2.552           1.368            0.000            0.005            2.573
          2.603           1.366            0.000            0.007            2.623
          2.653           1.365            0.000            0.009            2.673
          2.703           1.363            0.000            0.011            2.723
          2.753           1.361            0.000            0.012            2.773
          2.803           1.360            0.000            0.014            2.823
          2.853           1.358            0.000            0.016            2.873
          2.903           1.357            0.000            0.018            2.923
          2.953           1.356            0.000            0.019            2.974
          3.003           1.354            0.000            0.021            3.024
          3.053           1.353            0.000            0.023            3.074
          3.104           1.351            0.000            0.025            3.124
          3.154           1.350            0.000            0.027            3.174
          3.204           1.349            0.000            0.029            3.224
          3.254           1.347            0.000            0.030            3.274
          3.304           1.346            0.000            0.032            3.324
          3.354           1.344            0.000            0.034            3.375
          3.404           1.343            0.000            0.036            3.425
          3.454           1.341            0.000            0.037            3.475
          3.505           1.339            0.000            0.038            3.525
          3.555           1.337            0.000            0.040            3.575
          3.605           1.336            0.000            0.041            3.625
          3.655           1.334            0.000            0.043            3.675
          3.705           1.333            0.000            0.045            3.725
          3.755           1.331            0.000            0.047            3.775
          3.805           1.330            0.000            0.049            3.825
          3.855           1.329            0.000            0.050            3.876
          3.905           1.327            0.000            0.052            3.926
          3.956           1.326            0.000            0.054            3.976
          4.006           1.323            0.000            0.055            4.027
          4.056           1.321            0.000            0.055            4.077
          4.107           1.319            0.000            0.056            4.127
          4.156           1.316            0.000            0.057            4.177
          4.206           1.314            0.000            0.057            4.227
          4.256           1.312            0.000            0.059            4.277
          4.306           1.310            0.000            0.060            4.327
          4.356           1.309            0.000            0.062            4.377
          4.406           1.307            0.000            0.063            4.427
          4.457           1.305            0.000            0.064            4.478
          4.507           1.303            0.000            0.065            4.528
          4.557           1.301            0.000            0.066            4.579
          4.608           1.298            0.000            0.067            4.629
          4.658           1.296            0.000            0.067            4.679
          4.708           1.293            0.000            0.067            4.730
          4.758           1.290            0.000            0.068            4.780
          4.808           1.287            0.000            0.068            4.830
          4.858           1.284            0.000            0.068            4.880
          4.908           1.282            0.000            0.068            4.930
          4.958           1.279            0.000            0.069            4.980
          5.008           1.277            0.000            0.069            5.030
          5.058           1.274            0.000            0.070            5.080
          5.109           1.271            0.000            0.070            5.131
          5.159           1.269            0.000            0.070            5.181
          5.209           1.265            0.000            0.070            5.231
          5.259           1.262            0.000            0.070            5.282
          5.309           1.259            0.000            0.070            5.332
          5.359           1.256            0.000            0.069            5.382
          5.409           1.253            0.000            0.069            5.432
          5.459           1.250            0.000            0.069            5.482
          5.509           1.247            0.000            0.070            5.532
          5.559           1.244            0.000            0.070            5.582
          5.609           1.242            0.000            0.070            5.632
          5.659           1.239            0.000            0.070            5.682
          5.709           1.236            0.000            0.071            5.732
          5.759           1.234            0.000            0.071            5.782
          5.809           1.231            0.000            0.071            5.833
          5.859           1.228            0.000            0.071            5.883
          5.910           1.225            0.000            0.071            5.933
          5.960           1.222            0.000            0.071            5.983
          6.009           1.219            0.000            0.071            6.033
          6.059           1.216            0.000            0.071            6.083
          6.109           1.214            0.000            0.071            6.133
          6.159           1.211            0.000            0.071            6.183
          6.209           1.208            0.000            0.071            6.233
          6.260           1.206            0.000            0.072            6.283
