           X               Y                Z                A                C
          0.010           0.932            0.000            0.083            0.000
          0.059           0.926            0.000            0.078            0.049
          0.108           0.920            0.000            0.073            0.099
          0.157           0.915            0.000            0.068            0.149
          0.207           0.910            0.000            0.063            0.198
          0.256           0.905            0.000            0.059            0.248
          0.306           0.899            0.000            0.054            0.298
          0.355           0.894            0.000            0.050            0.347
          0.405           0.889            0.000            0.046            0.397
          0.454           0.885            0.000            0.042            0.447
          0.504           0.880            0.000            0.038            0.497
          0.553           0.875            0.000            0.035            0.546
          0.603           0.871            0.000            0.031            0.596
          0.653           0.867            0.000            0.028            0.646
          0.702           0.864            0.000            0.026            0.696
          0.752           0.860            0.000            0.024            0.746
          0.802           0.857            0.000            0.022            0.795
          0.852           0.855            0.000            0.020            0.845
          0.901           0.852            0.000            0.019            0.895
          0.951           0.850            0.000            0.018            0.945
          1.001           0.849            0.000            0.017            0.995
          1.051           0.847            0.000            0.017            1.045
          1.101           0.845            0.000            0.016            1.095
          1.151           0.844            0.000            0.016            1.145
          1.201           0.843            0.000            0.016            1.195
          1.251           0.841            0.000            0.016            1.245
          1.301           0.840            0.000            0.016            1.295
          1.351           0.839            0.000            0.016            1.345
          1.401           0.838            0.000            0.017            1.395
          1.451           0.837            0.000            0.017            1.445
          1.501           0.837            0.000            0.018            1.495
          1.551           0.837            0.000            0.019            1.545
          1.601           0.836            0.000            0.021            1.595
          1.651           0.836            0.000            0.022            1.645
          1.701           0.836            0.000            0.023            1.695
          1.751           0.836            0.000            0.025            1.745
          1.801           0.836            0.000            0.026            1.795
          1.851           0.836            0.000            0.027            1.845
          1.901           0.835            0.000            0.029            1.895
          1.951           0.835            0.000            0.030            1.946
          2.002           0.835            0.000            0.031            1.996
          2.052           0.834            0.000            0.032            2.046
          2.102           0.834            0.000            0.033            2.096
          2.152           0.834            0.000            0.034            2.146
          2.202           0.833            0.000            0.036            2.196
          2.252           0.833            0.000            0.037            2.246
          2.302           0.833            0.000            0.039            2.296
          2.352           0.833            0.000            0.040            2.346
          2.402           0.833            0.000            0.042            2.396
          2.452           0.833            0.000            0.043            2.446
          2.502           0.833            0.000            0.045            2.496
          2.552           0.833            0.000            0.047            2.546
          2.602           0.832            0.000            0.048            2.596
          2.652           0.832            0.000            0.050            2.646
          2.702           0.832            0.000            0.051            2.696
          2.752           0.832            0.000            0.053            2.746
          2.802           0.831            0.000            0.054            2.796
          2.852           0.831            0.000            0.055            2.846
          2.902           0.831            0.000            0.057            2.896
          2.952           0.830            0.000            0.058            2.946
          3.002           0.830            0.000            0.060            2.996
          3.052           0.830            0.000            0.062            3.046
          3.102           0.831            0.000            0.064            3.096
          3.152           0.831            0.000            0.066            3.146
          3.202           0.831            0.000            0.068            3.196
          3.252           0.831            0.000            0.069            3.246
          3.303           0.831            0.000            0.071            3.297
          3.353           0.830            0.000            0.072            3.348
          3.404           0.829            0.000            0.072            3.398
          3.454           0.828            0.000            0.073            3.448
          3.504           0.827            0.000            0.074            3.498
          3.553           0.826            0.000            0.075            3.547
          3.603           0.825            0.000            0.076            3.597
          3.653           0.825            0.000            0.077            3.647
          3.703           0.824            0.000            0.079            3.697
          3.753           0.824            0.000            0.080            3.748
          3.804           0.823            0.000            0.081            3.798
          3.854           0.822            0.000            0.082            3.848
          3.904           0.822            0.000            0.083            3.898
          3.953           0.821            0.000            0.085            3.948
          4.003           0.821            0.000            0.086            3.997
          4.053           0.820            0.000            0.087            4.048
          4.104           0.820            0.000            0.089            4.098
          4.154           0.819            0.000            0.090            4.148
          4.204           0.818            0.000            0.091            4.198
          4.254           0.818            0.000            0.092            4.248
          4.304           0.817            0.000            0.093            4.298
          4.354           0.816            0.000            0.094            4.348
          4.404           0.816            0.000            0.096            4.398
          4.454           0.815            0.000            0.097            4.448
          4.504           0.815            0.000            0.098            4.498
          4.554           0.814            0.000            0.099            4.548
          4.604           0.814            0.000            0.101            4.598
          4.654           0.813            0.000            0.102            4.649
          4.704           0.812            0.000            0.103            4.699
          4.754           0.812            0.000            0.104            4.749
          4.805           0.811            0.000            0.105            4.799
          4.855           0.810            0.000            0.106            4.849
          4.906           0.809            0.000            0.107            4.900
          4.956           0.808            0.000            0.107            4.950
          5.006           0.806            0.000            0.107            5.001
          5.056           0.805            0.000            0.108            5.051
          5.106           0.803            0.000            0.108            5.100
          5.155           0.802            0.000            0.109            5.149
          5.205           0.802            0.000            0.110            5.199
          5.255           0.801            0.000            0.111            5.249
          5.305           0.800            0.000            0.112            5.300
          5.356           0.799            0.000            0.113            5.351
          5.407           0.798            0.000            0.113            5.401
          5.457           0.796            0.000            0.113            5.452
          5.507           0.794            0.000            0.113            5.501
          5.556           0.793            0.000            0.114            5.551
          5.606           0.792            0.000            0.114            5.600
          5.655           0.791            0.000            0.115            5.650
          5.706           0.790            0.000            0.116            5.700
          5.757           0.789            0.000            0.117            5.751
          5.807           0.788            0.000            0.117            5.802
          5.857           0.786            0.000            0.117            5.852
          5.907           0.785            0.000            0.117            5.902
          5.957           0.783            0.000            0.117            5.951
          6.006           0.782            0.000            0.118            6.001
          6.056           0.781            0.000            0.119            6.050
          6.106           0.781            0.000            0.120            6.100
          6.156           0.780            0.000            0.120            6.151
          6.206           0.779            0.000            0.121            6.201
          6.257           0.778            0.000            0.122            6.252
          6.307           0.776            0.000            0.122            6.302
          6.357           0.775            0.000            0.122            6.352
          6.407           0.774            0.000            0.123            6.402
          6.457           0.773            0.000            0.123            6.452
          6.507           0.771            0.000            0.123            6.502
          6.557           0.770            0.000            0.124            6.552
          6.607           0.769            0.000            0.124            6.602
          6.657           0.768            0.000            0.124            6.652
          6.707           0.767            0.000            0.125            6.702
          6.757           0.766            0.000            0.125            6.752
          6.807           0.764            0.000            0.126            6.802
          6.857           0.763            0.000            0.126            6.852
          6.908           0.762            0.000            0.126            6.903
          6.958           0.761            0.000            0.126            6.953
          7.008           0.759            0.000            0.126            7.003
          7.059           0.757            0.000            0.126            7.053
          7.109           0.756            0.000            0.126            7.104
          7.159           0.754            0.000            0.126            7.154
          7.209           0.752            0.000            0.126            7.204
          7.259           0.751            0.000            0.125            7.254
          7.308           0.749            0.000            0.125            7.303
          7.358           0.748            0.000            0.125            7.353
          7.408           0.746            0.000            0.125            7.403
          7.458           0.745            0.000            0.125            7.453
          7.508           0.743            0.000            0.125            7.504
          7.559           0.742            0.000            0.125            7.554
          7.609           0.740            0.000            0.125            7.605
          7.660           0.738            0.000            0.124            7.655
          7.710           0.736            0.000            0.124            7.705
          7.759           0.734            0.000            0.123            7.754
          7.808           0.733            0.000            0.123            7.804
          7.858           0.732            0.000            0.123            7.853
          7.907           0.731            0.000            0.123            7.903
          7.958           0.730            0.000            0.124            7.953
          8.009           0.728            0.000            0.123            8.004
          8.060           0.726            0.000            0.123            8.056
          8.111           0.724            0.000            0.122            8.106
          8.160           0.722            0.000            0.121            8.156
          8.209           0.720            0.000            0.120            8.205
          8.258           0.718            0.000            0.120            8.254
          8.307           0.718            0.000            0.121            8.303
          8.357           0.717            0.000            0.121            8.353
          8.408           0.716            0.000            0.121            8.404
          8.459           0.714            0.000            0.121            8.455
          8.511           0.712            0.000            0.120            8.506
          8.561           0.710            0.000            0.119            8.557
          8.610           0.708            0.000            0.118            8.606
          8.660           0.706            0.000            0.117            8.655
          8.709           0.704            0.000            0.117            8.704
          8.758           0.703            0.000            0.117            8.754
          8.808           0.702            0.000            0.117            8.804
          8.858           0.701            0.000            0.117            8.854
          8.909           0.700            0.000            0.117            8.905
          8.961           0.698            0.000            0.116            8.956
          9.011           0.696            0.000            0.115            9.007
          9.061           0.693            0.000            0.114            9.057
          9.110           0.691            0.000            0.113            9.106
          9.159           0.690            0.000            0.113            9.155
          9.207           0.689            0.000            0.113            9.204
          9.257           0.688            0.000            0.113            9.253
          9.307           0.688            0.000            0.114            9.303
          9.358           0.687            0.000            0.114            9.355
          9.411           0.685            0.000            0.113            9.407
          9.462           0.683            0.000            0.112            9.458
          9.512           0.680            0.000            0.110            9.508
          9.560           0.678            0.000            0.109            9.557
          9.609           0.676            0.000            0.108            9.605
          9.657           0.675            0.000            0.109            9.654
          9.706           0.675            0.000            0.109            9.703
          9.756           0.675            0.000            0.110            9.753
          9.807           0.675            0.000            0.111            9.804
          9.859           0.674            0.000            0.111            9.855
          9.910           0.673            0.000            0.111            9.906
          9.960           0.671            0.000            0.110            9.956
         10.010           0.669            0.000            0.109           10.006
         10.059           0.668            0.000            0.109           10.056
         10.109           0.667            0.000            0.109           10.105
         10.158           0.666            0.000            0.109           10.154
         10.207           0.665            0.000            0.109           10.204
         10.257           0.665            0.000            0.109           10.254
         10.308           0.665            0.000            0.110           10.304
         10.359           0.664            0.000            0.110           10.355
         10.410           0.662            0.000            0.109           10.406
         10.461           0.661            0.000            0.109           10.457
         10.510           0.659            0.000            0.108           10.507
         10.560           0.657            0.000            0.107           10.556
         10.609           0.656            0.000            0.106           10.605
         10.658           0.655            0.000            0.106           10.655
         10.708           0.655            0.000            0.107           10.704
         10.758           0.654            0.000            0.107           10.755
         10.809           0.654            0.000            0.107           10.806
         10.860           0.652            0.000            0.107           10.856
         10.910           0.651            0.000            0.106           10.907
         10.960           0.649            0.000            0.105           10.957
         11.010           0.648            0.000            0.104           11.007
         11.060           0.646            0.000            0.103           11.056
         11.109           0.645            0.000            0.103           11.106
         11.159           0.644            0.000            0.103           11.156
         11.209           0.643            0.000            0.103           11.206
         11.259           0.642            0.000            0.102           11.256
         11.309           0.641            0.000            0.102           11.306
         11.360           0.640            0.000            0.101           11.357
         11.410           0.639            0.000            0.101           11.407
         11.460           0.637            0.000            0.100           11.457
         11.510           0.636            0.000            0.099           11.507
         11.560           0.634            0.000            0.098           11.557
         11.609           0.633            0.000            0.098           11.606
         11.659           0.632            0.000            0.097           11.656
         11.709           0.631            0.000            0.097           11.706
         11.759           0.630            0.000            0.097           11.756
         11.810           0.629            0.000            0.096           11.807
         11.860           0.628            0.000            0.095           11.857
         11.910           0.626            0.000            0.094           11.907
         11.960           0.625            0.000            0.093           11.957
         12.010           0.623            0.000            0.093           12.007
         12.060           0.622            0.000            0.092           12.057
         12.110           0.620            0.000            0.091           12.107
         12.160           0.619            0.000            0.090           12.157
         12.210           0.618            0.000            0.090           12.207
         12.260           0.617            0.000            0.089           12.257
         12.310           0.616            0.000            0.088           12.307
         12.360           0.615            0.000            0.088           12.357
         12.410           0.613            0.000            0.087           12.407
         12.460           0.612            0.000            0.086           12.458
         12.510           0.611            0.000            0.085           12.508
         12.560           0.609            0.000            0.084           12.558
         12.610           0.608            0.000            0.083           12.607
         12.660           0.606            0.000            0.082           12.657
         12.710           0.605            0.000            0.082           12.707
         12.760           0.604            0.000            0.081           12.757
         12.810           0.603            0.000            0.081           12.807
         12.860           0.602            0.000            0.080           12.857
         12.910           0.601            0.000            0.079           12.907
         12.960           0.600            0.000            0.079           12.957
         13.010           0.599            0.000            0.078           13.007
         13.060           0.598            0.000            0.077           13.057
         13.110           0.597            0.000            0.077           13.107
         13.160           0.595            0.000            0.076           13.158
         13.210           0.594            0.000            0.075           13.208
         13.260           0.593            0.000            0.074           13.258
         13.310           0.591            0.000            0.073           13.308
         13.360           0.590            0.000            0.072           13.358
         13.410           0.589            0.000            0.071           13.407
         13.460           0.588            0.000            0.071           13.457
         13.510           0.587            0.000            0.070           13.507
         13.560           0.586            0.000            0.070           13.557
         13.610           0.585            0.000            0.069           13.607
         13.660           0.584            0.000            0.068           13.658
         13.710           0.583            0.000            0.068           13.708
         13.760           0.582            0.000            0.067           13.758
         13.810           0.581            0.000            0.066           13.808
         13.860           0.579            0.000            0.065           13.858
         13.910           0.578            0.000            0.064           13.908
         13.960           0.577            0.000            0.063           13.958
         14.010           0.575            0.000            0.062           14.008
         14.060           0.574            0.000            0.061           14.058
         14.110           0.574            0.000            0.060           14.107
         14.160           0.573            0.000            0.060           14.157
         14.210           0.572            0.000            0.060           14.207
         14.260           0.572            0.000            0.059           14.257
         14.310           0.571            0.000            0.059           14.308
         14.360           0.570            0.000            0.058           14.358
         14.410           0.569            0.000            0.057           14.408
         14.460           0.568            0.000            0.056           14.458
         14.510           0.567            0.000            0.056           14.508
         14.560           0.566            0.000            0.055           14.558
         14.610           0.565            0.000            0.054           14.608
         14.660           0.564            0.000            0.053           14.658
         14.710           0.563            0.000            0.053           14.708
         14.760           0.563            0.000            0.053           14.757
         14.810           0.562            0.000            0.052           14.808
         14.860           0.562            0.000            0.052           14.858
         14.910           0.561            0.000            0.051           14.908
         14.960           0.560            0.000            0.051           14.958
         15.011           0.559            0.000            0.050           15.008
         15.061           0.557            0.000            0.049           15.059
         15.111           0.556            0.000            0.047           15.109
         15.161           0.555            0.000            0.046           15.158
         15.210           0.554            0.000            0.045           15.208
         15.260           0.553            0.000            0.045           15.258
         15.310           0.552            0.000            0.044           15.308
         15.360           0.552            0.000            0.045           15.357
         15.410           0.552            0.000            0.045           15.408
         15.460           0.552            0.000            0.045           15.458
         15.510           0.552            0.000            0.045           15.508
         15.560           0.552            0.000            0.044           15.558
         15.611           0.551            0.000            0.044           15.608
         15.661           0.550            0.000            0.043           15.659
         15.711           0.549            0.000            0.042           15.709
         15.761           0.547            0.000            0.041           15.759
         15.811           0.546            0.000            0.040           15.809
         15.860           0.546            0.000            0.039           15.858
         15.910           0.545            0.000            0.039           15.908
         15.960           0.545            0.000            0.039           15.958
         16.010           0.545            0.000            0.039           16.008
         16.060           0.546            0.000            0.040           16.058
         16.110           0.546            0.000            0.040           16.108
         16.160           0.546            0.000            0.040           16.158
         16.211           0.545            0.000            0.040           16.208
         16.261           0.545            0.000            0.039           16.259
         16.311           0.544            0.000            0.039           16.309
         16.361           0.543            0.000            0.038           16.359
         16.411           0.542            0.000            0.037           16.409
         16.461           0.541            0.000            0.036           16.459
         16.511           0.541            0.000            0.036           16.509
         16.560           0.541            0.000            0.036           16.558
         16.610           0.541            0.000            0.036           16.608
         16.660           0.541            0.000            0.037           16.658
         16.710           0.542            0.000            0.037           16.708
         16.760           0.542            0.000            0.038           16.758
         16.811           0.543            0.000            0.038           16.809
         16.861           0.542            0.000            0.038           16.859
         16.912           0.541            0.000            0.037           16.909
         16.962           0.540            0.000            0.035           16.960
         17.012           0.538            0.000            0.034           17.010
         17.061           0.537            0.000            0.033           17.059
         17.111           0.536            0.000            0.032           17.109
         17.161           0.536            0.000            0.032           17.159
         17.211           0.536            0.000            0.032           17.209
         17.260           0.536            0.000            0.032           17.258
         17.310           0.537            0.000            0.033           17.308
         17.360           0.538            0.000            0.034           17.358
         17.411           0.538            0.000            0.035           17.409
         17.461           0.539            0.000            0.035           17.459
         17.512           0.538            0.000            0.034           17.510
         17.562           0.537            0.000            0.033           17.560
         17.612           0.535            0.000            0.032           17.610
         17.662           0.534            0.000            0.030           17.660
         17.712           0.533            0.000            0.029           17.710
         17.762           0.532            0.000            0.028           17.760
         17.811           0.531            0.000            0.028           17.809
         17.861           0.532            0.000            0.028           17.859
         17.911           0.533            0.000            0.029           17.909
         17.960           0.534            0.000            0.031           17.959
         18.011           0.535            0.000            0.032           18.009
         18.061           0.536            0.000            0.033           18.059
         18.112           0.536            0.000            0.032           18.110
         18.162           0.535            0.000            0.032           18.160
         18.212           0.533            0.000            0.030           18.211
         18.262           0.532            0.000            0.029           18.261
         18.312           0.530            0.000            0.027           18.310
         18.362           0.529            0.000            0.026           18.360
         18.412           0.529            0.000            0.026           18.410
         18.461           0.529            0.000            0.026           18.460
         18.511           0.530            0.000            0.027           18.509
         18.561           0.531            0.000            0.028           18.559
         18.611           0.532            0.000            0.029           18.609
         18.661           0.533            0.000            0.030           18.659
         18.712           0.534            0.000            0.031           18.710
         18.762           0.534            0.000            0.031           18.760
         18.812           0.533            0.000            0.030           18.811
         18.863           0.532            0.000            0.029           18.861
         18.913           0.531            0.000            0.028           18.911
         18.963           0.529            0.000            0.027           18.961
         19.012           0.528            0.000            0.026           19.011
         19.062           0.528            0.000            0.025           19.060
         19.112           0.528            0.000            0.025           19.110
         19.161           0.529            0.000            0.026           19.160
         19.211           0.530            0.000            0.028           19.210
         19.261           0.531            0.000            0.029           19.260
         19.311           0.533            0.000            0.030           19.310
         19.362           0.534            0.000            0.031           19.360
         19.412           0.534            0.000            0.032           19.411
         19.463           0.534            0.000            0.032           19.461
         19.513           0.533            0.000            0.031           19.511
         19.563           0.532            0.000            0.030           19.561
         19.613           0.531            0.000            0.029           19.611
