           X               Y                Z                A                C
          0.041           0.999            0.000           -0.106            0.051
          0.092           0.995            0.000           -0.106            0.102
          0.143           0.991            0.000           -0.105            0.152
          0.193           0.988            0.000           -0.104            0.203
          0.243           0.984            0.000           -0.104            0.253
          0.294           0.981            0.000           -0.103            0.304
          0.345           0.978            0.000           -0.103            0.355
          0.396           0.976            0.000           -0.102            0.406
          0.447           0.974            0.000           -0.101            0.457
          0.497           0.972            0.000           -0.099            0.507
          0.548           0.970            0.000           -0.098            0.558
          0.598           0.969            0.000           -0.097            0.608
          0.649           0.968            0.000           -0.095            0.659
          0.699           0.967            0.000           -0.094            0.709
          0.750           0.967            0.000           -0.092            0.760
          0.800           0.967            0.000           -0.090            0.811
          0.851           0.967            0.000           -0.088            0.861
          0.901           0.968            0.000           -0.086            0.911
          0.951           0.968            0.000           -0.084            0.961
          1.001           0.969            0.000           -0.082            1.012
          1.051           0.969            0.000           -0.080            1.062
          1.102           0.970            0.000           -0.078            1.112
          1.152           0.971            0.000           -0.076            1.162
          1.202           0.972            0.000           -0.075            1.212
          1.252           0.973            0.000           -0.073            1.262
          1.302           0.974            0.000           -0.070            1.313
          1.352           0.975            0.000           -0.068            1.363
          1.402           0.977            0.000           -0.066            1.413
          1.452           0.978            0.000           -0.064            1.463
          1.502           0.979            0.000           -0.061            1.513
          1.552           0.981            0.000           -0.059            1.562
          1.602           0.982            0.000           -0.057            1.612
          1.652           0.983            0.000           -0.055            1.662
          1.702           0.984            0.000           -0.053            1.712
          1.752           0.985            0.000           -0.050            1.762
          1.802           0.987            0.000           -0.048            1.812
          1.852           0.988            0.000           -0.046            1.862
          1.902           0.989            0.000           -0.044            1.912
          1.951           0.990            0.000           -0.042            1.962
          2.001           0.991            0.000           -0.040            2.012
          2.051           0.992            0.000           -0.038            2.062
          2.101           0.992            0.000           -0.036            2.112
          2.151           0.993            0.000           -0.034            2.162
          2.201           0.994            0.000           -0.032            2.212
          2.251           0.995            0.000           -0.030            2.262
          2.301           0.995            0.000           -0.028            2.312
          2.351           0.996            0.000           -0.027            2.362
          2.401           0.997            0.000           -0.025            2.412
          2.451           0.997            0.000           -0.023            2.462
          2.501           0.998            0.000           -0.021            2.512
          2.551           0.998            0.000           -0.020            2.562
          2.601           0.999            0.000           -0.018            2.612
          2.651           0.999            0.000           -0.016            2.662
          2.701           1.000            0.000           -0.015            2.712
          2.751           1.001            0.000           -0.013            2.762
          2.801           1.001            0.000           -0.011            2.812
          2.851           1.002            0.000           -0.009            2.862
          2.901           1.002            0.000           -0.008            2.912
          2.951           1.002            0.000           -0.006            2.962
          3.001           1.003            0.000           -0.005            3.012
          3.051           1.003            0.000           -0.003            3.062
          3.101           1.003            0.000           -0.001            3.112
          3.151           1.004            0.000            0.000            3.162
          3.201           1.004            0.000            0.002            3.212
          3.251           1.005            0.000            0.004            3.262
          3.301           1.005            0.000            0.006            3.312
          3.351           1.005            0.000            0.007            3.362
          3.401           1.005            0.000            0.009            3.412
          3.451           1.005            0.000            0.010            3.462
          3.501           1.005            0.000            0.011            3.512
          3.551           1.005            0.000            0.012            3.562
          3.601           1.006            0.000            0.014            3.612
          3.651           1.006            0.000            0.016            3.662
          3.701           1.006            0.000            0.017            3.712
          3.751           1.006            0.000            0.019            3.762
          3.802           1.005            0.000            0.019            3.812
          3.852           1.004            0.000            0.020            3.862
          3.902           1.003            0.000            0.020            3.913
          3.952           1.002            0.000            0.020            3.963
          4.002           1.000            0.000            0.020            4.013
          4.052           0.999            0.000            0.020            4.062
          4.102           0.999            0.000            0.021            4.112
          4.152           0.998            0.000            0.022            4.162
          4.202           0.997            0.000            0.022            4.212
          4.252           0.997            0.000            0.023            4.263
          4.302           0.996            0.000            0.024            4.313
          4.352           0.994            0.000            0.024            4.363
          4.402           0.993            0.000            0.024            4.413
          4.452           0.991            0.000            0.023            4.463
          4.502           0.989            0.000            0.023            4.513
          4.552           0.988            0.000            0.023            4.563
          4.602           0.986            0.000            0.023            4.613
          4.652           0.985            0.000            0.024            4.663
          4.702           0.984            0.000            0.024            4.713
          4.752           0.983            0.000            0.025            4.763
          4.802           0.983            0.000            0.025            4.813
          4.852           0.982            0.000            0.026            4.863
          4.902           0.981            0.000            0.027            4.913
          4.952           0.980            0.000            0.027            4.963
          5.002           0.979            0.000            0.027            5.013
          5.053           0.977            0.000            0.027            5.064
          5.103           0.975            0.000            0.027            5.114
          5.153           0.974            0.000            0.027            5.164
          5.203           0.972            0.000            0.027            5.214
          5.253           0.970            0.000            0.026            5.264
          5.303           0.969            0.000            0.026            5.314
          5.352           0.967            0.000            0.027            5.364
          5.402           0.966            0.000            0.027            5.414
          5.452           0.965            0.000            0.028            5.464
          5.502           0.964            0.000            0.029            5.514
          5.553           0.963            0.000            0.029            5.564
          5.603           0.962            0.000            0.030            5.614
          5.653           0.961            0.000            0.030            5.664
          5.703           0.959            0.000            0.030            5.714
          5.753           0.958            0.000            0.030            5.764
          5.803           0.956            0.000            0.030            5.814
          5.853           0.954            0.000            0.030            5.864
          5.903           0.953            0.000            0.030            5.914
          5.953           0.952            0.000            0.030            5.964
          6.003           0.951            0.000            0.031            6.014
          6.053           0.950            0.000            0.031            6.064
          6.103           0.949            0.000            0.032            6.114
          6.153           0.948            0.000            0.033            6.164
          6.203           0.947            0.000            0.033            6.214
          6.253           0.946            0.000            0.034            6.264
          6.303           0.945            0.000            0.034            6.315
          6.353           0.943            0.000            0.034            6.365
          6.403           0.942            0.000            0.035            6.415
          6.453           0.941            0.000            0.035            6.465
          6.503           0.939            0.000            0.035            6.515
          6.553           0.938            0.000            0.036            6.565
          6.603           0.936            0.000            0.036            6.615
          6.653           0.935            0.000            0.036            6.665
          6.703           0.933            0.000            0.036            6.715
          6.753           0.932            0.000            0.036            6.765
          6.803           0.931            0.000            0.036            6.815
          6.853           0.929            0.000            0.037            6.865
          6.903           0.928            0.000            0.037            6.915
          6.954           0.927            0.000            0.038            6.965
          7.004           0.925            0.000            0.038            7.015
          7.054           0.923            0.000            0.038            7.065
          7.104           0.922            0.000            0.038            7.115
          7.154           0.920            0.000            0.038            7.165
          7.203           0.919            0.000            0.038            7.215
