           X               Y                Z                A                C
          0.003           1.621            0.000            0.024            0.000
          0.054           1.614            0.000            0.025            0.051
          0.104           1.607            0.000            0.025            0.101
          0.154           1.600            0.000            0.026            0.152
          0.204           1.594            0.000            0.026            0.202
          0.254           1.587            0.000            0.026            0.252
          0.303           1.581            0.000            0.026            0.303
          0.353           1.574            0.000            0.026            0.353
          0.403           1.569            0.000            0.026            0.403
          0.453           1.563            0.000            0.026            0.453
          0.503           1.558            0.000            0.026            0.503
          0.553           1.554            0.000            0.026            0.553
          0.602           1.550            0.000            0.026            0.603
          0.652           1.546            0.000            0.026            0.653
          0.702           1.543            0.000            0.025            0.703
          0.752           1.540            0.000            0.025            0.753
          0.802           1.536            0.000            0.024            0.803
          0.852           1.533            0.000            0.023            0.853
          0.902           1.530            0.000            0.022            0.903
          0.952           1.528            0.000            0.021            0.953
          1.002           1.525            0.000            0.020            1.003
          1.051           1.523            0.000            0.019            1.053
          1.101           1.521            0.000            0.019            1.103
          1.151           1.519            0.000            0.020            1.153
          1.201           1.518            0.000            0.021            1.203
          1.251           1.517            0.000            0.022            1.253
          1.301           1.516            0.000            0.023            1.303
          1.351           1.515            0.000            0.024            1.353
          1.401           1.514            0.000            0.025            1.403
          1.451           1.514            0.000            0.027            1.453
          1.501           1.513            0.000            0.028            1.503
          1.551           1.512            0.000            0.030            1.553
          1.601           1.512            0.000            0.031            1.603
          1.651           1.511            0.000            0.033            1.653
          1.701           1.511            0.000            0.035            1.703
          1.751           1.511            0.000            0.037            1.753
          1.801           1.511            0.000            0.039            1.803
          1.851           1.511            0.000            0.042            1.853
          1.901           1.512            0.000            0.044            1.903
          1.951           1.512            0.000            0.046            1.953
          2.001           1.512            0.000            0.048            2.003
          2.052           1.511            0.000            0.050            2.053
          2.102           1.511            0.000            0.052            2.104
          2.152           1.510            0.000            0.053            2.154
          2.202           1.510            0.000            0.055            2.204
          2.252           1.509            0.000            0.056            2.254
          2.302           1.508            0.000            0.057            2.304
          2.352           1.507            0.000            0.059            2.354
          2.402           1.506            0.000            0.060            2.404
          2.452           1.505            0.000            0.061            2.454
          2.503           1.505            0.000            0.063            2.505
          2.553           1.504            0.000            0.064            2.555
          2.603           1.503            0.000            0.065            2.605
          2.653           1.502            0.000            0.066            2.655
          2.704           1.500            0.000            0.067            2.706
          2.754           1.499            0.000            0.068            2.756
          2.804           1.497            0.000            0.068            2.806
          2.854           1.495            0.000            0.068            2.856
          2.904           1.494            0.000            0.069            2.906
          2.954           1.492            0.000            0.069            2.957
          3.004           1.490            0.000            0.070            3.007
          3.054           1.488            0.000            0.070            3.057
          3.104           1.486            0.000            0.070            3.107
          3.155           1.485            0.000            0.071            3.157
          3.205           1.483            0.000            0.071            3.207
          3.255           1.481            0.000            0.071            3.257
          3.305           1.479            0.000            0.071            3.307
          3.355           1.476            0.000            0.071            3.358
          3.405           1.474            0.000            0.071            3.408
          3.456           1.472            0.000            0.071            3.458
          3.506           1.470            0.000            0.071            3.508
          3.555           1.467            0.000            0.071            3.558
          3.605           1.465            0.000            0.071            3.608
          3.655           1.463            0.000            0.071            3.658
          3.705           1.461            0.000            0.071            3.708
          3.755           1.459            0.000            0.071            3.758
          3.805           1.457            0.000            0.071            3.808
          3.855           1.455            0.000            0.072            3.858
          3.905           1.453            0.000            0.072            3.908
          3.955           1.451            0.000            0.072            3.958
          4.006           1.449            0.000            0.072            4.009
          4.056           1.447            0.000            0.072            4.059
          4.106           1.445            0.000            0.072            4.109
          4.156           1.443            0.000            0.072            4.159
          4.206           1.440            0.000            0.072            4.209
          4.255           1.438            0.000            0.072            4.259
          4.305           1.437            0.000            0.073            4.308
          4.355           1.435            0.000            0.073            4.358
          4.405           1.434            0.000            0.074            4.408
          4.455           1.432            0.000            0.075            4.458
          4.505           1.431            0.000            0.076            4.508
          4.555           1.429            0.000            0.076            4.559
          4.605           1.428            0.000            0.077            4.609
          4.656           1.426            0.000            0.077            4.659
