           X               Y                Z                A                C
          0.011           1.032            0.000           -0.235            0.050
          0.060           1.023            0.000           -0.237            0.101
          0.110           1.015            0.000           -0.239            0.151
          0.160           1.006            0.000           -0.241            0.202
          0.210           0.998            0.000           -0.243            0.253
          0.260           0.990            0.000           -0.245            0.304
          0.311           0.981            0.000           -0.247            0.355
          0.362           0.973            0.000           -0.249            0.407
          0.413           0.965            0.000           -0.251            0.458
          0.464           0.958            0.000           -0.253            0.510
          0.514           0.950            0.000           -0.254            0.561
          0.565           0.943            0.000           -0.256            0.612
          0.616           0.936            0.000           -0.257            0.663
          0.666           0.929            0.000           -0.258            0.714
          0.717           0.923            0.000           -0.260            0.765
          0.768           0.916            0.000           -0.261            0.817
          0.819           0.910            0.000           -0.262            0.869
          0.871           0.904            0.000           -0.263            0.920
          0.922           0.898            0.000           -0.263            0.972
          0.973           0.892            0.000           -0.264            1.023
          1.023           0.887            0.000           -0.265            1.074
          1.074           0.882            0.000           -0.265            1.125
          1.126           0.877            0.000           -0.265            1.176
          1.177           0.872            0.000           -0.266            1.229
          1.230           0.868            0.000           -0.265            1.281
          1.282           0.864            0.000           -0.265            1.333
          1.334           0.860            0.000           -0.264            1.385
          1.385           0.857            0.000           -0.263            1.437
          1.436           0.854            0.000           -0.263            1.488
          1.488           0.851            0.000           -0.262            1.539
          1.539           0.848            0.000           -0.260            1.591
          1.591           0.846            0.000           -0.259            1.643
          1.642           0.844            0.000           -0.258            1.694
          1.694           0.842            0.000           -0.256            1.746
          1.745           0.841            0.000           -0.255            1.797
          1.797           0.840            0.000           -0.253            1.849
          1.848           0.839            0.000           -0.251            1.900
          1.900           0.839            0.000           -0.248            1.952
          1.951           0.838            0.000           -0.246            2.003
          2.002           0.838            0.000           -0.243            2.054
          2.052           0.838            0.000           -0.241            2.105
          2.103           0.839            0.000           -0.238            2.155
          2.153           0.839            0.000           -0.235            2.205
          2.204           0.839            0.000           -0.231            2.256
          2.255           0.840            0.000           -0.228            2.308
          2.307           0.841            0.000           -0.224            2.359
          2.358           0.843            0.000           -0.220            2.411
          2.409           0.844            0.000           -0.215            2.462
          2.460           0.846            0.000           -0.210            2.512
          2.510           0.848            0.000           -0.206            2.562
          2.560           0.850            0.000           -0.201            2.612
          2.610           0.852            0.000           -0.196            2.662
          2.660           0.854            0.000           -0.191            2.712
          2.710           0.856            0.000           -0.187            2.762
          2.760           0.858            0.000           -0.182            2.812
          2.809           0.860            0.000           -0.177            2.862
          2.858           0.862            0.000           -0.172            2.911
          2.908           0.863            0.000           -0.168            2.960
          2.957           0.865            0.000           -0.163            3.009
          3.007           0.866            0.000           -0.159            3.059
          3.057           0.867            0.000           -0.155            3.109
          3.107           0.869            0.000           -0.151            3.159
          3.157           0.870            0.000           -0.146            3.209
          3.206           0.871            0.000           -0.142            3.259
          3.256           0.873            0.000           -0.138            3.309
          3.306           0.874            0.000           -0.134            3.358
          3.355           0.875            0.000           -0.130            3.408
          3.405           0.876            0.000           -0.126            3.458
          3.455           0.877            0.000           -0.122            3.508
          3.505           0.878            0.000           -0.119            3.557
          3.555           0.878            0.000           -0.115            3.607
          3.604           0.879            0.000           -0.111            3.657
          3.654           0.880            0.000           -0.108            3.707
          3.704           0.880            0.000           -0.104            3.757
          3.754           0.881            0.000           -0.101            3.806
          3.804           0.881            0.000           -0.097            3.856
          3.854           0.882            0.000           -0.094            3.906
          3.904           0.882            0.000           -0.091            3.956
          3.953           0.882            0.000           -0.088            4.006
          4.003           0.882            0.000           -0.085            4.056
          4.053           0.882            0.000           -0.082            4.106
          4.103           0.883            0.000           -0.078            4.156
          4.153           0.883            0.000           -0.075            4.206
          4.203           0.882            0.000           -0.073            4.256
          4.253           0.882            0.000           -0.070            4.306
          4.303           0.882            0.000           -0.067            4.356
          4.353           0.881            0.000           -0.065            4.406
          4.403           0.881            0.000           -0.062            4.456
          4.453           0.881            0.000           -0.059            4.506
          4.503           0.881            0.000           -0.057            4.556
          4.553           0.881            0.000           -0.054            4.606
          4.603           0.880            0.000           -0.051            4.656
          4.653           0.880            0.000           -0.048            4.706
          4.703           0.880            0.000           -0.046            4.756
          4.753           0.879            0.000           -0.043            4.806
          4.803           0.879            0.000           -0.041            4.856
          4.853           0.878            0.000           -0.038            4.906
          4.903           0.878            0.000           -0.036            4.956
          4.953           0.877            0.000           -0.033            5.006
          5.003           0.877            0.000           -0.031            5.056
          5.054           0.876            0.000           -0.029            5.106
          5.104           0.875            0.000           -0.027            5.156
          5.154           0.874            0.000           -0.025            5.206
          5.204           0.874            0.000           -0.022            5.256
          5.254           0.873            0.000           -0.020            5.307
          5.304           0.872            0.000           -0.018            5.357
          5.354           0.871            0.000           -0.016            5.407
          5.404           0.871            0.000           -0.013            5.457
          5.454           0.870            0.000           -0.011            5.507
          5.504           0.870            0.000           -0.009            5.557
          5.554           0.869            0.000           -0.006            5.607
          5.604           0.868            0.000           -0.005            5.657
          5.654           0.867            0.000           -0.003            5.707
          5.704           0.865            0.000           -0.002            5.757
          5.754           0.864            0.000            0.000            5.807
          5.805           0.862            0.000            0.001            5.857
          5.855           0.861            0.000            0.003            5.908
          5.905           0.860            0.000            0.004            5.958
          5.955           0.858            0.000            0.006            6.008
          6.005           0.857            0.000            0.007            6.058
          6.055           0.855            0.000            0.008            6.108
          6.105           0.853            0.000            0.009            6.158
          6.155           0.851            0.000            0.010            6.208
          6.205           0.849            0.000            0.011            6.258
