           X               Y                Z                A                C
          0.116           1.840            0.000            0.407            0.000
          0.160           1.827            0.000            0.402            0.046
          0.205           1.815            0.000            0.396            0.093
          0.250           1.803            0.000            0.391            0.139
          0.295           1.791            0.000            0.386            0.186
          0.341           1.780            0.000            0.381            0.233
          0.387           1.769            0.000            0.376            0.280
          0.434           1.758            0.000            0.371            0.329
          0.483           1.746            0.000            0.365            0.379
          0.533           1.735            0.000            0.358            0.430
          0.582           1.723            0.000            0.351            0.481
          0.631           1.712            0.000            0.343            0.530
          0.678           1.701            0.000            0.336            0.579
          0.724           1.690            0.000            0.328            0.626
          0.769           1.680            0.000            0.320            0.673
          0.815           1.670            0.000            0.313            0.719
          0.860           1.661            0.000            0.306            0.765
          0.905           1.653            0.000            0.300            0.811
          0.951           1.645            0.000            0.294            0.857
          0.997           1.637            0.000            0.288            0.904
          1.044           1.630            0.000            0.283            0.952
          1.093           1.622            0.000            0.278            1.001
          1.143           1.615            0.000            0.272            1.052
          1.193           1.607            0.000            0.267            1.103
          1.242           1.599            0.000            0.261            1.153
          1.291           1.591            0.000            0.256            1.202
          1.339           1.584            0.000            0.251            1.250
          1.386           1.577            0.000            0.246            1.298
          1.432           1.571            0.000            0.242            1.345
          1.479           1.565            0.000            0.238            1.392
          1.526           1.560            0.000            0.235            1.439
          1.573           1.555            0.000            0.233            1.486
          1.620           1.551            0.000            0.231            1.534
          1.669           1.547            0.000            0.229            1.582
          1.717           1.544            0.000            0.228            1.631
          1.767           1.540            0.000            0.227            1.681
          1.817           1.537            0.000            0.226            1.731
          1.867           1.533            0.000            0.224            1.782
          1.918           1.530            0.000            0.223            1.832
          1.967           1.526            0.000            0.222            1.882
          2.016           1.523            0.000            0.221            1.930
          2.064           1.520            0.000            0.220            1.979
          2.113           1.517            0.000            0.220            2.027
          2.161           1.515            0.000            0.220            2.076
          2.209           1.513            0.000            0.220            2.124
          2.258           1.512            0.000            0.221            2.172
          2.306           1.511            0.000            0.222            2.221
          2.356           1.510            0.000            0.223            2.271
          2.406           1.509            0.000            0.225            2.321
          2.457           1.508            0.000            0.226            2.372
          2.508           1.507            0.000            0.227            2.423
