           X               Y                Z                A                C
          1.041           0.730            0.000            0.223            1.379
          1.095           0.733            0.000            0.225            1.433
          1.150           0.734            0.000            0.226            1.488
          1.202           0.734            0.000            0.227            1.540
          1.252           0.734            0.000            0.227            1.590
          1.300           0.735            0.000            0.227            1.638
          1.347           0.736            0.000            0.228            1.685
          1.395           0.737            0.000            0.229            1.732
          1.443           0.739            0.000            0.231            1.781
          1.493           0.742            0.000            0.234            1.831
          1.545           0.744            0.000            0.236            1.883
          1.597           0.745            0.000            0.237            1.935
          1.648           0.747            0.000            0.239            1.986
          1.699           0.748            0.000            0.240            2.037
          1.750           0.749            0.000            0.241            2.088
          1.800           0.750            0.000            0.241            2.138
          1.849           0.751            0.000            0.242            2.187
          1.897           0.752            0.000            0.244            2.235
          1.945           0.754            0.000            0.245            2.283
          1.994           0.756            0.000            0.248            2.332
          2.045           0.758            0.000            0.250            2.383
          2.098           0.760            0.000            0.251            2.437
          2.152           0.761            0.000            0.252            2.491
          2.204           0.761            0.000            0.253            2.543
          2.254           0.762            0.000            0.253            2.593
          2.302           0.762            0.000            0.253            2.641
          2.350           0.763            0.000            0.254            2.688
          2.398           0.764            0.000            0.255            2.736
          2.446           0.766            0.000            0.257            2.785
          2.496           0.768            0.000            0.258            2.835
          2.548           0.769            0.000            0.260            2.886
          2.599           0.771            0.000            0.262            2.937
          2.650           0.772            0.000            0.263            2.988
          2.701           0.774            0.000            0.264            3.039
          2.751           0.775            0.000            0.265            3.090
          2.802           0.776            0.000            0.266            3.141
          2.853           0.776            0.000            0.267            3.191
          2.903           0.777            0.000            0.267            3.242
          2.953           0.778            0.000            0.268            3.292
          3.004           0.779            0.000            0.269            3.342
          3.054           0.779            0.000            0.269            3.392
          3.104           0.780            0.000            0.270            3.443
          3.155           0.780            0.000            0.270            3.493
          3.205           0.781            0.000            0.271            3.544
          3.255           0.781            0.000            0.271            3.594
          3.305           0.782            0.000            0.272            3.643
          3.354           0.783            0.000            0.272            3.693
          3.404           0.783            0.000            0.273            3.742
          3.453           0.784            0.000            0.274            3.792
          3.504           0.785            0.000            0.274            3.842
          3.554           0.786            0.000            0.275            3.893
          3.604           0.787            0.000            0.276            3.943
          3.654           0.788            0.000            0.277            3.993
          3.704           0.788            0.000            0.277            4.043
          3.754           0.789            0.000            0.278            4.093
          3.804           0.790            0.000            0.279            4.143
          3.855           0.791            0.000            0.280            4.193
          3.905           0.792            0.000            0.280            4.243
          3.955           0.792            0.000            0.281            4.293
          4.005           0.793            0.000            0.282            4.343
          4.055           0.794            0.000            0.283            4.394
          4.105           0.795            0.000            0.283            4.444
          4.156           0.796            0.000            0.284            4.495
          4.207           0.796            0.000            0.284            4.546
          4.258           0.797            0.000            0.285            4.597
          4.309           0.797            0.000            0.285            4.648
          4.359           0.797            0.000            0.285            4.698
          4.409           0.797            0.000            0.285            4.748
          4.459           0.798            0.000            0.285            4.798
          4.508           0.798            0.000            0.286            4.847
          4.558           0.798            0.000            0.286            4.897
          4.608           0.799            0.000            0.286            4.947
          4.657           0.799            0.000            0.287            4.996
          4.706           0.800            0.000            0.287            5.045
          4.755           0.801            0.000            0.288            5.093
          4.804           0.802            0.000            0.289            5.143
          4.854           0.804            0.000            0.291            5.192
          4.904           0.805            0.000            0.292            5.243
          4.955           0.806            0.000            0.293            5.294
          5.006           0.808            0.000            0.294            5.345
          5.057           0.809            0.000            0.295            5.396
          5.109           0.809            0.000            0.296            5.448
          5.161           0.810            0.000            0.296            5.500
          5.213           0.810            0.000            0.296            5.552
          5.264           0.810            0.000            0.296            5.603
          5.315           0.809            0.000            0.295            5.654
          5.365           0.809            0.000            0.295            5.704
