           X               Y                Z                A                C
          0.022           1.633            0.000            0.125            0.000
          0.072           1.624            0.000            0.124            0.050
          0.121           1.616            0.000            0.123            0.100
          0.170           1.607            0.000            0.121            0.150
          0.220           1.599            0.000            0.120            0.200
          0.269           1.591            0.000            0.119            0.250
          0.318           1.583            0.000            0.117            0.300
          0.367           1.575            0.000            0.116            0.350
          0.416           1.568            0.000            0.115            0.399
          0.466           1.561            0.000            0.113            0.449
          0.515           1.555            0.000            0.112            0.499
          0.564           1.548            0.000            0.111            0.549
          0.614           1.542            0.000            0.109            0.599
          0.664           1.535            0.000            0.107            0.649
          0.714           1.529            0.000            0.105            0.699
          0.763           1.522            0.000            0.102            0.750
          0.813           1.516            0.000            0.099            0.800
          0.863           1.509            0.000            0.096            0.850
          0.912           1.503            0.000            0.093            0.899
          0.961           1.497            0.000            0.089            0.949
          1.010           1.491            0.000            0.086            0.999
          1.060           1.485            0.000            0.083            1.048
          1.109           1.480            0.000            0.080            1.097
          1.158           1.474            0.000            0.078            1.147
          1.207           1.470            0.000            0.076            1.197
          1.257           1.465            0.000            0.074            1.246
          1.306           1.461            0.000            0.072            1.296
          1.356           1.456            0.000            0.070            1.346
          1.406           1.452            0.000            0.068            1.396
          1.456           1.448            0.000            0.067            1.446
          1.506           1.443            0.000            0.065            1.496
          1.556           1.439            0.000            0.063            1.546
          1.605           1.435            0.000            0.062            1.596
          1.655           1.431            0.000            0.061            1.646
          1.704           1.428            0.000            0.060            1.695
          1.754           1.424            0.000            0.059            1.745
          1.803           1.422            0.000            0.059            1.795
          1.853           1.419            0.000            0.059            1.844
          1.903           1.417            0.000            0.059            1.894
          1.952           1.415            0.000            0.060            1.944
          2.002           1.414            0.000            0.061            1.993
          2.052           1.412            0.000            0.062            2.043
          2.102           1.411            0.000            0.063            2.093
          2.152           1.410            0.000            0.065            2.144
          2.202           1.409            0.000            0.066            2.194
          2.252           1.407            0.000            0.067            2.244
          2.302           1.406            0.000            0.068            2.294
          2.352           1.405            0.000            0.069            2.344
          2.402           1.403            0.000            0.071            2.393
          2.452           1.402            0.000            0.072            2.443
          2.501           1.402            0.000            0.074            2.493
          2.551           1.401            0.000            0.076            2.542
          2.600           1.401            0.000            0.079            2.592
          2.650           1.401            0.000            0.081            2.642
          2.700           1.402            0.000            0.084            2.691
          2.750           1.402            0.000            0.087            2.741
          2.800           1.402            0.000            0.089            2.792
          2.850           1.403            0.000            0.092            2.842
          2.900           1.403            0.000            0.094            2.892
          2.951           1.403            0.000            0.097            2.942
          3.001           1.402            0.000            0.099            2.992
          3.051           1.402            0.000            0.101            3.042
          3.101           1.402            0.000            0.104            3.092
          3.151           1.402            0.000            0.106            3.142
          3.201           1.402            0.000            0.108            3.192
          3.251           1.402            0.000            0.111            3.242
          3.300           1.402            0.000            0.113            3.292
          3.350           1.402            0.000            0.116            3.342
          3.400           1.403            0.000            0.118            3.391
          3.450           1.403            0.000            0.121            3.441
          3.500           1.403            0.000            0.124            3.491
          3.550           1.404            0.000            0.127            3.541
          3.600           1.404            0.000            0.129            3.592
          3.651           1.404            0.000            0.132            3.642
          3.701           1.404            0.000            0.134            3.693
          3.752           1.403            0.000            0.136            3.743
          3.802           1.403            0.000            0.137            3.794
          3.852           1.402            0.000            0.139            3.844
          3.902           1.402            0.000            0.141            3.894
          3.952           1.401            0.000            0.143            3.943
          4.002           1.401            0.000            0.145            3.993
          4.051           1.401            0.000            0.147            4.043
          4.101           1.401            0.000            0.149            4.093
          4.151           1.400            0.000            0.151            4.143
          4.201           1.400            0.000            0.153            4.193
          4.252           1.400            0.000            0.155            4.243
          4.302           1.400            0.000            0.157            4.294
          4.352           1.399            0.000            0.159            4.344
          4.403           1.399            0.000            0.160            4.394
          4.453           1.398            0.000            0.162            4.445
          4.503           1.397            0.000            0.164            4.495
          4.554           1.396            0.000            0.165            4.546
          4.604           1.395            0.000            0.166            4.596
          4.654           1.394            0.000            0.167            4.646
          4.704           1.393            0.000            0.169            4.696
          4.754           1.392            0.000            0.170            4.745
          4.803           1.392            0.000            0.171            4.795
          4.853           1.391            0.000            0.173            4.845
          4.903           1.390            0.000            0.174            4.895
          4.953           1.390            0.000            0.176            4.945
          5.004           1.389            0.000            0.177            4.995
          5.054           1.388            0.000            0.179            5.046
          5.104           1.387            0.000            0.180            5.096
          5.154           1.386            0.000            0.181            5.146
          5.204           1.386            0.000            0.183            5.196
          5.254           1.385            0.000            0.184            5.246
          5.305           1.384            0.000            0.185            5.297
          5.356           1.382            0.000            0.186            5.347
          5.406           1.381            0.000            0.187            5.398
          5.457           1.379            0.000            0.187            5.449
          5.507           1.378            0.000            0.188            5.499
          5.557           1.376            0.000            0.188            5.549
          5.606           1.375            0.000            0.189            5.598
          5.656           1.373            0.000            0.190            5.648
          5.706           1.372            0.000            0.190            5.698
          5.756           1.371            0.000            0.191            5.748
          5.807           1.369            0.000            0.192            5.799
          5.857           1.368            0.000            0.192            5.849
          5.907           1.366            0.000            0.193            5.899
          5.957           1.364            0.000            0.193            5.949
          6.008           1.363            0.000            0.193            6.000
          6.058           1.361            0.000            0.194            6.050
          6.108           1.359            0.000            0.194            6.100
          6.158           1.357            0.000            0.194            6.151
          6.209           1.355            0.000            0.194            6.201
          6.259           1.353            0.000            0.194            6.251
          6.309           1.351            0.000            0.194            6.301
          6.359           1.349            0.000            0.194            6.351
          6.409           1.347            0.000            0.194            6.401
          6.459           1.345            0.000            0.194            6.452
          6.510           1.343            0.000            0.194            6.502
          6.560           1.341            0.000            0.194            6.553
          6.610           1.338            0.000            0.193            6.603
          6.660           1.336            0.000            0.193            6.653
          6.710           1.333            0.000            0.193            6.703
          6.760           1.331            0.000            0.192            6.753
          6.810           1.329            0.000            0.192            6.803
          6.860           1.326            0.000            0.191            6.853
          6.910           1.324            0.000            0.191            6.903
          6.961           1.322            0.000            0.191            6.954
          7.011           1.319            0.000            0.190            7.004
          7.061           1.317            0.000            0.189            7.054
          7.111           1.314            0.000            0.189            7.104
          7.160           1.312            0.000            0.188            7.154
          7.210           1.309            0.000            0.188            7.204
          7.260           1.307            0.000            0.187            7.254
          7.311           1.304            0.000            0.187            7.304
          7.361           1.302            0.000            0.186            7.354
          7.411           1.299            0.000            0.185            7.404
          7.461           1.296            0.000            0.185            7.454
          7.510           1.294            0.000            0.184            7.504
          7.560           1.291            0.000            0.184            7.554
          7.610           1.289            0.000            0.183            7.604
          7.660           1.287            0.000            0.183            7.654
          7.710           1.284            0.000            0.182            7.704
          7.761           1.282            0.000            0.181            7.755
          7.811           1.279            0.000            0.181            7.805
          7.860           1.276            0.000            0.180            7.854
          7.910           1.274            0.000            0.179            7.904
          7.960           1.272            0.000            0.179            7.954
          8.010           1.269            0.000            0.178            8.004
          8.060           1.267            0.000            0.178            8.054
          8.110           1.264            0.000            0.177            8.105
          8.161           1.262            0.000            0.176            8.155
          8.211           1.259            0.000            0.175            8.205
          8.261           1.256            0.000            0.174            8.255
