           X               Y                Z                A                C
          0.114           1.517            0.000           -0.165            0.051
          0.165           1.506            0.000           -0.165            0.103
          0.216           1.495            0.000           -0.165            0.155
          0.267           1.484            0.000           -0.165            0.207
          0.318           1.474            0.000           -0.165            0.259
          0.369           1.464            0.000           -0.164            0.311
          0.420           1.454            0.000           -0.164            0.363
          0.471           1.444            0.000           -0.163            0.415
          0.522           1.435            0.000           -0.162            0.467
          0.574           1.426            0.000           -0.161            0.519
          0.625           1.418            0.000           -0.160            0.571
          0.676           1.410            0.000           -0.159            0.623
          0.727           1.402            0.000           -0.157            0.675
          0.778           1.395            0.000           -0.155            0.726
          0.829           1.388            0.000           -0.154            0.778
          0.879           1.381            0.000           -0.152            0.828
          0.930           1.374            0.000           -0.151            0.880
          0.981           1.367            0.000           -0.149            0.931
          1.032           1.361            0.000           -0.148            0.983
          1.084           1.355            0.000           -0.146            1.035
          1.136           1.349            0.000           -0.143            1.088
          1.188           1.345            0.000           -0.140            1.140
          1.240           1.341            0.000           -0.137            1.191
          1.290           1.337            0.000           -0.133            1.242
          1.340           1.333            0.000           -0.130            1.292
          1.390           1.329            0.000           -0.127            1.342
          1.440           1.325            0.000           -0.125            1.392
          1.491           1.321            0.000           -0.122            1.443
          1.542           1.317            0.000           -0.120            1.494
          1.593           1.314            0.000           -0.117            1.546
          1.645           1.311            0.000           -0.113            1.598
          1.697           1.309            0.000           -0.110            1.649
          1.748           1.308            0.000           -0.105            1.701
          1.799           1.307            0.000           -0.101            1.751
          1.849           1.307            0.000           -0.097            1.801
          1.898           1.306            0.000           -0.093            1.851
          1.947           1.304            0.000           -0.091            1.900
          1.997           1.302            0.000           -0.089            1.950
          2.047           1.300            0.000           -0.087            2.000
          2.097           1.299            0.000           -0.085            2.050
          2.148           1.297            0.000           -0.083            2.101
          2.199           1.296            0.000           -0.080            2.152
          2.250           1.296            0.000           -0.078            2.203
          2.300           1.296            0.000           -0.074            2.253
          2.351           1.296            0.000           -0.071            2.304
          2.400           1.296            0.000           -0.067            2.353
          2.450           1.296            0.000           -0.064            2.403
          2.499           1.296            0.000           -0.061            2.452
          2.549           1.294            0.000           -0.059            2.501
          2.598           1.293            0.000           -0.058            2.551
          2.649           1.291            0.000           -0.056            2.602
          2.699           1.290            0.000           -0.054            2.652
          2.750           1.289            0.000           -0.051            2.703
          2.800           1.289            0.000           -0.048            2.753
          2.850           1.289            0.000           -0.045            2.803
          2.900           1.289            0.000           -0.042            2.853
          2.950           1.289            0.000           -0.039            2.903
          3.000           1.289            0.000           -0.035            2.953
          3.050           1.288            0.000           -0.033            3.003
          3.099           1.287            0.000           -0.031            3.052
          3.149           1.285            0.000           -0.029            3.102
          3.199           1.284            0.000           -0.027            3.152
          3.249           1.282            0.000           -0.026            3.203
          3.300           1.280            0.000           -0.024            3.253
          3.350           1.279            0.000           -0.022            3.303
          3.400           1.278            0.000           -0.020            3.353
          3.450           1.278            0.000           -0.017            3.403
          3.500           1.277            0.000           -0.014            3.453
          3.550           1.277            0.000           -0.011            3.503
          3.600           1.276            0.000           -0.009            3.553
          3.650           1.275            0.000           -0.007            3.603
          3.700           1.273            0.000           -0.006            3.653
          3.750           1.271            0.000           -0.004            3.703
          3.800           1.268            0.000           -0.004            3.753
          3.850           1.266            0.000           -0.003            3.804
          3.900           1.264            0.000           -0.002            3.854
          3.950           1.262            0.000            0.000            3.904
          4.000           1.260            0.000            0.001            3.954
          4.050           1.259            0.000            0.003            4.004
          4.100           1.258            0.000            0.005            4.054
          4.151           1.256            0.000            0.007            4.104
          4.201           1.255            0.000            0.009            4.154
          4.251           1.253            0.000            0.010            4.204
          4.301           1.251            0.000            0.011            4.255
          4.351           1.248            0.000            0.011            4.305
          4.401           1.245            0.000            0.012            4.355
          4.451           1.243            0.000            0.012            4.405
          4.501           1.240            0.000            0.013            4.455
          4.551           1.237            0.000            0.013            4.505
          4.601           1.235            0.000            0.014            4.555
          4.651           1.233            0.000            0.015            4.605
          4.701           1.231            0.000            0.017            4.655
          4.751           1.230            0.000            0.018            4.705
          4.801           1.228            0.000            0.019            4.755
          4.851           1.225            0.000            0.020            4.806
          4.902           1.223            0.000            0.021            4.856
          4.952           1.220            0.000            0.021            4.906
          5.002           1.218            0.000            0.021            4.956
          5.052           1.215            0.000            0.022            5.006
          5.102           1.212            0.000            0.022            5.056
          5.152           1.210            0.000            0.023            5.106
          5.202           1.207            0.000            0.023            5.156
          5.252           1.205            0.000            0.024            5.206
          5.302           1.202            0.000            0.025            5.257
          5.352           1.200            0.000            0.025            5.307
          5.402           1.197            0.000            0.026            5.357
          5.452           1.195            0.000            0.026            5.407
          5.502           1.192            0.000            0.027            5.457
          5.552           1.190            0.000            0.028            5.507
          5.602           1.187            0.000            0.028            5.557
          5.652           1.185            0.000            0.029            5.607
          5.702           1.183            0.000            0.030            5.657
          5.752           1.181            0.000            0.031            5.707
          5.802           1.179            0.000            0.032            5.757
          5.852           1.176            0.000            0.032            5.808
          5.902           1.174            0.000            0.032            5.858
          5.952           1.171            0.000            0.033            5.908
          6.002           1.168            0.000            0.033            5.958
          6.052           1.165            0.000            0.033            6.008
          6.102           1.163            0.000            0.034            6.058
          6.152           1.161            0.000            0.034            6.108
          6.202           1.159            0.000            0.035            6.158
          6.252           1.157            0.000            0.036            6.208
          6.302           1.155            0.000            0.037            6.258
          6.352           1.153            0.000            0.038            6.308
          6.402           1.151            0.000            0.039            6.358
          6.453           1.148            0.000            0.040            6.409
          6.503           1.146            0.000            0.040            6.459
          6.553           1.143            0.000            0.040            6.509
          6.603           1.140            0.000            0.040            6.559
          6.653           1.136            0.000            0.040            6.609
          6.703           1.134            0.000            0.040            6.659
          6.753           1.131            0.000            0.040            6.709
          6.802           1.129            0.000            0.041            6.759
          6.852           1.127            0.000            0.041            6.809
          6.902           1.125            0.000            0.043            6.859
          6.952           1.124            0.000            0.044            6.909
          7.002           1.122            0.000            0.045            6.959
          7.052           1.120            0.000            0.046            7.009
          7.103           1.118            0.000            0.047            7.060
          7.153           1.116            0.000            0.047            7.110
          7.204           1.113            0.000            0.047            7.161
          7.254           1.109            0.000            0.047            7.211
          7.304           1.106            0.000            0.046            7.261
          7.354           1.102            0.000            0.045            7.311
          7.403           1.099            0.000            0.045            7.361
          7.453           1.097            0.000            0.045            7.410
          7.502           1.095            0.000            0.046            7.460
          7.552           1.093            0.000            0.047            7.509
          7.602           1.092            0.000            0.049            7.559
          7.652           1.091            0.000            0.051            7.609
          7.702           1.090            0.000            0.052            7.660
          7.753           1.088            0.000            0.053            7.711
          7.804           1.085            0.000            0.053            7.762
          7.855           1.081            0.000            0.052            7.812
          7.905           1.077            0.000            0.051            7.863
          7.954           1.074            0.000            0.050            7.913
          8.004           1.070            0.000            0.049            7.962
          8.054           1.067            0.000            0.048            8.012
          8.103           1.064            0.000            0.048            8.062
          8.153           1.062            0.000            0.049            8.111
          8.203           1.060            0.000            0.049            8.161
          8.252           1.058            0.000            0.050            8.211
          8.302           1.056            0.000            0.051            8.261
          8.352           1.055            0.000            0.052            8.311
          8.403           1.053            0.000            0.053            8.361
          8.453           1.051            0.000            0.054            8.412
          8.504           1.048            0.000            0.054            8.463
          8.555           1.045            0.000            0.053            8.514
          8.605           1.041            0.000            0.052            8.564
          8.655           1.037            0.000            0.050            8.614
          8.704           1.033            0.000            0.049            8.664
          8.754           1.030            0.000            0.048            8.713
          8.803           1.027            0.000            0.048            8.763
          8.853           1.024            0.000            0.048            8.812
          8.902           1.023            0.000            0.049            8.862
          8.952           1.022            0.000            0.050            8.911
          9.002           1.021            0.000            0.052            8.961
          9.052           1.020            0.000            0.054            9.012
          9.103           1.018            0.000            0.055            9.063
          9.154           1.016            0.000            0.055            9.114
          9.205           1.013            0.000            0.054            9.165
          9.255           1.009            0.000            0.053            9.215
          9.305           1.005            0.000            0.051            9.265
          9.355           1.001            0.000            0.050            9.315
          9.404           0.997            0.000            0.049            9.365
          9.454           0.994            0.000            0.048            9.414
          9.503           0.991            0.000            0.048            9.464
          9.553           0.989            0.000            0.048            9.513
          9.602           0.988            0.000            0.049            9.563
          9.652           0.987            0.000            0.051            9.613
          9.702           0.986            0.000            0.052            9.663
          9.752           0.984            0.000            0.053            9.713
          9.803           0.983            0.000            0.054            9.764
          9.854           0.981            0.000            0.054            9.814
          9.904           0.978            0.000            0.054            9.865
          9.955           0.974            0.000            0.053            9.916
         10.005           0.971            0.000            0.051            9.966
         10.054           0.967            0.000            0.050           10.016
         10.104           0.964            0.000            0.049           10.066
         10.154           0.960            0.000            0.048           10.115
         10.204           0.958            0.000            0.048           10.165
         10.253           0.955            0.000            0.048           10.215
         10.303           0.953            0.000            0.048           10.264
         10.352           0.952            0.000            0.049           10.314
         10.402           0.951            0.000            0.050           10.364
         10.452           0.950            0.000            0.052           10.414
         10.503           0.949            0.000            0.053           10.464
         10.553           0.947            0.000            0.053           10.515
         10.604           0.944            0.000            0.053           10.566
         10.655           0.941            0.000            0.052           10.617
         10.705           0.937            0.000            0.050           10.667
         10.754           0.933            0.000            0.049           10.717
         10.804           0.930            0.000            0.048           10.766
         10.854           0.927            0.000            0.047           10.816
         10.903           0.924            0.000            0.047           10.866
         10.953           0.922            0.000            0.047           10.916
         11.003           0.920            0.000            0.047           10.965
         11.053           0.918            0.000            0.047           11.015
         11.103           0.916            0.000            0.048           11.065
         11.152           0.915            0.000            0.048           11.115
         11.203           0.913            0.000            0.049           11.165
         11.253           0.912            0.000            0.050           11.216
         11.303           0.910            0.000            0.050           11.266
         11.354           0.907            0.000            0.050           11.316
         11.404           0.904            0.000            0.049           11.367
         11.454           0.901            0.000            0.048           11.417
         11.504           0.898            0.000            0.047           11.467
         11.554           0.895            0.000            0.046           11.517
         11.604           0.892            0.000            0.045           11.567
         11.653           0.889            0.000            0.045           11.617
         11.703           0.887            0.000            0.044           11.666
         11.752           0.885            0.000            0.045           11.716
         11.802           0.884            0.000            0.045           11.766
         11.852           0.883            0.000            0.046           11.816
         11.902           0.881            0.000            0.047           11.866
         11.953           0.880            0.000            0.048           11.916
         12.003           0.878            0.000            0.048           11.967
         12.054           0.875            0.000            0.047           12.017
         12.104           0.872            0.000            0.046           12.068
         12.154           0.869            0.000            0.045           12.118
         12.204           0.866            0.000            0.044           12.168
         12.253           0.863            0.000            0.044           12.217
         12.303           0.861            0.000            0.043           12.267
         12.353           0.859            0.000            0.043           12.317
         12.403           0.857            0.000            0.043           12.367
         12.453           0.855            0.000            0.044           12.417
         12.503           0.853            0.000            0.044           12.467
         12.553           0.851            0.000            0.044           12.517
         12.603           0.849            0.000            0.044           12.567
         12.653           0.847            0.000            0.044           12.617
         12.703           0.845            0.000            0.044           12.667
         12.753           0.843            0.000            0.044           12.717
         12.803           0.841            0.000            0.044           12.767
         12.853           0.839            0.000            0.044           12.817
         12.903           0.837            0.000            0.044           12.867
         12.953           0.835            0.000            0.044           12.918
         13.003           0.833            0.000            0.043           12.968
         13.053           0.830            0.000            0.043           13.018
         13.103           0.828            0.000            0.042           13.068
         13.153           0.826            0.000            0.042           13.118
         13.203           0.823            0.000            0.041           13.168
         13.253           0.822            0.000            0.041           13.217
         13.302           0.820            0.000            0.042           13.267
         13.352           0.819            0.000            0.042           13.317
         13.402           0.817            0.000            0.043           13.367
         13.453           0.816            0.000            0.043           13.418
         13.503           0.814            0.000            0.043           13.468
         13.553           0.811            0.000            0.042           13.518
         13.604           0.809            0.000            0.041           13.569
         13.654           0.806            0.000            0.040           13.619
         13.704           0.803            0.000            0.039           13.669
         13.753           0.800            0.000            0.038           13.719
         13.803           0.797            0.000            0.037           13.768
         13.853           0.795            0.000            0.037           13.818
         13.902           0.794            0.000            0.037           13.868
         13.952           0.793            0.000            0.038           13.918
         14.002           0.792            0.000            0.039           13.968
         14.052           0.790            0.000            0.039           14.018
         14.103           0.789            0.000            0.039           14.068
         14.153           0.786            0.000            0.039           14.119
         14.203           0.784            0.000            0.038           14.169
         14.253           0.781            0.000            0.037           14.219
         14.303           0.778            0.000            0.036           14.269
         14.353           0.776            0.000            0.035           14.319
         14.403           0.774            0.000            0.035           14.369
         14.452           0.772            0.000            0.035           14.418
         14.502           0.770            0.000            0.035           14.468
         14.553           0.769            0.000            0.035           14.519
         14.603           0.767            0.000            0.034           14.569
         14.653           0.764            0.000            0.034           14.619
         14.703           0.761            0.000            0.033           14.669
         14.753           0.759            0.000            0.031           14.719
         14.803           0.756            0.000            0.031           14.769
         14.852           0.754            0.000            0.030           14.819
         14.902           0.753            0.000            0.031           14.869
         14.952           0.752            0.000            0.031           14.918
