           X               Y                Z                A                C
          1.046           0.627            0.000            0.127            1.425
          1.097           0.629            0.000            0.128            1.475
          1.147           0.630            0.000            0.130            1.525
          1.197           0.632            0.000            0.131            1.575
          1.246           0.633            0.000            0.132            1.625
          1.296           0.635            0.000            0.134            1.675
          1.347           0.636            0.000            0.135            1.725
          1.397           0.637            0.000            0.137            1.776
          1.448           0.638            0.000            0.138            1.826
          1.497           0.640            0.000            0.139            1.876
          1.546           0.641            0.000            0.140            1.925
          1.595           0.643            0.000            0.142            1.973
          1.644           0.645            0.000            0.144            2.023
          1.694           0.647            0.000            0.146            2.073
          1.745           0.649            0.000            0.148            2.124
          1.798           0.651            0.000            0.150            2.176
          1.849           0.651            0.000            0.151            2.228
          1.900           0.652            0.000            0.151            2.279
          1.950           0.652            0.000            0.151            2.329
          1.999           0.652            0.000            0.151            2.378
          2.049           0.653            0.000            0.152            2.427
          2.098           0.653            0.000            0.153            2.477
          2.148           0.654            0.000            0.153            2.527
          2.199           0.655            0.000            0.154            2.577
          2.249           0.656            0.000            0.155            2.627
          2.298           0.656            0.000            0.156            2.677
          2.347           0.657            0.000            0.157            2.726
          2.396           0.659            0.000            0.158            2.775
          2.446           0.660            0.000            0.159            2.825
          2.497           0.662            0.000            0.161            2.876
          2.548           0.663            0.000            0.162            2.927
          2.599           0.663            0.000            0.162            2.978
          2.650           0.664            0.000            0.163            3.029
          2.700           0.664            0.000            0.163            3.079
          2.750           0.664            0.000            0.163            3.128
          2.799           0.665            0.000            0.164            3.178
          2.849           0.665            0.000            0.164            3.228
          2.899           0.666            0.000            0.165            3.278
          2.950           0.666            0.000            0.165            3.329
          3.001           0.667            0.000            0.166            3.380
          3.051           0.667            0.000            0.166            3.430
          3.101           0.666            0.000            0.165            3.480
          3.151           0.666            0.000            0.165            3.530
          3.200           0.667            0.000            0.166            3.579
          3.250           0.667            0.000            0.166            3.629
          3.300           0.667            0.000            0.166            3.679
          3.351           0.667            0.000            0.166            3.730
          3.402           0.667            0.000            0.166            3.781
          3.453           0.667            0.000            0.166            3.831
          3.502           0.667            0.000            0.165            3.881
          3.551           0.666            0.000            0.165            3.930
          3.600           0.667            0.000            0.166            3.979
          3.649           0.667            0.000            0.166            4.028
          3.699           0.668            0.000            0.167            4.078
          3.750           0.668            0.000            0.167            4.129
          3.801           0.669            0.000            0.168            4.180
          3.852           0.669            0.000            0.167            4.231
          3.902           0.668            0.000            0.167            4.281
          3.952           0.668            0.000            0.167            4.331
          4.002           0.668            0.000            0.167            4.381
          4.052           0.668            0.000            0.166            4.431
          4.102           0.667            0.000            0.166            4.481
          4.152           0.667            0.000            0.166            4.531
          4.203           0.667            0.000            0.166            4.582
          4.253           0.666            0.000            0.165            4.632
          4.304           0.666            0.000            0.164            4.683
          4.354           0.665            0.000            0.164            4.733
          4.404           0.664            0.000            0.163            4.783
          4.454           0.663            0.000            0.162            4.833
          4.503           0.663            0.000            0.161            4.882
          4.552           0.662            0.000            0.161            4.931
          4.601           0.662            0.000            0.161            4.980
          4.651           0.662            0.000            0.161            5.030
          4.701           0.663            0.000            0.161            5.080
          4.751           0.663            0.000            0.161            5.130
          4.802           0.663            0.000            0.161            5.181
          4.853           0.662            0.000            0.161            5.231
          4.903           0.662            0.000            0.161            5.282
          4.954           0.662            0.000            0.160            5.333
          5.004           0.661            0.000            0.159            5.383
          5.054           0.660            0.000            0.159            5.433
          5.103           0.659            0.000            0.158            5.482
          5.151           0.659            0.000            0.158            5.530
          5.199           0.660            0.000            0.158            5.578
          5.248           0.661            0.000            0.159            5.627
          5.298           0.662            0.000            0.161            5.677
          5.350           0.663            0.000            0.162            5.729
          5.403           0.663            0.000            0.162            5.782
          5.455           0.662            0.000            0.161            5.834
          5.505           0.661            0.000            0.160            5.884
          5.555           0.660            0.000            0.159            5.934
          5.603           0.660            0.000            0.158            5.982
          5.653           0.659            0.000            0.158            6.032
          5.703           0.659            0.000            0.158            6.082
          5.754           0.659            0.000            0.157            6.133
          5.805           0.658            0.000            0.156            6.184
          5.855           0.657            0.000            0.156            6.234
          5.904           0.656            0.000            0.155            6.283
          5.952           0.656            0.000            0.154            6.331
          6.000           0.656            0.000            0.155            6.379
          6.049           0.657            0.000            0.156            6.427
          6.098           0.658            0.000            0.157            6.477
          6.150           0.659            0.000            0.158            6.529
          6.203           0.660            0.000            0.158            6.582
          6.255           0.659            0.000            0.158            6.634
          6.307           0.658            0.000            0.156            6.686
          6.356           0.656            0.000            0.155            6.735
          6.405           0.655            0.000            0.154            6.784
          6.453           0.655            0.000            0.153            6.832
          6.502           0.655            0.000            0.153            6.881
          6.551           0.655            0.000            0.153            6.931
          6.601           0.655            0.000            0.154            6.980
          6.652           0.656            0.000            0.154            7.031
          6.703           0.656            0.000            0.154            7.082
          6.754           0.655            0.000            0.154            7.133
          6.806           0.654            0.000            0.153            7.185
          6.857           0.653            0.000            0.151            7.236
          6.907           0.651            0.000            0.150            7.286
