           X               Y                Z                A                C
          0.061           1.806            0.000            0.279            0.000
          0.109           1.795            0.000            0.276            0.049
          0.157           1.785            0.000            0.273            0.098
          0.205           1.775            0.000            0.270            0.148
          0.253           1.765            0.000            0.267            0.196
          0.301           1.756            0.000            0.264            0.245
          0.349           1.746            0.000            0.261            0.294
          0.397           1.737            0.000            0.257            0.343
          0.444           1.729            0.000            0.254            0.391
          0.492           1.721            0.000            0.250            0.440
          0.540           1.713            0.000            0.245            0.489
          0.588           1.705            0.000            0.241            0.537
          0.636           1.697            0.000            0.237            0.586
          0.684           1.690            0.000            0.232            0.634
          0.732           1.683            0.000            0.228            0.683
          0.781           1.677            0.000            0.223            0.732
          0.829           1.670            0.000            0.219            0.780
          0.877           1.664            0.000            0.215            0.829
          0.926           1.658            0.000            0.211            0.878
          0.974           1.652            0.000            0.207            0.927
          1.023           1.647            0.000            0.204            0.976
          1.071           1.642            0.000            0.201            1.024
          1.120           1.637            0.000            0.198            1.073
          1.169           1.632            0.000            0.195            1.122
          1.218           1.628            0.000            0.193            1.171
          1.267           1.624            0.000            0.190            1.221
          1.316           1.620            0.000            0.188            1.270
          1.365           1.616            0.000            0.187            1.319
          1.414           1.612            0.000            0.185            1.369
          1.463           1.609            0.000            0.184            1.418
          1.513           1.606            0.000            0.182            1.467
          1.562           1.603            0.000            0.181            1.517
          1.611           1.600            0.000            0.181            1.566
          1.661           1.597            0.000            0.180            1.615
          1.710           1.595            0.000            0.180            1.665
          1.760           1.592            0.000            0.179            1.714
          1.809           1.590            0.000            0.179            1.764
          1.859           1.588            0.000            0.179            1.814
          1.909           1.586            0.000            0.179            1.864
          1.958           1.584            0.000            0.179            1.913
          2.008           1.582            0.000            0.179            1.963
          2.058           1.580            0.000            0.180            2.013
          2.107           1.579            0.000            0.180            2.062
          2.157           1.577            0.000            0.181            2.112
          2.206           1.576            0.000            0.181            2.162
          2.256           1.575            0.000            0.182            2.211
          2.306           1.573            0.000            0.183            2.261
          2.356           1.572            0.000            0.184            2.311
          2.406           1.571            0.000            0.185            2.361
          2.456           1.570            0.000            0.186            2.411
          2.506           1.569            0.000            0.187            2.462
          2.557           1.568            0.000            0.187            2.512
          2.607           1.566            0.000            0.188            2.562
          2.658           1.565            0.000            0.189            2.613
          2.708           1.563            0.000            0.189            2.663
          2.759           1.562            0.000            0.190            2.714
          2.809           1.560            0.000            0.190            2.764
          2.859           1.558            0.000            0.190            2.815
          2.909           1.556            0.000            0.191            2.865
          2.959           1.554            0.000            0.191            2.915
          3.010           1.552            0.000            0.191            2.965
          3.060           1.550            0.000            0.191            3.016
          3.111           1.548            0.000            0.191            3.066
          3.161           1.546            0.000            0.191            3.117
          3.212           1.543            0.000            0.190            3.168
          3.263           1.540            0.000            0.190            3.218
          3.313           1.538            0.000            0.189            3.269
          3.363           1.535            0.000            0.188            3.319
          3.414           1.532            0.000            0.187            3.370
          3.464           1.529            0.000            0.186            3.420
          3.514           1.526            0.000            0.185            3.470
          3.564           1.523            0.000            0.184            3.520
          3.614           1.520            0.000            0.183            3.570
          3.664           1.516            0.000            0.182            3.620
          3.714           1.513            0.000            0.181            3.670
          3.763           1.511            0.000            0.180            3.720
          3.813           1.508            0.000            0.180            3.770
          3.863           1.505            0.000            0.179            3.820
          3.912           1.502            0.000            0.178            3.870
          3.962           1.499            0.000            0.178            3.920
