           X               Y                Z                A                C
          0.081           1.786            0.000            0.349            0.000
          0.130           1.774            0.000            0.345            0.050
          0.179           1.763            0.000            0.340            0.100
          0.227           1.751            0.000            0.336            0.150
          0.275           1.740            0.000            0.331            0.199
          0.323           1.729            0.000            0.327            0.248
          0.371           1.718            0.000            0.322            0.298
          0.420           1.707            0.000            0.317            0.348
          0.468           1.697            0.000            0.311            0.397
          0.517           1.686            0.000            0.306            0.447
          0.565           1.675            0.000            0.300            0.497
          0.614           1.664            0.000            0.294            0.546
          0.662           1.654            0.000            0.287            0.596
          0.710           1.643            0.000            0.281            0.645
          0.757           1.633            0.000            0.274            0.693
          0.805           1.623            0.000            0.267            0.742
          0.853           1.613            0.000            0.260            0.791
          0.901           1.603            0.000            0.253            0.840
          0.949           1.594            0.000            0.245            0.889
          0.997           1.584            0.000            0.237            0.938
          1.045           1.575            0.000            0.230            0.987
          1.093           1.565            0.000            0.222            1.035
          1.141           1.556            0.000            0.215            1.084
          1.188           1.547            0.000            0.207            1.133
          1.236           1.538            0.000            0.200            1.181
          1.284           1.530            0.000            0.194            1.230
          1.331           1.522            0.000            0.187            1.278
          1.379           1.514            0.000            0.181            1.327
          1.427           1.506            0.000            0.175            1.375
          1.475           1.499            0.000            0.170            1.424
          1.524           1.492            0.000            0.165            1.473
          1.573           1.485            0.000            0.160            1.522
          1.622           1.478            0.000            0.155            1.572
          1.670           1.471            0.000            0.150            1.621
          1.719           1.465            0.000            0.146            1.670
          1.768           1.459            0.000            0.141            1.719
          1.817           1.453            0.000            0.137            1.769
          1.866           1.447            0.000            0.133            1.818
          1.915           1.441            0.000            0.129            1.867
          1.964           1.435            0.000            0.125            1.917
          2.013           1.430            0.000            0.122            1.966
          2.062           1.425            0.000            0.119            2.015
          2.111           1.420            0.000            0.116            2.065
          2.160           1.416            0.000            0.113            2.114
          2.210           1.412            0.000            0.111            2.164
          2.259           1.407            0.000            0.108            2.213
          2.308           1.404            0.000            0.106            2.263
          2.358           1.400            0.000            0.105            2.312
          2.407           1.396            0.000            0.103            2.362
          2.457           1.393            0.000            0.102            2.411
          2.506           1.390            0.000            0.100            2.461
          2.556           1.387            0.000            0.099            2.511
          2.606           1.384            0.000            0.098            2.561
          2.655           1.382            0.000            0.097            2.610
          2.705           1.379            0.000            0.097            2.660
          2.754           1.377            0.000            0.096            2.709
          2.804           1.375            0.000            0.096            2.759
          2.854           1.373            0.000            0.096            2.809
          2.903           1.371            0.000            0.096            2.858
          2.953           1.370            0.000            0.097            2.908
          3.002           1.369            0.000            0.097            2.958
          3.052           1.368            0.000            0.098            3.007
          3.102           1.367            0.000            0.099            3.057
          3.151           1.367            0.000            0.101            3.106
          3.201           1.366            0.000            0.102            3.156
          3.251           1.366            0.000            0.104            3.206
          3.301           1.366            0.000            0.105            3.256
          3.351           1.365            0.000            0.107            3.306
          3.401           1.365            0.000            0.108            3.356
          3.451           1.365            0.000            0.110            3.406
          3.501           1.365            0.000            0.111            3.456
          3.551           1.364            0.000            0.113            3.506
          3.601           1.364            0.000            0.114            3.556
          3.650           1.364            0.000            0.116            3.605
          3.700           1.364            0.000            0.118            3.655
          3.750           1.364            0.000            0.120            3.705
          3.800           1.365            0.000            0.122            3.755
          3.850           1.365            0.000            0.124            3.805
          3.901           1.365            0.000            0.126            3.856
          3.951           1.365            0.000            0.127            3.906
          4.002           1.364            0.000            0.129            3.957
          4.052           1.364            0.000            0.130            4.007
          4.102           1.363            0.000            0.131            4.057
          4.152           1.363            0.000            0.132            4.107
          4.202           1.362            0.000            0.134            4.157
          4.252           1.362            0.000            0.135            4.207
          4.302           1.361            0.000            0.136            4.257
          4.352           1.361            0.000            0.138            4.307
          4.402           1.360            0.000            0.139            4.357
          4.452           1.360            0.000            0.140            4.407
          4.501           1.360            0.000            0.142            4.457
          4.551           1.359            0.000            0.143            4.507
          4.601           1.359            0.000            0.144            4.557
          4.651           1.359            0.000            0.146            4.607
          4.702           1.358            0.000            0.147            4.657
          4.752           1.358            0.000            0.148            4.708
          4.803           1.357            0.000            0.149            4.758
          4.854           1.356            0.000            0.150            4.809
          4.905           1.355            0.000            0.151            4.860
          4.955           1.353            0.000            0.151            4.910
          5.005           1.352            0.000            0.151            4.960
          5.055           1.350            0.000            0.151            5.010
          5.104           1.349            0.000            0.152            5.059
          5.154           1.348            0.000            0.152            5.109
          5.204           1.347            0.000            0.153            5.159
          5.254           1.346            0.000            0.154            5.210
          5.305           1.344            0.000            0.154            5.260
          5.355           1.343            0.000            0.154            5.310
          5.405           1.342            0.000            0.155            5.360
          5.454           1.340            0.000            0.155            5.409
          5.503           1.339            0.000            0.156            5.459
          5.553           1.339            0.000            0.157            5.508
          5.603           1.338            0.000            0.158            5.559
          5.654           1.337            0.000            0.158            5.610
          5.705           1.336            0.000            0.159            5.661
          5.756           1.334            0.000            0.159            5.711
          5.806           1.332            0.000            0.159            5.762
          5.856           1.331            0.000            0.159            5.811
          5.905           1.329            0.000            0.159            5.861
          5.955           1.328            0.000            0.159            5.910
          6.005           1.326            0.000            0.159            5.960
          6.055           1.325            0.000            0.160            6.010
          6.105           1.324            0.000            0.160            6.060
          6.155           1.323            0.000            0.161            6.111
          6.205           1.321            0.000            0.161            6.161
          6.255           1.320            0.000            0.161            6.211
          6.305           1.319            0.000            0.162            6.260
          6.354           1.317            0.000            0.162            6.310
          6.404           1.316            0.000            0.162            6.360
          6.454           1.315            0.000            0.163            6.410
          6.504           1.314            0.000            0.164            6.460
          6.554           1.313            0.000            0.164            6.510
          6.605           1.312            0.000            0.165            6.561
          6.656           1.310            0.000            0.165            6.612
          6.707           1.308            0.000            0.165            6.663
          6.757           1.307            0.000            0.164            6.713
          6.807           1.305            0.000            0.164            6.763
          6.856           1.303            0.000            0.164            6.812
          6.905           1.301            0.000            0.164            6.861
          6.955           1.300            0.000            0.164            6.911
          7.005           1.299            0.000            0.164            6.961
          7.055           1.297            0.000            0.165            7.011
          7.106           1.296            0.000            0.165            7.062
          7.156           1.295            0.000            0.165            7.112
          7.205           1.293            0.000            0.165            7.161
          7.255           1.292            0.000            0.165            7.211
          7.304           1.291            0.000            0.166            7.261
          7.354           1.290            0.000            0.166            7.310
          7.405           1.288            0.000            0.167            7.361
          7.455           1.287            0.000            0.167            7.412
          7.506           1.286            0.000            0.167            7.463
          7.557           1.284            0.000            0.167            7.513
          7.608           1.282            0.000            0.167            7.564
          7.658           1.280            0.000            0.166            7.614
          7.708           1.277            0.000            0.165            7.664
          7.758           1.275            0.000            0.165            7.714
          7.807           1.273            0.000            0.164            7.764
          7.857           1.271            0.000            0.164            7.813
          7.906           1.270            0.000            0.164            7.862
          7.956           1.268            0.000            0.164            7.912
          8.006           1.267            0.000            0.164            7.962
          8.056           1.265            0.000            0.164            8.012
          8.106           1.264            0.000            0.164            8.063
          8.156           1.262            0.000            0.164            8.113
          8.206           1.260            0.000            0.164            8.163
          8.256           1.259            0.000            0.164            8.212
          8.306           1.257            0.000            0.164            8.262
          8.356           1.256            0.000            0.164            8.313
          8.407           1.254            0.000            0.164            8.363
          8.458           1.252            0.000            0.163            8.414
          8.509           1.250            0.000            0.163            8.465
          8.559           1.248            0.000            0.162            8.516
          8.609           1.245            0.000            0.161            8.566
          8.658           1.243            0.000            0.160            8.615
          8.707           1.241            0.000            0.159            8.664
          8.757           1.239            0.000            0.159            8.714
          8.807           1.237            0.000            0.159            8.764
          8.857           1.235            0.000            0.158            8.814
          8.907           1.233            0.000            0.158            8.864
          8.957           1.231            0.000            0.158            8.914
          9.007           1.229            0.000            0.157            8.965
          9.058           1.227            0.000            0.157            9.015
          9.108           1.225            0.000            0.156            9.065
          9.158           1.223            0.000            0.155            9.115
          9.208           1.221            0.000            0.154            9.165
          9.258           1.219            0.000            0.154            9.215
          9.307           1.216            0.000            0.153            9.265
          9.357           1.214            0.000            0.153            9.315
