           X               Y                Z                A                C
          1.022           0.648            0.000            0.148            1.432
          1.070           0.642            0.000            0.142            1.480
          1.118           0.635            0.000            0.135            1.528
          1.166           0.629            0.000            0.129            1.577
          1.215           0.624            0.000            0.123            1.626
          1.264           0.618            0.000            0.117            1.676
          1.314           0.612            0.000            0.111            1.726
          1.364           0.605            0.000            0.105            1.777
          1.414           0.598            0.000            0.098            1.827
          1.464           0.591            0.000            0.091            1.877
          1.513           0.584            0.000            0.083            1.926
          1.561           0.577            0.000            0.076            1.975
          1.610           0.570            0.000            0.070            2.024
          1.658           0.564            0.000            0.064            2.073
          1.707           0.559            0.000            0.058            2.122
          1.755           0.554            0.000            0.053            2.171
          1.804           0.550            0.000            0.050            2.220
          1.853           0.547            0.000            0.046            2.269
          1.903           0.544            0.000            0.043            2.319
          1.952           0.542            0.000            0.041            2.368
          2.002           0.540            0.000            0.039            2.418
          2.051           0.538            0.000            0.038            2.467
          2.101           0.538            0.000            0.037            2.517
          2.150           0.538            0.000            0.037            2.566
          2.200           0.539            0.000            0.038            2.616
          2.249           0.540            0.000            0.039            2.665
          2.299           0.542            0.000            0.041            2.715
          2.350           0.543            0.000            0.042            2.766
          2.401           0.543            0.000            0.042            2.817
          2.452           0.542            0.000            0.041            2.868
          2.502           0.540            0.000            0.039            2.919
          2.552           0.538            0.000            0.037            2.968
          2.602           0.536            0.000            0.035            3.018
          2.652           0.534            0.000            0.033            3.069
          2.703           0.531            0.000            0.030            3.119
          2.753           0.526            0.000            0.026            3.170
          2.803           0.521            0.000            0.021            3.220
          2.853           0.516            0.000            0.015            3.270
          2.902           0.510            0.000            0.010            3.319
          2.951           0.506            0.000            0.005            3.369
          3.001           0.503            0.000            0.002            3.419
          3.051           0.500            0.000            0.000            3.469
          3.101           0.499            0.000           -0.002            3.519
          3.151           0.498            0.000           -0.002            3.569
          3.201           0.499            0.000           -0.002            3.619
          3.251           0.499            0.000           -0.001            3.669
          3.301           0.500            0.000            0.000            3.719
          3.351           0.500            0.000            0.000            3.769
          3.401           0.500            0.000            0.000            3.819
          3.451           0.500            0.000           -0.001            3.869
          3.501           0.499            0.000           -0.002            3.919
          3.551           0.498            0.000           -0.002            3.969
          3.601           0.498            0.000           -0.002            4.019
          3.651           0.498            0.000           -0.002            4.069
          3.701           0.499            0.000           -0.002            4.119
          3.751           0.499            0.000           -0.002            4.169
          3.801           0.498            0.000           -0.002            4.219
          3.851           0.497            0.000           -0.004            4.269
          3.901           0.495            0.000           -0.005            4.319
          3.951           0.494            0.000           -0.006            4.369
          4.001           0.493            0.000           -0.007            4.419
          4.051           0.492            0.000           -0.008            4.469
          4.101           0.491            0.000           -0.009            4.519
          4.151           0.490            0.000           -0.010            4.569
          4.201           0.488            0.000           -0.012            4.619
          4.251           0.487            0.000           -0.014            4.669
          4.301           0.485            0.000           -0.015            4.719
          4.351           0.483            0.000           -0.017            4.769
          4.401           0.481            0.000           -0.019            4.819
          4.451           0.480            0.000           -0.020            4.869
