           X               Y                Z                A                C
          3.466           0.937            0.000            0.335            0.899
          3.514           0.928            0.000            0.331            0.948
          3.561           0.920            0.000            0.326            0.997
          3.609           0.912            0.000            0.322            1.045
          3.656           0.904            0.000            0.318            1.093
          3.703           0.896            0.000            0.314            1.141
          3.751           0.889            0.000            0.310            1.188
          3.798           0.882            0.000            0.307            1.237
          3.846           0.875            0.000            0.303            1.285
          3.895           0.869            0.000            0.300            1.334
          3.944           0.862            0.000            0.297            1.383
          3.993           0.856            0.000            0.293            1.433
          4.042           0.849            0.000            0.290            1.483
          4.092           0.843            0.000            0.286            1.533
          4.141           0.836            0.000            0.283            1.582
          4.190           0.830            0.000            0.279            1.632
          4.239           0.824            0.000            0.275            1.681
          4.287           0.818            0.000            0.272            1.730
          4.336           0.813            0.000            0.268            1.779
          4.386           0.807            0.000            0.265            1.829
          4.435           0.801            0.000            0.261            1.879
          4.485           0.796            0.000            0.258            1.928
          4.594           0.772            0.000            0.238            2.040
          4.631           0.758            0.000            0.226            2.080
          4.666           0.747            0.000            0.217            2.116
          4.702           0.738            0.000            0.209            2.154
          4.741           0.731            0.000            0.203            2.193
          4.780           0.725            0.000            0.199            2.233
          4.822           0.721            0.000            0.196            2.275
          4.870           0.717            0.000            0.194            2.323
          4.919           0.714            0.000            0.193            2.372
          4.968           0.711            0.000            0.191            2.421
          5.014           0.708            0.000            0.190            2.467
          5.074           0.704            0.000            0.188            2.527
          5.099           0.703            0.000            0.188            2.553
          5.185           0.713            0.000            0.200            2.639
          5.252           0.694            0.000            0.182            2.709
          5.276           0.690            0.000            0.179            2.733
          5.314           0.687            0.000            0.177            2.771
          5.365           0.685            0.000            0.176            2.822
          5.415           0.683            0.000            0.174            2.872
          5.464           0.681            0.000            0.173            2.921
          5.515           0.679            0.000            0.172            2.972
          5.563           0.676            0.000            0.170            3.021
          5.616           0.674            0.000            0.168            3.073
          5.662           0.672            0.000            0.167            3.120
          5.704           0.672            0.000            0.167            3.162
          5.764           0.672            0.000            0.168            3.221
          5.818           0.669            0.000            0.164            3.276
          5.866           0.666            0.000            0.162            3.324
          5.917           0.663            0.000            0.159            3.374
          5.965           0.660            0.000            0.156            3.423
          6.013           0.658            0.000            0.154            3.471
          6.061           0.657            0.000            0.153            3.518
