           X               Y                Z                A                C
          0.031           0.846            0.000           -0.156            0.050
          0.082           0.840            0.000           -0.160            0.101
          0.132           0.835            0.000           -0.164            0.152
          0.183           0.829            0.000           -0.168            0.203
          0.234           0.824            0.000           -0.172            0.254
          0.284           0.820            0.000           -0.175            0.305
          0.335           0.815            0.000           -0.178            0.355
          0.385           0.811            0.000           -0.181            0.406
          0.436           0.807            0.000           -0.184            0.457
          0.486           0.803            0.000           -0.186            0.507
          0.537           0.799            0.000           -0.188            0.558
          0.588           0.796            0.000           -0.190            0.609
          0.639           0.793            0.000           -0.191            0.660
          0.690           0.790            0.000           -0.193            0.711
          0.740           0.787            0.000           -0.194            0.762
          0.791           0.785            0.000           -0.194            0.813
          0.842           0.782            0.000           -0.195            0.864
          0.893           0.780            0.000           -0.195            0.915
          0.944           0.779            0.000           -0.195            0.966
          0.995           0.777            0.000           -0.194            1.017
          1.046           0.776            0.000           -0.194            1.068
          1.097           0.775            0.000           -0.193            1.118
          1.147           0.774            0.000           -0.192            1.169
          1.198           0.773            0.000           -0.191            1.219
          1.249           0.772            0.000           -0.189            1.271
          1.300           0.772            0.000           -0.187            1.322
          1.351           0.772            0.000           -0.185            1.373
          1.401           0.773            0.000           -0.183            1.423
          1.451           0.773            0.000           -0.181            1.472
          1.500           0.773            0.000           -0.179            1.521
          1.549           0.772            0.000           -0.177            1.571
          1.599           0.772            0.000           -0.175            1.620
          1.649           0.771            0.000           -0.173            1.671
          1.700           0.771            0.000           -0.171            1.722
          1.751           0.771            0.000           -0.169            1.772
          1.800           0.771            0.000           -0.167            1.822
          1.850           0.771            0.000           -0.165            1.871
          1.899           0.770            0.000           -0.163            1.920
          1.948           0.769            0.000           -0.162            1.969
          1.998           0.768            0.000           -0.161            2.019
          2.048           0.768            0.000           -0.159            2.070
          2.099           0.767            0.000           -0.157            2.121
          2.150           0.767            0.000           -0.155            2.172
          2.200           0.766            0.000           -0.153            2.221
          2.249           0.766            0.000           -0.151            2.270
          2.298           0.765            0.000           -0.150            2.319
          2.347           0.764            0.000           -0.149            2.369
          2.397           0.763            0.000           -0.147            2.419
          2.448           0.762            0.000           -0.146            2.470
          2.499           0.761            0.000           -0.144            2.521
          2.550           0.760            0.000           -0.142            2.572
          2.599           0.760            0.000           -0.140            2.621
          2.648           0.759            0.000           -0.138            2.670
          2.697           0.758            0.000           -0.137            2.719
          2.747           0.757            0.000           -0.136            2.769
          2.798           0.755            0.000           -0.135            2.820
          2.849           0.755            0.000           -0.133            2.871
          2.900           0.754            0.000           -0.131            2.922
          2.950           0.754            0.000           -0.128            2.972
          2.999           0.753            0.000           -0.126            3.021
          3.048           0.753            0.000           -0.125            3.070
          3.097           0.751            0.000           -0.124            3.119
          3.148           0.750            0.000           -0.123            3.169
          3.198           0.748            0.000           -0.121            3.220
          3.249           0.747            0.000           -0.120            3.271
          3.300           0.747            0.000           -0.118            3.322
          3.350           0.747            0.000           -0.115            3.372
          3.399           0.746            0.000           -0.113            3.421
          3.448           0.745            0.000           -0.112            3.470
          3.497           0.743            0.000           -0.111            3.519
          3.547           0.741            0.000           -0.111            3.569
          3.598           0.739            0.000           -0.110            3.620
          3.649           0.738            0.000           -0.109            3.671
          3.699           0.737            0.000           -0.107            3.721
          3.750           0.736            0.000           -0.105            3.772
          3.799           0.735            0.000           -0.104            3.821
          3.848           0.734            0.000           -0.102            3.871
          3.898           0.732            0.000           -0.101            3.920
