           X               Y                Z                A                C
          0.032           1.502            0.000           -0.124            0.051
          0.083           1.494            0.000           -0.123            0.102
          0.134           1.487            0.000           -0.123            0.154
          0.185           1.481            0.000           -0.122            0.205
          0.236           1.475            0.000           -0.121            0.256
          0.286           1.469            0.000           -0.120            0.307
          0.337           1.463            0.000           -0.119            0.358
          0.388           1.458            0.000           -0.118            0.410
          0.439           1.453            0.000           -0.117            0.461
          0.490           1.448            0.000           -0.115            0.512
          0.541           1.444            0.000           -0.114            0.563
          0.592           1.440            0.000           -0.112            0.614
          0.642           1.436            0.000           -0.110            0.665
          0.693           1.432            0.000           -0.109            0.716
          0.744           1.429            0.000           -0.107            0.766
          0.795           1.426            0.000           -0.104            0.817
          0.845           1.424            0.000           -0.102            0.868
          0.896           1.422            0.000           -0.100            0.919
          0.947           1.420            0.000           -0.097            0.970
          0.997           1.418            0.000           -0.095            1.020
          1.048           1.416            0.000           -0.092            1.071
          1.098           1.415            0.000           -0.090            1.121
          1.148           1.414            0.000           -0.087            1.171
          1.198           1.413            0.000           -0.085            1.221
          1.249           1.412            0.000           -0.082            1.272
          1.299           1.411            0.000           -0.080            1.322
          1.349           1.410            0.000           -0.077            1.372
          1.399           1.409            0.000           -0.075            1.422
          1.450           1.408            0.000           -0.073            1.473
          1.500           1.408            0.000           -0.070            1.523
          1.550           1.408            0.000           -0.068            1.573
          1.600           1.407            0.000           -0.066            1.623
          1.650           1.407            0.000           -0.064            1.673
          1.700           1.407            0.000           -0.062            1.723
          1.750           1.406            0.000           -0.060            1.773
          1.800           1.405            0.000           -0.058            1.823
          1.850           1.405            0.000           -0.057            1.873
          1.900           1.404            0.000           -0.056            1.923
          1.950           1.404            0.000           -0.054            1.973
          2.000           1.403            0.000           -0.053            2.023
          2.050           1.403            0.000           -0.052            2.073
          2.100           1.403            0.000           -0.051            2.123
          2.150           1.403            0.000           -0.050            2.173
          2.200           1.402            0.000           -0.049            2.223
          2.250           1.401            0.000           -0.049            2.273
          2.300           1.400            0.000           -0.048            2.323
          2.350           1.399            0.000           -0.048            2.373
          2.400           1.398            0.000           -0.048            2.423
          2.450           1.397            0.000           -0.048            2.473
          2.500           1.397            0.000           -0.048            2.523
          2.550           1.396            0.000           -0.048            2.573
          2.600           1.395            0.000           -0.048            2.623
          2.650           1.393            0.000           -0.048            2.673
          2.699           1.392            0.000           -0.048            2.723
          2.749           1.391            0.000           -0.048            2.773
