           X               Y                Z                A                C
          0.034           1.484            0.000            0.158            0.000
          0.083           1.473            0.000            0.154            0.050
          0.132           1.462            0.000            0.149            0.100
          0.181           1.452            0.000            0.145            0.150
          0.229           1.441            0.000            0.140            0.200
          0.278           1.431            0.000            0.135            0.249
          0.326           1.421            0.000            0.130            0.299
          0.374           1.411            0.000            0.125            0.348
          0.423           1.402            0.000            0.120            0.397
          0.471           1.393            0.000            0.115            0.446
          0.520           1.384            0.000            0.110            0.496
          0.568           1.376            0.000            0.104            0.545
          0.617           1.367            0.000            0.099            0.595
          0.666           1.359            0.000            0.094            0.644
          0.715           1.351            0.000            0.088            0.694
          0.763           1.343            0.000            0.082            0.743
          0.812           1.336            0.000            0.077            0.792
          0.861           1.328            0.000            0.071            0.842
          0.910           1.321            0.000            0.066            0.891
          0.959           1.315            0.000            0.061            0.940
          1.007           1.309            0.000            0.057            0.989
          1.056           1.303            0.000            0.053            1.039
          1.106           1.298            0.000            0.050            1.088
          1.155           1.294            0.000            0.047            1.138
          1.204           1.289            0.000            0.044            1.187
          1.254           1.286            0.000            0.042            1.237
          1.303           1.282            0.000            0.040            1.287
          1.353           1.279            0.000            0.039            1.336
          1.403           1.277            0.000            0.037            1.386
          1.453           1.274            0.000            0.036            1.436
          1.503           1.271            0.000            0.035            1.486
          1.553           1.269            0.000            0.035            1.536
          1.602           1.267            0.000            0.034            1.586
          1.652           1.265            0.000            0.034            1.636
          1.702           1.264            0.000            0.034            1.686
          1.752           1.262            0.000            0.034            1.735
          1.802           1.261            0.000            0.035            1.785
          1.852           1.261            0.000            0.036            1.835
          1.901           1.260            0.000            0.037            1.885
          1.951           1.260            0.000            0.038            1.935
          2.001           1.260            0.000            0.040            1.985
          2.051           1.260            0.000            0.041            2.035
          2.101           1.260            0.000            0.043            2.085
          2.151           1.260            0.000            0.045            2.135
          2.201           1.261            0.000            0.047            2.185
          2.251           1.261            0.000            0.049            2.235
          2.301           1.262            0.000            0.051            2.285
          2.351           1.262            0.000            0.053            2.335
          2.401           1.262            0.000            0.054            2.385
          2.451           1.262            0.000            0.056            2.435
          2.501           1.263            0.000            0.058            2.485
          2.551           1.263            0.000            0.060            2.535
          2.601           1.263            0.000            0.062            2.585
          2.651           1.264            0.000            0.064            2.635
          2.701           1.264            0.000            0.066            2.685
          2.751           1.264            0.000            0.067            2.735
          2.801           1.265            0.000            0.069            2.785
          2.851           1.265            0.000            0.071            2.835
          2.901           1.265            0.000            0.073            2.885
          2.951           1.266            0.000            0.075            2.935
          3.002           1.266            0.000            0.077            2.985
          3.052           1.266            0.000            0.079            3.035
          3.102           1.266            0.000            0.080            3.086
          3.152           1.266            0.000            0.081            3.136
          3.203           1.266            0.000            0.083            3.186
          3.253           1.265            0.000            0.084            3.236
          3.303           1.265            0.000            0.085            3.286
          3.353           1.265            0.000            0.086            3.337
          3.403           1.264            0.000            0.087            3.387
          3.453           1.264            0.000            0.088            3.437
          3.503           1.263            0.000            0.089            3.487
          3.553           1.263            0.000            0.091            3.537
          3.603           1.262            0.000            0.092            3.587
          3.653           1.262            0.000            0.093            3.637
          3.703           1.262            0.000            0.094            3.687
          3.753           1.261            0.000            0.095            3.737
          3.804           1.261            0.000            0.096            3.787
          3.854           1.260            0.000            0.097            3.837
          3.904           1.259            0.000            0.097            3.888
          3.954           1.258            0.000            0.098            3.938
          4.005           1.257            0.000            0.099            3.988
          4.055           1.256            0.000            0.099            4.039
          4.105           1.255            0.000            0.099            4.089
          4.155           1.253            0.000            0.099            4.139
          4.205           1.252            0.000            0.099            4.189
          4.255           1.251            0.000            0.100            4.239
          4.305           1.249            0.000            0.100            4.289
          4.355           1.248            0.000            0.100            4.339
          4.405           1.247            0.000            0.100            4.389
          4.455           1.246            0.000            0.101            4.439
          4.505           1.245            0.000            0.101            4.489
          4.555           1.244            0.000            0.102            4.539
          4.605           1.243            0.000            0.102            4.589
          4.655           1.242            0.000            0.102            4.639
          4.705           1.241            0.000            0.103            4.689
          4.756           1.239            0.000            0.103            4.740
          4.806           1.238            0.000            0.103            4.790
          4.856           1.236            0.000            0.103            4.840
          4.907           1.235            0.000            0.103            4.891
          4.957           1.233            0.000            0.103            4.941
          5.007           1.231            0.000            0.103            4.991
          5.057           1.230            0.000            0.102            5.041
          5.107           1.228            0.000            0.102            5.091
          5.156           1.226            0.000            0.102            5.141
          5.206           1.225            0.000            0.102            5.190
          5.256           1.223            0.000            0.102            5.240
          5.306           1.222            0.000            0.102            5.290
          5.356           1.221            0.000            0.102            5.340
          5.406           1.219            0.000            0.102            5.390
          5.456           1.218            0.000            0.102            5.440
          5.506           1.217            0.000            0.102            5.491
          5.557           1.215            0.000            0.102            5.541
          5.607           1.213            0.000            0.102            5.591
          5.657           1.212            0.000            0.102            5.642
          5.708           1.210            0.000            0.101            5.692
          5.758           1.208            0.000            0.101            5.742
          5.808           1.206            0.000            0.100            5.792
          5.858           1.203            0.000            0.099            5.842
          5.908           1.201            0.000            0.099            5.892
          5.957           1.199            0.000            0.098            5.942
          6.007           1.198            0.000            0.098            5.992
          6.057           1.196            0.000            0.098            6.042
          6.107           1.194            0.000            0.098            6.091
          6.156           1.193            0.000            0.098            6.141
          6.206           1.192            0.000            0.098            6.191
          6.256           1.191            0.000            0.098            6.241
          6.306           1.189            0.000            0.098            6.291
          6.356           1.188            0.000            0.098            6.341
          6.407           1.187            0.000            0.098            6.391
          6.457           1.185            0.000            0.098            6.442
          6.507           1.184            0.000            0.098            6.492
          6.558           1.182            0.000            0.098            6.542
          6.608           1.180            0.000            0.097            6.593
          6.658           1.178            0.000            0.097            6.643
          6.708           1.176            0.000            0.097            6.693
          6.758           1.175            0.000            0.096            6.743
          6.807           1.173            0.000            0.096            6.792
          6.857           1.171            0.000            0.096            6.842
          6.907           1.170            0.000            0.096            6.892
          6.957           1.169            0.000            0.096            6.942
          7.007           1.167            0.000            0.096            6.992
          7.057           1.166            0.000            0.096            7.042
          7.107           1.165            0.000            0.097            7.092
          7.157           1.164            0.000            0.097            7.142
          7.207           1.163            0.000            0.097            7.192
          7.257           1.162            0.000            0.097            7.242
          7.307           1.161            0.000            0.098            7.292
          7.357           1.160            0.000            0.098            7.342
          7.407           1.158            0.000            0.098            7.392
          7.457           1.157            0.000            0.098            7.443
          7.508           1.156            0.000            0.098            7.493
          7.558           1.154            0.000            0.098            7.543
          7.608           1.152            0.000            0.098            7.593
          7.658           1.151            0.000            0.097            7.643
          7.708           1.149            0.000            0.097            7.693
          7.758           1.147            0.000            0.097            7.743
          7.807           1.146            0.000            0.097            7.793
          7.857           1.145            0.000            0.097            7.843
          7.907           1.144            0.000            0.097            7.892
          7.957           1.143            0.000            0.098            7.942
          8.007           1.142            0.000            0.098            7.992
          8.057           1.141            0.000            0.098            8.042
          8.107           1.140            0.000            0.099            8.092
          8.157           1.139            0.000            0.100            8.142
          8.207           1.138            0.000            0.100            8.192
          8.257           1.138            0.000            0.101            8.243
          8.307           1.137            0.000            0.101            8.293
          8.358           1.135            0.000            0.101            8.343
          8.408           1.134            0.000            0.101            8.394
          8.459           1.132            0.000            0.101            8.444
          8.509           1.130            0.000            0.100            8.495
          8.559           1.128            0.000            0.100            8.545
          8.609           1.126            0.000            0.099            8.595
          8.659           1.124            0.000            0.098            8.645
          8.709           1.122            0.000            0.098            8.695
          8.759           1.121            0.000            0.097            8.744
          8.808           1.119            0.000            0.097            8.794
          8.858           1.118            0.000            0.097            8.844
          8.908           1.117            0.000            0.097            8.894
          8.958           1.116            0.000            0.098            8.943
          9.008           1.115            0.000            0.098            8.993
          9.058           1.114            0.000            0.098            9.043
          9.108           1.113            0.000            0.099            9.094
          9.158           1.112            0.000            0.099            9.144
          9.209           1.110            0.000            0.099            9.194
          9.259           1.109            0.000            0.099            9.245
          9.309           1.107            0.000            0.098            9.295
          9.359           1.105            0.000            0.098            9.345
          9.410           1.103            0.000            0.097            9.396
          9.460           1.102            0.000            0.097            9.446
          9.509           1.100            0.000            0.096            9.496
          9.559           1.098            0.000            0.096            9.545
          9.609           1.096            0.000            0.095            9.595
          9.659           1.095            0.000            0.095            9.645
          9.709           1.093            0.000            0.095            9.695
          9.759           1.091            0.000            0.094            9.745
          9.809           1.090            0.000            0.094            9.795
          9.859           1.088            0.000            0.094            9.845
          9.909           1.086            0.000            0.094            9.895
          9.959           1.085            0.000            0.093            9.945
         10.009           1.084            0.000            0.093            9.995
         10.059           1.082            0.000            0.093           10.045
         10.109           1.081            0.000            0.093           10.095
         10.159           1.079            0.000            0.093           10.145
         10.209           1.078            0.000            0.093           10.196
         10.259           1.076            0.000            0.093           10.246
         10.309           1.075            0.000            0.092           10.296
         10.359           1.073            0.000            0.092           10.346
         10.410           1.072            0.000            0.092           10.396
         10.460           1.070            0.000            0.091           10.446
         10.510           1.068            0.000            0.091           10.497
         10.560           1.066            0.000            0.090           10.547
         10.610           1.064            0.000            0.090           10.596
         10.659           1.063            0.000            0.089           10.646
         10.709           1.061            0.000            0.089           10.696
         10.759           1.060            0.000            0.089           10.745
         10.808           1.059            0.000            0.090           10.795
         10.859           1.058            0.000            0.090           10.845
         10.909           1.057            0.000            0.090           10.896
         10.959           1.056            0.000            0.090           10.946
         11.009           1.055            0.000            0.090           10.996
         11.059           1.053            0.000            0.090           11.046
         11.109           1.052            0.000            0.090           11.096
         11.159           1.051            0.000            0.090           11.146
         11.209           1.050            0.000            0.090           11.196
         11.259           1.048            0.000            0.090           11.246
         11.309           1.047            0.000            0.090           11.296
         11.360           1.046            0.000            0.090           11.347
         11.410           1.044            0.000            0.090           11.397
         11.461           1.042            0.000            0.089           11.448
         11.511           1.040            0.000            0.088           11.498
         11.561           1.038            0.000            0.087           11.548
         11.611           1.036            0.000            0.087           11.598
         11.660           1.034            0.000            0.086           11.648
         11.710           1.033            0.000            0.086           11.697
         11.760           1.031            0.000            0.085           11.747
         11.810           1.029            0.000            0.085           11.798
         11.861           1.027            0.000            0.084           11.848
         11.911           1.025            0.000            0.083           11.898
         11.961           1.023            0.000            0.082           11.949
         12.011           1.021            0.000            0.081           11.999
         12.061           1.018            0.000            0.080           12.049
         12.111           1.016            0.000            0.079           12.099
         12.161           1.014            0.000            0.078           12.148
         12.211           1.012            0.000            0.077           12.198
         12.261           1.010            0.000            0.077           12.248
         12.311           1.008            0.000            0.076           12.298
         12.360           1.006            0.000            0.075           12.348
         12.410           1.005            0.000            0.075           12.398
         12.461           1.003            0.000            0.074           12.448
         12.511           1.001            0.000            0.074           12.498
         12.561           0.999            0.000            0.073           12.548
         12.611           0.997            0.000            0.072           12.599
         12.661           0.995            0.000            0.071           12.649
         12.711           0.993            0.000            0.071           12.699
         12.761           0.992            0.000            0.070           12.748
         12.810           0.990            0.000            0.070           12.798
         12.860           0.988            0.000            0.069           12.848
         12.910           0.986            0.000            0.069           12.898
         12.960           0.985            0.000            0.068           12.949
         13.011           0.983            0.000            0.067           12.999
         13.061           0.981            0.000            0.067           13.049
         13.111           0.979            0.000            0.066           13.099
         13.161           0.977            0.000            0.065           13.149
         13.211           0.975            0.000            0.065           13.199
         13.260           0.974            0.000            0.064           13.249
         13.310           0.972            0.000            0.064           13.298
         13.360           0.971            0.000            0.064           13.348
         13.410           0.970            0.000            0.064           13.398
         13.460           0.968            0.000            0.064           13.449
         13.511           0.967            0.000            0.063           13.499
         13.561           0.965            0.000            0.063           13.549
         13.611           0.963            0.000            0.062           13.599
         13.661           0.961            0.000            0.061           13.649
         13.711           0.959            0.000            0.060           13.699
         13.761           0.958            0.000            0.060           13.749
         13.810           0.956            0.000            0.060           13.799
         13.860           0.955            0.000            0.059           13.849
         13.910           0.953            0.000            0.059           13.899
         13.960           0.952            0.000            0.059           13.949
         14.011           0.951            0.000            0.059           13.999
         14.061           0.949            0.000            0.058           14.050
         14.111           0.947            0.000            0.058           14.100
         14.161           0.945            0.000            0.057           14.150
         14.211           0.943            0.000            0.056           14.200
         14.261           0.941            0.000            0.055           14.250
         14.311           0.939            0.000            0.055           14.299
         14.360           0.938            0.000            0.054           14.349
         14.410           0.937            0.000            0.054           14.399
         14.460           0.936            0.000            0.055           14.449
         14.510           0.935            0.000            0.055           14.499
         14.561           0.934            0.000            0.055           14.550
         14.611           0.932            0.000            0.054           14.600
         14.661           0.931            0.000            0.054           14.650
         14.711           0.929            0.000            0.053           14.700
         14.761           0.927            0.000            0.052           14.750
         14.811           0.926            0.000            0.052           14.800
         14.861           0.924            0.000            0.052           14.850
         14.910           0.923            0.000            0.052           14.899
         14.960           0.922            0.000            0.052           14.949
         15.010           0.921            0.000            0.052           14.999
         15.061           0.920            0.000            0.053           15.050
         15.111           0.919            0.000            0.053           15.100
         15.161           0.918            0.000            0.052           15.150
         15.211           0.916            0.000            0.052           15.200
         15.261           0.914            0.000            0.051           15.251
         15.311           0.913            0.000            0.050           15.301
         15.361           0.911            0.000            0.050           15.350
         15.411           0.909            0.000            0.049           15.400
         15.461           0.908            0.000            0.049           15.450
         15.511           0.907            0.000            0.049           15.500
         15.561           0.906            0.000            0.049           15.550
         15.611           0.904            0.000            0.049           15.600
         15.661           0.903            0.000            0.048           15.651
         15.711           0.901            0.000            0.048           15.701
         15.762           0.900            0.000            0.047           15.751
         15.812           0.898            0.000            0.047           15.801
         15.862           0.896            0.000            0.046           15.851
         15.912           0.894            0.000            0.045           15.901
         15.961           0.892            0.000            0.044           15.951
         16.011           0.891            0.000            0.044           16.001
         16.061           0.889            0.000            0.043           16.051
         16.111           0.888            0.000            0.043           16.101
         16.161           0.886            0.000            0.043           16.151
         16.212           0.885            0.000            0.042           16.201
         16.262           0.883            0.000            0.042           16.251
         16.312           0.881            0.000            0.041           16.301
         16.362           0.879            0.000            0.040           16.351
         16.412           0.877            0.000            0.039           16.402
         16.462           0.876            0.000            0.039           16.451
         16.512           0.874            0.000            0.038           16.501
         16.561           0.872            0.000            0.038           16.551
         16.611           0.871            0.000            0.037           16.601
         16.661           0.869            0.000            0.037           16.651
         16.712           0.868            0.000            0.036           16.701
         16.762           0.867            0.000            0.036           16.752
         16.812           0.865            0.000            0.036           16.802
         16.862           0.864            0.000            0.035           16.852
         16.912           0.862            0.000            0.035           16.902
         16.962           0.861            0.000            0.034           16.952
         17.012           0.859            0.000            0.034           17.002
         17.062           0.858            0.000            0.034           17.052
         17.112           0.856            0.000            0.033           17.102
         17.162           0.855            0.000            0.033           17.152
         17.212           0.854            0.000            0.033           17.202
         17.262           0.853            0.000            0.033           17.252
         17.312           0.852            0.000            0.033           17.302
         17.362           0.850            0.000            0.032           17.352
         17.412           0.849            0.000            0.032           17.402
         17.462           0.848            0.000            0.032           17.452
         17.512           0.847            0.000            0.032           17.502
         17.562           0.846            0.000            0.032           17.552
         17.612           0.844            0.000            0.032           17.602
         17.662           0.843            0.000            0.032           17.652
         17.712           0.842            0.000            0.032           17.702
