,CR02,CR03,CR05,CR07,CR08,CR10,CR16,CR21,CR26,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR80,CR84,CR88,CR90,CR92,CR94,CR95
R4.0,3.276955288555343,3.2788934724602408,3.2829776128021484,3.2844031157214317,3.2861743797060505,3.286343378113171,3.295074924445051,3.2975593338455718,3.2881172143760704,3.278333222556046,3.2751119981769157,3.2806584121668587,3.299828596712462,3.3349053518432576,3.385869484704251,3.457199850205049,3.5776533892555102,3.6822545640501603,3.701738830026205,3.642583443044535,3.515266898422162,3.4139315294277823,3.3470777943834906,3.32922292397042,3.3152753428524937,3.3093227147144817,3.307015560764736
R5.0,3.276405249071605,3.2785297513651614,3.2823588614996657,3.282848129530418,3.28419095329954,3.2851490086775557,3.2934638079541263,3.296015629783418,3.287135773284153,3.277965462566375,3.2751346873991576,3.280999914990433,3.3003799623884884,3.33565191337099,3.386368729661924,3.456847546184664,3.5752883207566666,3.678063926904922,3.698879791348271,3.6401943039531783,3.512788056700564,3.4124331540779855,3.3458928741164224,3.3281255908774487,3.314268608497511,3.3086197893362916,3.3063354727437106
R6.0,3.2760475434279996,3.2783132095059124,3.2818913207477944,3.2821991082024877,3.2834897689308082,3.2842530026817385,3.2920638792643384,3.2946006165875312,3.2861774502153467,3.2776193291828495,3.275182890641571,3.281360404104621,3.30088877639152,3.3364200023221655,3.3869262094009374,3.4565500441009873,3.5732463529606626,3.67543551323886,3.694428398547527,3.63584912339138,3.5105534865016477,3.4109063321109763,3.3446071797463204,3.327061045850724,3.3133643146121847,3.3077535760314376,3.3054787287310465
R7.0,3.2759354364929116,3.2780155623483407,3.281641502510785,3.281820457539482,3.282992374349099,3.2836388938572623,3.2911641714381994,3.2936175641661274,3.285512158890127,3.2773556726019164,3.275209059900768,3.2815917113604876,3.3012605838593916,3.337018829632468,3.387402017987483,3.4563994008336136,3.5719030668738414,3.6735476447576074,3.6916394180934593,3.633317239468683,3.5090717782325154,3.409537764535439,3.3436202712784495,3.3261796676672635,3.3125768055996208,3.307036713906112,3.3047470337262967
R8.0,3.275975813805174,3.277911322466598,3.281583533749855,3.2816863780944923,3.2828267313507014,3.283386557744567,3.290865904340163,3.293232662328901,3.2852530432199,3.277250663598897,3.2752196925643364,3.281704607202751,3.3014432184833953,3.337398559658062,3.3877878230260237,3.456425242462776,3.5709090632405553,3.6724840036717166,3.69024369690675,3.631573860350518,3.5078909375597886,3.408350694816778,3.3427201809824347,3.325364658777404,3.3118345402287517,3.3063544170473516,3.3040744099713946
R9.0,3.1246712144216553,3.11329489205016,3.1007622352548068,3.124642224504904,3.1285773885597057,3.1421235159712864,3.174264768500133,3.201030109256233,3.219595908413075,3.2241108692639573,3.223027750885493,3.228577040939335,3.236843203570033,3.2397808194646576,3.2370585975054076,3.2649127182428166,3.3711303430617554,3.492861986805209,3.5107048824251565,3.435430832140002,3.321044301275916,3.238089783911595,3.1922058649748912,3.181008881050368,3.1682972030245002,3.161122090502696,3.1556216470615825
R10.0,2.991361466788851,2.988220516807663,2.98760941903491,2.9949113104443112,2.996804370834494,3.001718589008526,3.0183652207662854,3.0317061751223946,3.0368584753410737,3.0347107282077856,3.0321430026511536,3.0365581168033002,3.048442500928473,3.0662018315352917,3.093638140002583,3.1473742064575823,3.2527156676098645,3.3577333120244885,3.3748241492688535,3.310639864594482,3.1960900832862347,3.1079255778354242,3.052739178754546,3.038492082990465,3.0256926361774563,3.020136311853757,3.0170407966648347
R11.0,2.9776772486668954,2.9773416948090876,2.9809318455557317,2.9813232568938806,2.982204087181248,2.982673297158964,2.989593648922801,2.991585591933433,2.9843584559676835,2.977094313386832,2.975147112934046,2.981152399893365,2.99907688896698,3.0321928632970923,3.0783853727692407,3.1404924504638703,3.243989473635465,3.335073268349649,3.3505205876140813,3.296937545029824,3.183467171606305,3.0933737874684457,3.0343129154685897,3.0188145253510736,3.0067085165259404,3.0017753398181375,2.9996832411234666
R12.0,2.977910132747397,2.9773772073785496,2.9809740344947184,2.981353596169195,2.982223194418682,2.982655707272565,2.9895989772997735,2.9915902211741705,2.9843392089090908,2.977082073657616,2.9751432456865237,2.9810993562279395,2.999088465792301,3.032365753932215,3.078696448507779,3.1406415580740714,3.243834596831014,3.3345355908316563,3.349629979971138,3.29608426669813,3.1825402529406603,3.092493442171041,3.0335856190959802,3.018166133409693,3.0061224837326788,3.0012227583900217,2.9991276240532496
R13.0,2.9781343081381983,2.977410302693989,2.981016501619734,2.9813784940600607,2.9822296937243413,2.982659637885737,2.9896086142151446,2.9915723406532484,2.9843201537444544,2.9770684563073706,2.9751507581553533,2.981107629276111,2.999089945415654,3.032546660160904,3.07900803710441,3.1407971319167527,3.2436752429403897,3.334011454192919,3.3487308277422447,3.2952193497213846,3.181629445718575,3.09161557246961,3.032871755088804,3.017514528782745,3.005550607329029,3.0006770190996934,2.9985771288036385
