radius;section;value
4.0;CR02;0.8365672998484469
5.0;CR02;0.8260488355449089
6.0;CR02;0.8093604109865068
7.0;CR02;0.7882954197775336
8.0;CR02;0.7648653871095926
9.0;CR02;0.7409464670520665
10.0;CR02;0.7174642701225508
11.0;CR02;0.6930442504222379
12.0;CR02;0.6694483628578722
13.0;CR02;0.6470557433585865
14.0;CR02;0.6251262154880503
15.0;CR02;0.605769962187709
16.0;CR02;0.586796120772919
17.0;CR02;0.5705388667886004
18.0;CR02;0.5550887005428964
19.0;CR02;0.54150962919973
20.0;CR02;0.5307308003097305
21.0;CR02;0.5208077998236399
22.0;CR02;0.5128708979583331
23.0;CR02;0.5064235962542248
24.0;CR02;0.5012109514650989
25.0;CR02;0.4971364805184352
26.0;CR02;0.4941419888603464
27.0;CR02;0.4929188433997443
28.0;CR02;0.4915116970768992
29.0;CR02;0.490240582404454
30.0;CR02;0.4898933719114941
31.0;CR02;0.4896942223936417
32.0;CR02;0.4894902194401441
33.0;CR02;0.4900061202340967
34.0;CR02;0.4905245512069308
35.0;CR02;0.4901111114949493
36.0;CR02;0.4905516522433445
37.0;CR02;0.4912820245606259
38.0;CR02;0.4918008382905566
39.0;CR02;0.4924529593116246
40.0;CR02;0.4924701729966877
41.0;CR02;0.4899091301421406
42.0;CR02;0.4815873704187118
43.0;CR02;0.4700010999657711
44.0;CR02;0.4550851394380773
45.0;CR02;0.4343995834161478
46.0;CR02;0.4103840538515795
47.0;CR02;0.3810094407655726
48.0;CR02;0.3490557193732951
49.0;CR02;0.3148987665558374
50.0;CR02;
51.0;CR02;
52.0;CR02;
53.0;CR02;
54.0;CR02;
55.0;CR02;
56.0;CR02;
57.0;CR02;
58.0;CR02;
59.0;CR02;
60.0;CR02;
61.0;CR02;
62.0;CR02;
63.0;CR02;
64.0;CR02;
65.0;CR02;
66.0;CR02;
67.0;CR02;
68.0;CR02;
69.0;CR02;
70.0;CR02;
71.0;CR02;
72.0;CR02;
73.0;CR02;
74.0;CR02;
75.0;CR02;
76.0;CR02;
77.0;CR02;
78.0;CR02;
79.0;CR02;
80.0;CR02;
81.0;CR02;
82.0;CR02;
83.0;CR02;
84.0;CR02;
85.0;CR02;
86.0;CR02;
87.0;CR02;
88.0;CR02;
89.0;CR02;
90.0;CR02;
91.0;CR02;
92.0;CR02;
93.0;CR02;
94.0;CR02;
95.0;CR02;
96.0;CR02;
97.0;CR02;
98.0;CR02;
99.0;CR02;
100.0;CR02;
101.0;CR02;
102.0;CR02;
103.0;CR02;
104.0;CR02;
105.0;CR02;
106.0;CR02;
107.0;CR02;
108.0;CR02;
109.0;CR02;
110.0;CR02;
4.0;CR03;0.9138069964768072
5.0;CR03;0.8844966217424504
6.0;CR03;0.8573110718463003
7.0;CR03;0.828417635583716
8.0;CR03;0.7993050101399498
9.0;CR03;0.7713495217569654
10.0;CR03;0.7423648893624013
11.0;CR03;0.7152861893734236
12.0;CR03;0.6896568882292394
13.0;CR03;0.6658607460856996
14.0;CR03;0.6429788997585016
15.0;CR03;0.621845552905609
16.0;CR03;0.6033483108064315
17.0;CR03;0.586465489809042
18.0;CR03;0.5723646893485187
19.0;CR03;0.559516295133192
20.0;CR03;0.5482388128083948
21.0;CR03;0.5389442507851135
22.0;CR03;0.5314766088022834
23.0;CR03;0.5252453270587463
24.0;CR03;0.5200555933235049
25.0;CR03;0.5165056206350089
26.0;CR03;0.5140717796986362
27.0;CR03;0.5126575541601062
28.0;CR03;0.5113659619742396
29.0;CR03;0.5115060973853301
30.0;CR03;0.512308766475257
31.0;CR03;0.5124738911833179
32.0;CR03;0.5118040609714647
33.0;CR03;0.5118121929040194
34.0;CR03;0.5119396162485631
35.0;CR03;0.5114931069253366
36.0;CR03;0.5105824813063566
37.0;CR03;0.5093183346134897
38.0;CR03;0.5085651895710454
39.0;CR03;0.5071398163250143
40.0;CR03;0.5065336535252272
41.0;CR03;0.5049886534228687
42.0;CR03;0.5025551648948097
43.0;CR03;0.4949424658356476
44.0;CR03;0.4836656788591929
45.0;CR03;0.469216846889755
46.0;CR03;0.4493454447410365
47.0;CR03;0.4260999107865572
48.0;CR03;0.3978519775244553
49.0;CR03;0.3660813666064347
50.0;CR03;0.3308946664331026
51.0;CR03;
52.0;CR03;
53.0;CR03;
54.0;CR03;
55.0;CR03;
56.0;CR03;
57.0;CR03;
58.0;CR03;
59.0;CR03;
60.0;CR03;
61.0;CR03;
62.0;CR03;
63.0;CR03;
64.0;CR03;
65.0;CR03;
66.0;CR03;
67.0;CR03;
68.0;CR03;
69.0;CR03;
70.0;CR03;
71.0;CR03;
72.0;CR03;
73.0;CR03;
74.0;CR03;
75.0;CR03;
76.0;CR03;
77.0;CR03;
78.0;CR03;
79.0;CR03;
80.0;CR03;
81.0;CR03;
82.0;CR03;
83.0;CR03;
84.0;CR03;
85.0;CR03;
86.0;CR03;
87.0;CR03;
88.0;CR03;
89.0;CR03;
90.0;CR03;
91.0;CR03;
92.0;CR03;
93.0;CR03;
94.0;CR03;
95.0;CR03;
96.0;CR03;
97.0;CR03;
98.0;CR03;
99.0;CR03;
100.0;CR03;
101.0;CR03;
102.0;CR03;
103.0;CR03;
104.0;CR03;
105.0;CR03;
106.0;CR03;
107.0;CR03;
108.0;CR03;
109.0;CR03;
110.0;CR03;
4.0;CR05;1.0245284123811451
5.0;CR05;0.984499233764238
6.0;CR05;0.9490181024486128
7.0;CR05;0.9126224245177
8.0;CR05;0.8754123330730128
9.0;CR05;0.8392130328091293
10.0;CR05;0.8064005465897931
11.0;CR05;0.7742862927473586
12.0;CR05;0.7433019583256084
13.0;CR05;0.714944070621751
14.0;CR05;0.6881310634576725
15.0;CR05;0.6632530273948043
16.0;CR05;0.6407912664561713
17.0;CR05;0.6209882328027081
18.0;CR05;0.6016817035901053
19.0;CR05;0.5851107322192591
20.0;CR05;0.5713394694429683
21.0;CR05;0.5576409888541429
22.0;CR05;0.5475483774495089
23.0;CR05;0.5382764270211815
24.0;CR05;0.5303984229968792
25.0;CR05;0.5243997146701386
26.0;CR05;0.5197081005656082
27.0;CR05;0.5144429019282648
28.0;CR05;0.5111991759701662
29.0;CR05;0.5089377729837036
30.0;CR05;0.507487866561053
31.0;CR05;0.506065119246973
32.0;CR05;0.5056166056190291
33.0;CR05;0.5049076751734995
34.0;CR05;0.5034208459932311
35.0;CR05;0.502867654505304
36.0;CR05;0.5022323262363991
37.0;CR05;0.5006474967405046
38.0;CR05;0.4990563261655163
39.0;CR05;0.4995811624918972
40.0;CR05;0.4980720556527115
41.0;CR05;0.4973226238809562
42.0;CR05;0.4966831820406958
43.0;CR05;0.4952335006522866
44.0;CR05;0.4911468568032455
45.0;CR05;0.4823752673950816
46.0;CR05;0.4702271934834053
47.0;CR05;0.453797676755157
48.0;CR05;0.4321864270847801
49.0;CR05;0.4074155484688248
50.0;CR05;0.3791100258692113
51.0;CR05;0.3452490212698406
52.0;CR05;0.307390850341956
53.0;CR05;
54.0;CR05;
55.0;CR05;
56.0;CR05;
57.0;CR05;
58.0;CR05;
59.0;CR05;
60.0;CR05;
61.0;CR05;
62.0;CR05;
63.0;CR05;
64.0;CR05;
65.0;CR05;
66.0;CR05;
67.0;CR05;
68.0;CR05;
69.0;CR05;
70.0;CR05;
71.0;CR05;
72.0;CR05;
73.0;CR05;
74.0;CR05;
75.0;CR05;
76.0;CR05;
77.0;CR05;
78.0;CR05;
79.0;CR05;
80.0;CR05;
81.0;CR05;
82.0;CR05;
83.0;CR05;
84.0;CR05;
85.0;CR05;
86.0;CR05;
87.0;CR05;
88.0;CR05;
89.0;CR05;
90.0;CR05;
91.0;CR05;
92.0;CR05;
93.0;CR05;
94.0;CR05;
95.0;CR05;
96.0;CR05;
97.0;CR05;
98.0;CR05;
99.0;CR05;
100.0;CR05;
101.0;CR05;
102.0;CR05;
103.0;CR05;
104.0;CR05;
105.0;CR05;
106.0;CR05;
107.0;CR05;
108.0;CR05;
109.0;CR05;
110.0;CR05;
4.0;CR07;1.0791934694184824
5.0;CR07;1.0271294371213402
6.0;CR07;0.984812748262182
7.0;CR07;0.9427769794019782
8.0;CR07;0.9016483641860084
9.0;CR07;0.8624798847553548
10.0;CR07;0.8253491072680855
11.0;CR07;0.7891024823853245
12.0;CR07;0.7547798327820615
13.0;CR07;0.7242778164885043
14.0;CR07;0.694824922297394
15.0;CR07;0.6672584706464477
16.0;CR07;0.6422026773054162
17.0;CR07;0.6194955568406206
18.0;CR07;0.5989523754972286
19.0;CR07;0.5815593737290266
20.0;CR07;0.5653770951312618
21.0;CR07;0.5513109109818054
22.0;CR07;0.5389227115456392
23.0;CR07;0.5289624552430147
24.0;CR07;0.5204811360264171
25.0;CR07;0.5128327472489674
26.0;CR07;0.5073533555435786
27.0;CR07;0.5037451642128171
28.0;CR07;0.5003394718713305
29.0;CR07;0.4986612967975315
30.0;CR07;0.496322754600719
31.0;CR07;0.4959646107450854
32.0;CR07;0.4962307827074535
33.0;CR07;0.4954533466127356
34.0;CR07;0.4960312850617748
35.0;CR07;0.4963011947150235
36.0;CR07;0.4955013002743551
37.0;CR07;0.4959352011722659
38.0;CR07;0.496527579727029
39.0;CR07;0.4957068862515486
40.0;CR07;0.4959863493779011
41.0;CR07;0.4954120858475568
42.0;CR07;0.4954752707911444
43.0;CR07;0.4948527450420181
44.0;CR07;0.4950623109323214
45.0;CR07;0.4947414547117985
46.0;CR07;0.4907088377352199
47.0;CR07;0.4832745698080498
48.0;CR07;0.4709425078305306
49.0;CR07;0.4549732364078656
50.0;CR07;0.4346250894344717
51.0;CR07;0.4099316296023292
52.0;CR07;0.3821590495372176
53.0;CR07;0.3495802554567945
54.0;CR07;0.3115005539028552
55.0;CR07;
56.0;CR07;
57.0;CR07;
58.0;CR07;
59.0;CR07;
60.0;CR07;
61.0;CR07;
62.0;CR07;
63.0;CR07;
64.0;CR07;
65.0;CR07;
66.0;CR07;
67.0;CR07;
68.0;CR07;
69.0;CR07;
70.0;CR07;
71.0;CR07;
72.0;CR07;
73.0;CR07;
74.0;CR07;
75.0;CR07;
76.0;CR07;
77.0;CR07;
78.0;CR07;
79.0;CR07;
80.0;CR07;
81.0;CR07;
82.0;CR07;
83.0;CR07;
84.0;CR07;
85.0;CR07;
86.0;CR07;
87.0;CR07;
88.0;CR07;
89.0;CR07;
90.0;CR07;
91.0;CR07;
92.0;CR07;
93.0;CR07;
94.0;CR07;
95.0;CR07;
96.0;CR07;
97.0;CR07;
98.0;CR07;
99.0;CR07;
100.0;CR07;
101.0;CR07;
102.0;CR07;
103.0;CR07;
104.0;CR07;
105.0;CR07;
106.0;CR07;
107.0;CR07;
108.0;CR07;
109.0;CR07;
110.0;CR07;
4.0;CR08;1.1754615523005123
5.0;CR08;1.11670148453467
6.0;CR08;1.0707581248602116
7.0;CR08;1.0248773376657443
8.0;CR08;0.9800968222817968
9.0;CR08;0.9371908854261156
10.0;CR08;0.8965110650142034
11.0;CR08;0.8568771254494265
12.0;CR08;0.8193128575054069
13.0;CR08;0.7843042122057075
14.0;CR08;0.7514514015624935
15.0;CR08;0.7208155395458948
16.0;CR08;0.6924165548687008
17.0;CR08;0.6665468069168626
18.0;CR08;0.6431615689513678
19.0;CR08;0.6211687067571646
20.0;CR08;0.6015490963536984
21.0;CR08;0.5848368126944928
22.0;CR08;0.5697222282148292
23.0;CR08;0.5562063615547461
24.0;CR08;0.5452191921215243
25.0;CR08;0.5353194921308909
26.0;CR08;0.5270541904536782
27.0;CR08;0.5214417038059508
28.0;CR08;0.5159782802477295
29.0;CR08;0.5115338572388781
30.0;CR08;0.5089382017703468
31.0;CR08;0.5073993247467378
32.0;CR08;0.5057720217784647
33.0;CR08;0.5052261040944956
34.0;CR08;0.5050499631932049
35.0;CR08;0.5054900410499158
36.0;CR08;0.5057148387393885
37.0;CR08;0.5061812465177934
38.0;CR08;0.5064806266790343
39.0;CR08;0.5067892746145356
40.0;CR08;0.5067596488318706
41.0;CR08;0.5062569039705386
42.0;CR08;0.5069110682257705
43.0;CR08;0.5069446354627849
44.0;CR08;0.5069321683458786
45.0;CR08;0.5060957980674986
46.0;CR08;0.5055708309498309
47.0;CR08;0.5056830364561857
48.0;CR08;0.502815282627402
49.0;CR08;0.4963377827931958
50.0;CR08;0.4862391412360936
51.0;CR08;0.4709642044969747
52.0;CR08;0.4518087983602746
53.0;CR08;0.4284324239392924
54.0;CR08;0.40102940396052
55.0;CR08;0.3683219463583987
56.0;CR08;0.3317066868410888
57.0;CR08;
58.0;CR08;
59.0;CR08;
60.0;CR08;
61.0;CR08;
62.0;CR08;
63.0;CR08;
64.0;CR08;
65.0;CR08;
66.0;CR08;
67.0;CR08;
68.0;CR08;
69.0;CR08;
70.0;CR08;
71.0;CR08;
72.0;CR08;
73.0;CR08;
74.0;CR08;
75.0;CR08;
76.0;CR08;
77.0;CR08;
78.0;CR08;
79.0;CR08;
80.0;CR08;
81.0;CR08;
82.0;CR08;
83.0;CR08;
84.0;CR08;
85.0;CR08;
86.0;CR08;
87.0;CR08;
88.0;CR08;
89.0;CR08;
90.0;CR08;
