radius;section;value
4.0;CR02;3.294092128934452
5.0;CR02;3.2938362698999986
6.0;CR02;3.294043224257812
7.0;CR02;3.294300730593939
8.0;CR02;3.294611252734974
9.0;CR02;3.149113803304521
10.0;CR02;3.009735766600849
11.0;CR02;2.996013527095731
12.0;CR02;2.9963067714636304
13.0;CR02;2.996585892296346
14.0;CR02;2.99685877486164
15.0;CR02;2.997137761851944
16.0;CR02;2.997399796763505
17.0;CR02;2.9976561151810475
18.0;CR02;2.9979034746787314
19.0;CR02;2.998134488956566
20.0;CR02;2.998356976456591
21.0;CR02;2.9985681873006143
22.0;CR02;2.99877583504677
23.0;CR02;2.998963259409279
24.0;CR02;2.999142701543033
25.0;CR02;2.9993184633895966
26.0;CR02;2.999497428247551
27.0;CR02;2.999680787168844
28.0;CR02;2.999861799658716
29.0;CR02;3.000047599653328
30.0;CR02;3.000230352934661
31.0;CR02;3.0004337823917595
32.0;CR02;3.0006321599206567
33.0;CR02;3.000839501398588
34.0;CR02;3.0010558674933097
35.0;CR02;3.0012743070118377
36.0;CR02;3.0015077223888107
37.0;CR02;3.0017397113116933
38.0;CR02;3.001982316656844
39.0;CR02;3.0022221604577606
40.0;CR02;3.002602389153255
41.0;CR02;3.001953072934763
42.0;CR02;3.001774410732074
43.0;CR02;3.0016134357760174
44.0;CR02;3.001446618375958
45.0;CR02;3.001282565918053
46.0;CR02;3.0011311287410427
47.0;CR02;3.000967768099871
48.0;CR02;3.0008174274662585
49.0;CR02;3.0006712032758176
50.0;CR02;3.000521536785052
51.0;CR02;3.0003698820286315
52.0;CR02;3.0002297147950423
53.0;CR02;3.0000801137741395
54.0;CR02;2.9999305974518524
55.0;CR02;2.9997856032789034
56.0;CR02;2.999640576580662
57.0;CR02;2.999501542395078
58.0;CR02;2.9993495168032176
59.0;CR02;2.999197995434882
60.0;CR02;2.9990519964429723
61.0;CR02;2.9988916658296545
62.0;CR02;2.998739344233062
63.0;CR02;2.9985910708757
64.0;CR02;2.998430513392678
65.0;CR02;
66.0;CR02;
67.0;CR02;
68.0;CR02;
69.0;CR02;
70.0;CR02;
71.0;CR02;
72.0;CR02;
73.0;CR02;
74.0;CR02;
75.0;CR02;
76.0;CR02;
77.0;CR02;
78.0;CR02;
79.0;CR02;
80.0;CR02;
81.0;CR02;
82.0;CR02;
83.0;CR02;
84.0;CR02;
85.0;CR02;
86.0;CR02;
87.0;CR02;
88.0;CR02;
89.0;CR02;
90.0;CR02;
91.0;CR02;
92.0;CR02;
93.0;CR02;
94.0;CR02;
95.0;CR02;
96.0;CR02;
97.0;CR02;
98.0;CR02;
99.0;CR02;
100.0;CR02;
101.0;CR02;
102.0;CR02;
103.0;CR02;
104.0;CR02;
105.0;CR02;
106.0;CR02;
107.0;CR02;
108.0;CR02;
109.0;CR02;
110.0;CR02;
111.0;CR02;
112.0;CR02;
113.0;CR02;
114.0;CR02;
115.0;CR02;
116.0;CR02;
117.0;CR02;
118.0;CR02;
4.0;CR03;3.294004680595557
5.0;CR03;3.2931750380873974
6.0;CR03;3.2934068000487056
7.0;CR03;3.293671964217812
8.0;CR03;3.293965179101768
9.0;CR03;3.1636652600197976
10.0;CR03;3.015203053914447
11.0;CR03;2.996135627969363
12.0;CR03;2.9961124734498528
13.0;CR03;2.99607906212975
14.0;CR03;2.9960547767739065
15.0;CR03;2.9960152538016454
16.0;CR03;2.9959636764364137
17.0;CR03;2.9959010293406454
18.0;CR03;2.995827290572411
19.0;CR03;2.995746154480899
20.0;CR03;2.9956450972336026
21.0;CR03;2.995534456700889
22.0;CR03;2.99539033162814
23.0;CR03;2.9952307423862434
24.0;CR03;2.995050538593872
25.0;CR03;2.9948336394151003
26.0;CR03;2.994606896816712
27.0;CR03;2.994336624174456
28.0;CR03;2.994052634279307
29.0;CR03;2.99375092942828
30.0;CR03;2.9934324659029223
31.0;CR03;2.993099780559904
32.0;CR03;2.99276528798695
33.0;CR03;2.9924405946410286
34.0;CR03;2.992100960488394
35.0;CR03;2.991767381659678
36.0;CR03;2.991439399980956
37.0;CR03;2.991104273905516
38.0;CR03;2.9907811080406908
39.0;CR03;2.990455820419578
40.0;CR03;2.9901518671319787
41.0;CR03;2.989726004109196
42.0;CR03;2.988952209755017
43.0;CR03;2.988726338629702
44.0;CR03;2.988509732631293
45.0;CR03;2.9883219158544425
46.0;CR03;2.9881425774600423
47.0;CR03;2.987959701351077
48.0;CR03;2.98779050059864
49.0;CR03;2.987620846827945
50.0;CR03;2.987459868875048
51.0;CR03;2.9873009415468683
52.0;CR03;2.987163304517723
53.0;CR03;2.9870208839515406
54.0;CR03;2.9868816748907623
55.0;CR03;2.986756759877492
56.0;CR03;2.9866512383982444
57.0;CR03;2.986531512419869
58.0;CR03;2.9864337000631465
59.0;CR03;2.9863474097451297
60.0;CR03;2.98625034382506
61.0;CR03;2.986172634651422
62.0;CR03;2.986088676535838
63.0;CR03;2.986016155983454
64.0;CR03;2.9859530393223475
65.0;CR03;2.9858911761670743
66.0;CR03;
67.0;CR03;
68.0;CR03;
69.0;CR03;
70.0;CR03;
71.0;CR03;
72.0;CR03;
73.0;CR03;
74.0;CR03;
75.0;CR03;
76.0;CR03;
